,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity
0,2016-01-01,-2.5,3.7,-7.4,0.0,8.8,,,2.8,4.1,906.9,83.0
1,2016-01-02,0.1,8.0,-8.5,,8.5,,,2.9,4.0,904.1,67.0
2,2016-01-03,3.2,12.8,-2.7,,9.1,,,1.8,4.2,900.6,60.0
3,2016-01-04,3.2,13.6,-3.6,,6.3,,,2.4,4.8,898.0,70.0
4,2016-01-05,2.2,9.9,-3.1,,6.7,,,2.4,4.8,900.0,72.0
5,2016-01-06,-0.5,4.9,-3.1,,1.0,,,1.5,4.9,899.4,85.0
6,2016-01-07,-1.7,5.4,-6.0,0.0,3.2,,,2.2,4.8,895.9,90.0
7,2016-01-08,-1.3,6.4,-8.5,,8.7,,,2.3,3.8,895.7,72.0
8,2016-01-09,-2.1,5.1,-6.1,0.0,6.2,,,1.9,4.0,899.3,78.0
9,2016-01-10,-0.8,6.6,-8.0,,8.6,,,2.8,3.4,899.2,63.0
10,2016-01-11,-2.6,4.9,-6.1,,6.7,,,2.2,4.2,899.2,85.0
11,2016-01-12,-5.2,-0.2,-9.4,,2.0,,,2.1,3.7,896.5,89.0
12,2016-01-13,-3.4,5.0,-11.9,,8.5,,,2.3,2.7,894.5,62.0
13,2016-01-14,-1.5,5.4,-6.0,,6.9,,,3.3,3.2,894.3,60.0
14,2016-01-15,-2.6,4.5,-8.4,,9.0,,,2.3,3.2,897.5,66.0
15,2016-01-16,-3.5,4.5,-8.4,,9.5,,,2.1,3.3,900.2,73.0
16,2016-01-17,-3.1,2.0,-7.7,1.0,2.9,1.0,1.0,2.4,3.6,902.5,76.0
17,2016-01-18,-2.2,0.2,-3.6,34.0,0.0,31.0,31.0,3.4,5.1,884.0,98.0
18,2016-01-19,-5.0,-0.8,-8.7,0.0,9.4,29.0,1.0,3.5,3.0,883.5,70.0
19,2016-01-20,-6.2,-2.3,-9.7,14.0,1.2,51.0,25.0,3.6,3.5,891.3,89.0
20,2016-01-21,-6.0,-0.5,-11.7,,4.7,46.0,,2.2,3.4,899.0,88.0
21,2016-01-22,-6.1,0.7,-11.3,,5.8,39.0,,2.3,3.0,900.9,81.0
