,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,-0.6,4.7,-6.1,1.0,1.7
1,2016-01-02,2.9,9.7,-7.3,0.0,4.7
2,2016-01-03,7.2,15.0,-1.5,0.0,3.9
3,2016-01-04,5.5,15.5,-5.5,0.0,4.0
4,2016-01-05,4.8,12.2,-3.9,0.0,3.2
5,2016-01-06,1.8,5.9,-1.9,0.0,1.5
6,2016-01-07,-0.6,3.8,-5.1,0.0,1.8
7,2016-01-08,0.5,7.5,-7.4,0.0,4.4
8,2016-01-09,0.0,5.1,-4.9,0.0,1.8
9,2016-01-10,3.5,8.4,-2.7,0.0,4.5
10,2016-01-11,-1.0,3.8,-6.2,0.0,1.9
11,2016-01-12,-1.5,2.6,-7.4,0.0,2.6
12,2016-01-13,-1.1,6.5,-11.0,0.0,4.2
13,2016-01-14,1.8,6.4,-0.4,0.0,6.3
14,2016-01-15,0.6,6.4,-6.7,0.0,4.2
15,2016-01-16,-1.1,6.2,-8.4,0.0,2.1
16,2016-01-17,-1.9,2.6,-8.5,0.5,0.9
17,2016-01-18,0.4,5.1,-2.1,37.5,2.4
18,2016-01-19,-2.9,1.6,-5.7,0.0,7.5
19,2016-01-20,-3.9,0.7,-10.7,1.0,4.9
20,2016-01-21,-7.0,-1.0,-15.5,0.0,1.1
21,2016-01-22,-6.5,0.5,-14.2,0.0,1.4
22,2016-01-23,-4.3,1.0,-13.7,0.0,3.9
23,2016-01-24,-4.7,-0.2,-10.3,0.0,4.9
24,2016-01-25,-6.8,0.6,-12.8,0.0,2.6
25,2016-01-26,-7.4,0.0,-16.9,0.0,1.6
26,2016-01-27,-1.2,5.7,-8.4,0.0,2.4
27,2016-01-28,-2.9,5.1,-11.8,0.0,1.3
28,2016-01-29,0.3,1.2,-1.1,32.5,0.7
29,2016-01-30,0.2,1.7,-1.5,8.0,2.8
30,2016-01-31,-1.0,3.2,-5.8,0.0,1.4
31,2016-02-01,-1.3,0.6,-3.3,0.0,3.1
32,2016-02-02,-1.9,1.6,-4.3,0.0,2.3
33,2016-02-03,-3.8,1.7,-10.9,0.0,1.7
34,2016-02-04,-2.5,5.8,-12.3,0.0,3.1
35,2016-02-05,-1.8,4.1,-8.8,0.0,1.4
36,2016-02-06,-1.3,4.8,-7.1,0.0,2.6
37,2016-02-07,-2.5,1.3,-7.7,0.0,3.1
38,2016-02-08,-3.7,5.0,-12.6,0.0,2.8
39,2016-02-09,0.2,3.1,-2.2,0.0,5.7
40,2016-02-10,-2.5,1.8,-9.7,0.5,2.2
41,2016-02-11,-4.0,3.7,-12.2,0.0,1.5
42,2016-02-12,2.1,9.2,-7.6,0.0,4.2
43,2016-02-13,9.4,13.0,6.0,1.0,7.1
44,2016-02-14,13.3,19.2,9.2,28.5,5.6
45,2016-02-15,0.4,9.2,-4.0,0.0,4.3
46,2016-02-16,-1.0,4.8,-7.3,0.0,5.3
47,2016-02-17,-1.2,4.8,-9.0,0.5,6.0
48,2016-02-18,0.4,9.4,-9.7,0.0,4.3
49,2016-02-19,6.2,11.1,0.3,0.0,5.1
50,2016-02-20,2.1,7.2,0.5,20.5,1.4
51,2016-02-21,2.6,8.3,-4.1,0.0,3.2
52,2016-02-22,1.2,7.3,-4.9,0.0,1.8
53,2016-02-23,3.6,12.1,-3.0,0.0,2.0
54,2016-02-24,0.0,4.0,-3.2,0.0,5.1
55,2016-02-25,-0.7,4.6,-6.9,0.0,3.1
56,2016-02-26,-0.3,6.2,-8.4,0.0,2.9
57,2016-02-27,1.3,9.5,-8.4,0.0,4.8
58,2016-02-28,6.5,13.4,-0.7,0.0,4.9
59,2016-02-29,3.8,10.2,-2.5,2.0,5.6
60,2016-03-01,-2.6,2.3,-8.3,0.0,3.2
61,2016-03-02,-0.9,7.5,-9.9,0.0,2.0
62,2016-03-03,5.7,13.1,-2.3,0.0,5.4
63,2016-03-04,4.2,16.2,-5.6,0.0,1.8
64,2016-03-05,7.1,16.0,-2.4,0.0,4.1
65,2016-03-06,11.9,18.7,6.9,0.0,6.9
66,2016-03-07,12.1,15.7,6.0,0.0,3.0
67,2016-03-08,11.5,21.7,2.7,0.0,2.9
68,2016-03-09,2.1,7.6,-0.9,20.5,2.5
69,2016-03-10,-0.4,2.2,-1.7,2.5,3.4
70,2016-03-11,0.3,4.2,-1.9,0.0,3.1
71,2016-03-12,0.9,6.6,-3.3,0.0,2.8
72,2016-03-13,2.7,11.1,-5.5,0.0,2.5
73,2016-03-14,0.4,1.5,-0.4,17.5,2.7
74,2016-03-15,0.7,4.3,-3.3,0.0,3.1
75,2016-03-16,3.3,12.9,-6.7,0.0,4.6
76,2016-03-17,7.2,17.1,-2.4,0.0,2.1
77,2016-03-18,10.4,15.6,1.9,0.5,5.9
78,2016-03-19,11.2,17.8,7.3,1.5,5.8
79,2016-03-20,5.6,10.9,2.6,0.0,5.1
80,2016-03-21,3.2,9.0,-4.0,0.0,4.1
81,2016-03-22,6.0,16.4,-6.1,0.0,3.5
82,2016-03-23,4.9,8.6,0.3,1.0,4.5
83,2016-03-24,1.9,8.1,-3.2,0.5,4.0
84,2016-03-25,1.0,6.8,-5.5,0.0,3.6
85,2016-03-26,2.9,10.6,-2.2,0.0,2.9
86,2016-03-27,4.7,15.4,-5.3,0.0,2.8
87,2016-03-28,6.0,14.4,-0.8,0.0,2.9
88,2016-03-29,8.0,18.1,-3.2,0.0,4.3
89,2016-03-30,11.4,18.3,5.1,0.0,5.6
90,2016-03-31,8.5,18.1,-2.4,0.0,2.0
91,2016-04-01,9.7,17.7,-0.2,0.0,2.4
92,2016-04-02,11.8,20.3,3.8,0.0,3.4
93,2016-04-03,14.0,18.2,11.5,0.0,6.4
94,2016-04-04,11.1,19.2,7.1,13.0,4.3
95,2016-04-05,9.7,18.8,2.0,0.0,2.3
96,2016-04-06,10.4,19.2,0.4,0.0,3.2
97,2016-04-07,11.6,17.9,7.0,41.5,6.3
98,2016-04-08,10.3,14.5,2.8,0.0,2.5
99,2016-04-09,11.6,21.9,0.3,0.0,3.5
100,2016-04-10,13.0,18.8,5.1,0.0,3.4
101,2016-04-11,3.8,9.1,-2.0,0.0,4.8
102,2016-04-12,7.1,17.7,-5.4,0.0,4.7
103,2016-04-13,10.8,15.2,7.5,6.0,6.4
104,2016-04-14,13.1,21.6,7.8,13.5,2.3
105,2016-04-15,9.8,15.7,1.4,0.0,3.7
106,2016-04-16,11.3,22.7,-1.0,0.0,3.8
107,2016-04-17,16.3,22.5,11.9,10.5,7.5
108,2016-04-18,14.0,19.4,8.4,0.0,4.2
