,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,-0.2,7.4,-3.9,0.0,6.2,0.8
1,2016-01-02,1.1,8.3,-3.2,0.0,3.2,0.8
2,2016-01-03,3.1,11.5,-1.5,0.0,6.0,1.0
3,2016-01-04,3.3,11.6,-1.2,0.0,4.3,1.0
4,2016-01-05,3.1,10.2,-1.5,0.0,2.9,0.9
5,2016-01-06,3.4,8.5,-0.8,0.0,0.9,0.7
6,2016-01-07,1.8,7.9,-2.6,0.0,4.3,1.1
7,2016-01-08,1.5,5.7,-2.1,0.0,0.7,0.5
8,2016-01-09,1.5,7.7,-2.6,0.0,6.2,0.8
9,2016-01-10,1.1,6.0,-2.4,0.0,1.0,0.8
10,2016-01-11,1.1,7.4,-3.6,0.0,4.8,0.8
11,2016-01-12,0.9,5.9,-3.7,0.0,1.1,0.7
12,2016-01-13,-0.4,5.3,-4.4,0.0,3.7,0.9
13,2016-01-14,0.3,3.6,-1.2,1.5,1.5,0.5
14,2016-01-15,-0.5,4.9,-3.7,2.0,6.3,0.4
15,2016-01-16,-0.9,6.4,-4.8,0.0,6.4,0.9
16,2016-01-17,0.4,5.8,-4.0,0.0,2.4,1.1
17,2016-01-18,2.1,3.8,0.6,17.5,0.0,1.2
18,2016-01-19,-2.2,2.0,-4.4,4.0,0.6,1.7
19,2016-01-20,-3.5,0.9,-6.4,8.0,3.3,1.1
20,2016-01-21,-3.4,2.7,-8.3,0.0,3.9,0.7
21,2016-01-22,-2.2,5.1,-6.1,0.0,6.3,1.1
22,2016-01-23,-3.3,-0.9,-6.8,4.5,0.0,0.8
23,2016-01-24,-5.2,-1.4,-10.3,4.5,0.7,
24,2016-01-25,-6.7,0.0,-12.8,0.0,2.9,0.6
25,2016-01-26,-4.2,3.6,-10.6,0.0,6.6,1.1
26,2016-01-27,-1.4,5.8,-5.3,0.0,6.4,0.9
27,2016-01-28,0.3,7.7,-4.8,0.0,4.6,1.0
28,2016-01-29,2.8,4.9,1.2,67.0,0.0,0.9
29,2016-01-30,3.3,6.5,0.4,15.5,0.0,0.6
30,2016-01-31,1.8,8.1,-2.1,0.0,7.1,1.0
31,2016-02-01,2.1,5.6,-0.7,0.0,0.6,0.7
32,2016-02-02,0.6,7.0,-3.1,0.0,4.3,0.9
33,2016-02-03,-1.0,6.2,-5.4,0.0,7.2,1.0
34,2016-02-04,-0.8,5.9,-6.1,0.0,4.7,1.1
35,2016-02-05,0.9,8.1,-3.1,0.0,6.0,0.9
36,2016-02-06,0.5,5.8,-3.2,0.0,2.4,0.8
37,2016-02-07,-0.5,5.6,-4.2,0.0,7.4,1.2
38,2016-02-08,-1.1,7.0,-6.9,0.0,7.4,1.1
39,2016-02-09,-0.9,0.9,-3.4,4.5,0.0,0.5
40,2016-02-10,-1.8,3.9,-5.9,0.0,6.2,0.6
41,2016-02-11,0.0,9.2,-5.5,0.0,7.6,1.1
42,2016-02-12,2.0,5.7,-1.8,0.0,0.0,1.0
43,2016-02-13,5.6,7.9,1.6,34.0,0.0,0.8
44,2016-02-14,11.5,16.1,6.3,48.0,0.2,1.2
45,2016-02-15,2.9,8.9,-3.8,0.5,5.0,1.0
46,2016-02-16,-1.5,2.8,-5.4,0.0,3.0,0.7
47,2016-02-17,-1.3,2.6,-4.9,3.0,2.2,0.8
48,2016-02-18,-1.1,8.2,-6.7,0.0,7.9,1.0
49,2016-02-19,3.0,10.6,-2.5,0.0,6.4,1.1
50,2016-02-20,3.7,8.4,1.2,28.0,0.0,1.4
51,2016-02-21,3.8,8.6,-2.6,0.5,6.8,1.4
52,2016-02-22,2.5,9.2,-3.6,0.0,5.7,0.9
53,2016-02-23,3.9,10.0,-0.3,0.0,4.5,0.9
54,2016-02-24,1.4,7.7,-3.9,0.0,8.3,1.1
55,2016-02-25,-0.4,6.7,-5.8,0.0,8.3,1.1
56,2016-02-26,-0.6,5.0,-5.1,0.0,4.8,0.9
57,2016-02-27,0.8,7.7,-4.6,3.0,5.0,1.1
58,2016-02-28,3.2,12.7,-1.1,0.0,8.5,0.7
59,2016-02-29,2.6,6.5,-2.0,12.5,0.0,1.0
60,2016-03-01,-1.2,4.5,-4.8,0.0,8.1,1.1
61,2016-03-02,-0.5,6.7,-6.3,0.0,8.4,1.2
62,2016-03-03,2.3,11.5,-3.7,0.0,8.5,1.2
63,2016-03-04,5.2,15.5,-1.4,0.0,8.5,1.4
64,2016-03-05,5.5,12.7,0.8,0.0,0.2,1.1
65,2016-03-06,9.3,17.5,2.7,2.0,0.8,1.0
66,2016-03-07,10.6,14.7,8.4,2.0,0.0,0.7
67,2016-03-08,12.2,19.6,7.1,0.0,7.5,1.2
68,2016-03-09,7.2,9.0,3.9,29.0,0.0,0.8
69,2016-03-10,4.6,8.6,1.4,0.5,2.1,1.0
70,2016-03-11,4.2,10.9,-2.3,0.0,7.6,1.0
71,2016-03-12,1.9,10.2,-2.9,0.0,8.1,1.2
72,2016-03-13,3.3,9.6,-2.5,1.5,2.4,0.9
73,2016-03-14,2.0,3.2,0.1,24.0,0.0,1.0
74,2016-03-15,2.8,10.2,-2.3,0.0,8.4,1.2
75,2016-03-16,4.4,12.5,-1.8,0.0,6.2,1.3
76,2016-03-17,8.2,19.9,-0.2,0.0,9.2,1.4
77,2016-03-18,8.5,16.6,1.0,5.5,5.1,1.4
78,2016-03-19,10.9,18.1,6.7,31.0,2.2,0.9
79,2016-03-20,7.6,14.8,2.5,0.0,9.3,1.4
80,2016-03-21,5.9,13.6,0.2,0.0,6.8,1.3
81,2016-03-22,5.6,14.7,-0.9,0.0,9.3,1.5
82,2016-03-23,6.4,15.2,-0.6,0.0,5.6,1.2
83,2016-03-24,5.9,11.7,-1.4,0.0,8.4,1.3
84,2016-03-25,2.3,10.5,-4.0,0.0,9.5,1.2
85,2016-03-26,4.1,12.9,-2.1,0.0,9.2,1.2
86,2016-03-27,5.7,14.3,-1.7,0.0,7.2,1.3
87,2016-03-28,6.3,16.4,1.9,2.5,4.2,1.2
88,2016-03-29,7.3,15.9,0.6,0.0,8.2,1.5
89,2016-03-30,9.3,16.7,1.6,0.0,8.6,1.2
90,2016-03-31,9.6,19.1,0.7,0.0,9.1,1.3
91,2016-04-01,9.4,15.8,3.5,0.0,0.6,1.1
92,2016-04-02,12.9,19.0,7.6,0.0,5.4,1.3
93,2016-04-03,11.8,15.6,9.6,0.0,0.0,0.6
94,2016-04-04,12.3,15.4,10.0,24.5,0.0,0.6
95,2016-04-05,9.8,16.3,4.1,0.0,3.2,1.0
96,2016-04-06,9.4,17.4,2.4,0.0,6.4,1.3
97,2016-04-07,9.9,17.0,6.3,90.0,0.0,1.1
98,2016-04-08,11.6,15.7,6.7,0.0,1.7,0.9
99,2016-04-09,11.0,21.0,3.3,0.0,7.6,1.4
100,2016-04-10,11.3,18.3,5.7,0.0,0.7,1.0
101,2016-04-11,8.1,15.0,-0.3,0.0,8.7,1.2
102,2016-04-12,7.2,15.9,-1.4,0.0,9.3,1.5
103,2016-04-13,11.2,16.5,7.9,2.0,0.1,1.1
104,2016-04-14,14.4,23.2,9.6,16.0,5.7,1.2
105,2016-04-15,12.0,20.5,5.9,0.0,10.4,1.4
106,2016-04-16,12.0,21.7,3.2,0.0,10.0,1.5
107,2016-04-17,14.0,19.1,8.5,11.0,0.1,1.3
108,2016-04-18,11.2,17.1,6.6,0.0,2.4,1.0
109,2016-04-19,9.4,17.8,2.2,0.0,10.5,1.5
110,2016-04-20,9.8,18.2,1.9,0.0,8.7,1.6
111,2016-04-21,11.1,17.9,7.7,29.5,1.3,0.9
112,2016-04-22,15.5,23.8,10.3,10.5,8.9,1.1
113,2016-04-23,15.7,22.9,10.0,2.0,5.6,1.1
114,2016-04-24,15.0,22.7,9.9,3.5,6.1,1.0
115,2016-04-25,14.1,21.0,8.5,0.0,6.1,1.2
116,2016-04-26,16.2,23.9,8.9,0.0,10.7,1.3
117,2016-04-27,13.9,18.9,10.6,2.5,0.5,1.1
118,2016-04-28,12.2,15.7,9.1,11.5,0.3,0.9
119,2016-04-29,10.0,16.9,2.5,0.0,10.6,1.2
120,2016-04-30,9.7,20.0,0.4,0.0,7.9,1.1
121,2016-05-01,13.6,22.2,6.2,0.0,7.2,1.2
122,2016-05-02,16.2,25.8,8.5,0.0,10.2,1.4
123,2016-05-03,16.6,23.4,9.3,0.5,6.5,1.6
124,2016-05-04,15.1,21.2,8.2,29.0,5.4,1.5
125,2016-05-05,13.5,21.0,7.0,0.0,10.1,1.3
126,2016-05-06,11.9,19.8,8.5,16.5,0.6,0.9
127,2016-05-07,12.8,20.4,8.6,3.5,2.3,0.8
128,2016-05-08,14.5,23.3,6.9,0.0,10.7,1.2
129,2016-05-09,13.8,17.9,10.3,8.0,0.0,0.7
130,2016-05-10,15.2,17.5,13.2,28.0,0.0,0.5
131,2016-05-11,16.1,19.3,11.3,44.0,0.0,0.9
132,2016-05-12,15.8,25.5,8.3,0.0,11.0,1.2
133,2016-05-13,16.9,25.5,10.6,0.0,11.2,1.4
134,2016-05-14,18.8,25.6,11.9,0.0,10.1,1.2
135,2016-05-15,17.1,23.2,12.5,0.0,5.6,1.1
136,2016-05-16,15.4,19.0,11.0,4.0,0.0,0.7
137,2016-05-17,15.6,20.9,9.0,31.0,2.0,1.0
138,2016-05-18,16.0,26.5,7.7,0.0,11.3,1.5
139,2016-05-19,16.4,25.5,9.7,0.0,9.0,1.3
140,2016-05-20,16.2,23.6,10.1,0.0,6.7,1.2
141,2016-05-21,18.5,27.0,11.6,0.0,11.3,1.2
142,2016-05-22,17.5,26.4,9.4,0.0,11.3,1.4
143,2016-05-23,19.3,29.3,12.2,0.0,10.9,1.4
144,2016-05-24,19.3,28.7,12.0,0.0,7.8,1.3
145,2016-05-25,17.3,21.4,14.2,0.0,0.0,0.6
146,2016-05-26,20.4,28.6,14.8,1.0,5.0,1.0
147,2016-05-27,19.5,25.6,16.4,3.5,3.9,0.7
148,2016-05-28,17.4,21.0,15.0,0.0,0.0,0.9
149,2016-05-29,18.5,26.9,11.8,3.0,7.3,1.3
150,2016-05-30,16.4,20.8,13.9,33.0,0.0,0.9
151,2016-05-31,18.6,25.3,14.1,3.5,9.2,1.0
152,2016-06-01,16.3,24.4,10.0,0.0,11.3,1.2
153,2016-06-02,15.1,23.6,8.7,0.0,9.4,1.1
154,2016-06-03,15.2,23.9,7.2,0.0,10.3,1.4
155,2016-06-04,15.9,22.3,10.1,0.5,5.3,1.0
156,2016-06-05,15.2,21.4,12.1,5.0,3.2,1.0
157,2016-06-06,18.0,25.1,11.5,0.0,8.7,1.4
158,2016-06-07,16.5,21.8,14.2,1.5,0.6,0.5
159,2016-06-08,19.1,25.8,14.8,0.5,5.3,0.8
160,2016-06-09,18.2,21.0,15.8,6.5,0.5,0.7
161,2016-06-10,21.4,29.0,14.9,0.0,11.1,1.3
162,2016-06-11,20.4,27.6,15.0,0.0,8.1,1.1
163,2016-06-12,19.1,25.7,13.0,1.0,5.2,0.9
164,2016-06-13,18.2,21.0,16.3,20.0,0.0,0.7
165,2016-06-14,20.1,26.3,15.6,0.5,5.9,1.0
166,2016-06-15,20.2,25.6,16.8,0.5,4.8,0.8
167,2016-06-16,18.7,21.9,16.4,5.0,0.0,0.6
168,2016-06-17,19.7,25.8,14.6,2.5,4.3,1.1
169,2016-06-18,20.5,30.3,12.5,0.0,11.7,1.4
170,2016-06-19,18.8,23.6,16.3,10.5,0.2,0.8
171,2016-06-20,20.2,26.4,17.0,3.5,5.1,0.8
172,2016-06-21,19.4,25.9,16.2,8.5,3.0,0.8
173,2016-06-22,20.5,26.2,17.2,10.5,0.9,0.8
174,2016-06-23,20.8,26.8,16.7,54.5,2.0,0.7
175,2016-06-24,19.4,25.3,15.4,16.0,4.5,0.8
176,2016-06-25,19.5,23.0,14.5,45.0,0.1,0.8
177,2016-06-26,17.5,24.0,14.1,1.5,3.1,0.7
178,2016-06-27,19.4,28.8,13.1,2.0,8.1,1.3
179,2016-06-28,16.5,20.7,13.5,9.5,0.0,0.7
180,2016-06-29,19.6,24.7,17.3,18.5,0.1,0.5
181,2016-06-30,20.6,26.3,17.7,8.0,0.7,0.6
182,2016-07-01,22.8,30.5,16.2,0.0,11.2,1.1
183,2016-07-02,23.6,31.4,19.1,0.0,4.8,0.9
184,2016-07-03,21.8,26.5,19.3,10.5,0.4,0.5
185,2016-07-04,22.1,28.5,19.0,21.5,3.4,0.8
186,2016-07-05,23.0,31.6,18.7,0.5,5.2,0.8
187,2016-07-06,21.7,26.2,19.7,7.0,2.3,0.6
188,2016-07-07,24.8,32.6,19.8,0.0,9.9,0.9
189,2016-07-08,21.5,26.3,18.9,0.0,0.3,0.9
190,2016-07-09,19.7,22.2,18.3,43.0,0.0,0.4
191,2016-07-10,22.2,29.4,18.2,0.0,9.7,0.9
192,2016-07-11,23.2,31.7,17.5,0.0,11.1,1.2
193,2016-07-12,21.6,28.3,16.9,0.0,4.1,1.0
194,2016-07-13,21.7,25.0,19.8,38.5,0.0,0.5
195,2016-07-14,22.5,29.4,18.2,4.5,7.4,0.8
196,2016-07-15,20.8,25.3,18.3,3.5,2.3,0.7
197,2016-07-16,21.7,27.2,18.8,0.5,3.0,0.6
198,2016-07-17,21.6,24.2,18.9,0.0,0.1,0.4
199,2016-07-18,23.8,31.5,17.7,0.0,11.1,1.3
200,2016-07-19,23.6,31.0,18.2,0.0,11.2,1.3
201,2016-07-20,23.5,31.0,17.7,0.0,11.3,1.1
202,2016-07-21,23.6,30.3,18.6,20.5,10.1,1.1
203,2016-07-22,22.1,28.1,19.3,68.5,4.8,0.7
204,2016-07-23,20.8,25.4,18.7,2.0,2.1,0.7
205,2016-07-24,21.3,26.6,17.6,0.0,5.9,0.9
206,2016-07-25,21.8,26.2,19.5,0.5,2.0,0.7
207,2016-07-26,19.2,20.2,17.9,10.5,0.0,0.3
208,2016-07-27,22.8,28.3,18.8,2.5,6.9,0.8
209,2016-07-28,23.2,28.3,20.6,22.5,1.9,0.7
210,2016-07-29,23.0,29.2,19.0,15.0,6.3,0.7
211,2016-07-30,23.3,29.7,19.8,19.5,5.6,0.7
212,2016-07-31,24.1,32.2,20.3,0.0,8.3,0.9
213,2016-08-01,22.7,31.7,19.3,15.0,7.2,1.1
214,2016-08-02,21.7,29.7,18.2,28.0,4.6,0.8
215,2016-08-03,23.3,30.2,18.9,8.5,7.2,0.8
216,2016-08-04,24.2,31.1,20.5,10.0,7.5,0.9
217,2016-08-05,24.5,31.6,19.6,0.0,8.9,1.0
218,2016-08-06,25.0,32.1,20.8,0.0,8.8,1.0
219,2016-08-07,25.5,31.8,21.2,0.0,9.5,1.0
220,2016-08-08,25.6,34.9,19.6,0.0,10.7,1.1
221,2016-08-09,24.7,33.4,18.7,0.0,10.6,1.1
222,2016-08-10,23.7,31.9,19.3,0.0,9.5,1.2
223,2016-08-11,23.9,31.4,18.0,0.0,10.3,1.0
224,2016-08-12,23.5,29.5,19.9,0.0,5.9,0.9
225,2016-08-13,24.3,30.2,20.3,0.0,7.4,0.9
226,2016-08-14,24.2,30.6,20.2,1.0,7.2,0.8
227,2016-08-15,22.0,25.4,19.4,24.5,1.2,0.5
228,2016-08-16,23.9,31.5,18.4,0.0,7.8,1.1
