Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,-4.4,0.9,-10.6,0.0
1,2016-01-02,-0.3,6.7,-11.9,0.0
2,2016-01-03,3.8,11.9,-6.3,0.0
3,2016-01-04,4.1,11.9,-7.0,0.0
4,2016-01-05,3.0,9.6,-3.2,0.0
5,2016-01-06,-0.1,5.3,-4.4,0.0
6,2016-01-07,-3.4,2.7,-9.9,0.0
7,2016-01-08,-1.8,5.0,-9.2,0.0
8,2016-01-09,-2.1,4.0,-7.0,0.0
9,2016-01-10,-3.1,7.5,-11.5,0.0
10,2016-01-11,-4.5,5.3,-11.4,0.0
11,2016-01-12,-7.4,-2.9,-13.6,0.0
12,2016-01-13,-5.2,1.4,-14.3,0.0
13,2016-01-14,-3.8,3.2,-13.6,0.0
14,2016-01-15,-5.2,2.6,-14.0,0.0
15,2016-01-16,-5.0,2.6,-12.9,0.0
16,2016-01-17,-4.9,0.9,-15.5,3.5
17,2016-01-18,-1.9,2.0,-4.7,25.5
18,2016-01-19,-7.8,-2.6,-10.6,3.5
19,2016-01-20,-7.9,-2.6,-18.3,0.0
20,2016-01-21,-11.2,-3.2,-22.4,0.0
21,2016-01-22,-10.7,-1.5,-19.7,0.0
22,2016-01-23,-8.1,-2.5,-19.8,3.0
23,2016-01-24,-10.7,-5.2,-25.1,0.0
24,2016-01-25,-14.6,-3.9,-24.1,0.0
25,2016-01-26,-12.9,-2.4,-24.6,0.0
26,2016-01-27,-8.9,3.7,-21.8,0.0
27,2016-01-28,-5.0,6.3,-17.8,0.0
28,2016-01-29,-0.1,2.7,-4.9,29.0
29,2016-01-30,-3.5,0.5,-5.3,3.5
30,2016-01-31,-4.0,1.5,-12.3,0.0
31,2016-02-01,-6.3,-4.9,-10.1,0.0
32,2016-02-02,-8.1,-4.1,-13.3,0.0
33,2016-02-03,-9.8,-3.7,-18.4,0.0
34,2016-02-04,-7.8,0.6,-19.4,0.0
35,2016-02-05,-6.2,2.9,-15.3,0.0
36,2016-02-06,-3.5,0.8,-9.4,0.0
37,2016-02-07,-7.4,-4.2,-10.5,0.0
38,2016-02-08,-4.2,0.4,-9.7,0.0
39,2016-02-09,-3.8,0.1,-8.3,0.0
40,2016-02-10,-7.5,-3.9,-10.7,0.0
41,2016-02-11,-5.5,1.4,-13.9,0.0
42,2016-02-12,0.1,4.3,-4.8,0.0
43,2016-02-13,5.2,9.8,-0.1,1.5
44,2016-02-14,9.7,14.2,6.5,34.0
45,2016-02-15,-3.3,7.2,-10.1,0.0
46,2016-02-16,-5.2,0.4,-11.6,0.0
47,2016-02-17,-5.6,-0.1,-11.8,0.0
48,2016-02-18,-3.3,2.9,-12.0,0.0
49,2016-02-19,1.7,8.0,-5.4,0.0
50,2016-02-20,2.9,7.5,-0.5,24.0
51,2016-02-21,1.1,8.4,-7.7,0.0
52,2016-02-22,-2.2,3.1,-7.7,0.0
53,2016-02-23,1.6,6.6,-2.7,0.0
54,2016-02-24,-5.0,0.8,-8.4,0.0
55,2016-02-25,-6.7,-0.7,-13.4,0.0
56,2016-02-26,-5.6,1.5,-13.8,0.0
57,2016-02-27,-3.3,3.2,-13.5,0.0
58,2016-02-28,0.8,7.7,-6.8,0.0
59,2016-02-29,0.2,7.9,-7.4,0.5
60,2016-03-01,-8.5,-3.5,-12.9,0.5
61,2016-03-02,-4.6,3.7,-14.0,0.0
62,2016-03-03,1.0,8.6,-7.2,0.0
63,2016-03-04,1.4,10.1,-9.6,0.0
64,2016-03-05,4.5,11.0,0.4,0.0
65,2016-03-06,6.2,10.9,2.0,0.0
66,2016-03-07,7.0,9.6,3.4,3.0
67,2016-03-08,8.6,17.3,0.8,0.0
68,2016-03-09,0.4,3.0,-2.9,30.5
69,2016-03-10,-4.3,-2.7,-5.4,3.0
70,2016-03-11,-5.1,-3.4,-6.8,1.0
71,2016-03-12,-3.9,0.4,-6.2,0.5
72,2016-03-13,-0.9,3.3,-4.6,0.0
73,2016-03-14,-2.6,-1.4,-5.3,11.0
74,2016-03-15,-5.5,-1.2,-13.9,0.0
75,2016-03-16,0.7,4.5,-11.1,0.0
76,2016-03-17,3.7,12.2,-7.6,0.0
77,2016-03-18,5.1,9.5,-1.6,1.0
78,2016-03-19,7.5,15.0,2.8,6.5
79,2016-03-20,1.4,6.7,-2.7,0.0
80,2016-03-21,-1.5,5.9,-5.2,0.0
81,2016-03-22,2.5,9.7,-6.2,0.0
82,2016-03-23,2.3,10.4,-2.8,0.0
83,2016-03-24,-2.5,3.3,-6.5,0.0
84,2016-03-25,-3.7,3.0,-8.1,0.0
85,2016-03-26,-1.2,7.3,-7.5,0.0
86,2016-03-27,2.3,9.0,-2.2,0.0
87,2016-03-28,1.1,6.2,-2.8,2.0
88,2016-03-29,3.2,9.5,-2.1,0.0
89,2016-03-30,6.6,12.3,-0.7,0.0
90,2016-03-31,5.5,13.7,-6.5,0.0
91,2016-04-01,5.4,13.3,-4.6,0.0
92,2016-04-02,6.2,12.6,1.1,0.0
93,2016-04-03,7.2,10.8,5.1,0.0
94,2016-04-04,9.1,15.1,3.6,3.5
95,2016-04-05,4.8,9.4,1.3,0.5
96,2016-04-06,5.8,13.7,-3.5,0.0
97,2016-04-07,7.8,15.3,2.0,23.5
98,2016-04-08,6.1,12.8,-1.2,0.0
99,2016-04-09,7.2,15.9,-3.1,0.0
100,2016-04-10,7.7,14.3,-0.9,0.0
101,2016-04-11,1.2,7.2,-6.2,0.0
102,2016-04-12,1.3,10.1,-9.6,0.0
103,2016-04-13,4.7,6.8,1.3,2.5
104,2016-04-14,10.6,18.1,5.6,9.5
105,2016-04-15,5.0,10.8,-2.1,0.0
106,2016-04-16,8.6,15.0,-1.1,0.0
107,2016-04-17,11.4,17.1,6.1,2.0
108,2016-04-18,12.6,21.2,4.9,0.0
109,2016-04-19,6.7,16.7,-3.3,0.0
110,2016-04-20,5.5,13.3,-4.9,0.0
111,2016-04-21,6.9,10.8,4.3,13.5
112,2016-04-22,14.1,19.0,8.5,0.5
113,2016-04-23,12.1,19.6,8.1,0.0
114,2016-04-24,9.6,16.1,6.3,2.5
115,2016-04-25,9.6,15.8,5.3,0.0
116,2016-04-26,11.6,20.9,2.6,0.0
117,2016-04-27,10.1,15.8,4.0,2.5
118,2016-04-28,8.5,11.9,5.6,13.5
119,2016-04-29,3.7,9.7,-1.5,0.0
120,2016-04-30,6.8,14.9,-5.9,0.0
121,2016-05-01,11.6,18.0,2.9,0.0
122,2016-05-02,11.8,20.0,1.7,0.0
123,2016-05-03,12.4,17.9,9.5,0.0
124,2016-05-04,13.4,18.4,9.0,8.5
125,2016-05-05,11.1,18.1,3.4,0.0
126,2016-05-06,9.4,16.6,2.9,7.0
127,2016-05-07,11.9,21.9,4.4,0.5
128,2016-05-08,10.4,17.9,2.8,0.0
129,2016-05-09,10.1,12.9,7.4,7.5
130,2016-05-10,14.0,20.5,9.7,12.5
131,2016-05-11,14.7,17.9,9.2,52.5
132,2016-05-12,12.8,20.6,5.3,0.0
133,2016-05-13,15.0,22.4,7.6,0.0
134,2016-05-14,13.5,20.2,8.8,0.0
135,2016-05-15,13.0,19.4,5.7,0.0
136,2016-05-16,10.6,14.2,8.8,0.0
137,2016-05-17,10.0,13.3,3.7,29.5
138,2016-05-18,10.8,20.3,1.9,0.0
139,2016-05-19,11.5,20.4,1.4,0.0
140,2016-05-20,10.8,19.1,3.8,0.0
141,2016-05-21,12.2,21.0,1.4,0.0
142,2016-05-22,13.1,21.9,2.5,0.0
143,2016-05-23,15.1,24.1,4.3,0.0
144,2016-05-24,15.5,22.8,7.0,0.0
145,2016-05-25,13.7,16.3,12.3,0.0
146,2016-05-26,16.0,23.4,11.7,0.0
147,2016-05-27,12.5,17.3,3.8,1.0
148,2016-05-28,11.2,17.9,3.8,0.0
149,2016-05-29,14.0,23.1,2.4,0.5
150,2016-05-30,9.9,13.8,6.6,18.0
151,2016-05-31,14.7,21.4,10.5,0.5
152,2016-06-01,11.9,18.3,5.0,0.0
153,2016-06-02,7.9,14.3,0.9,0.0
154,2016-06-03,9.5,17.8,-1.4,0.0
155,2016-06-04,13.0,18.6,8.6,0.0
156,2016-06-05,12.9,19.2,8.9,2.0
157,2016-06-06,13.3,19.7,4.7,0.5
158,2016-06-07,12.4,16.1,11.3,1.5
159,2016-06-08,14.2,19.5,10.4,0.0
