Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,7.5,12.3,2.5,0.0,1.2
1,2016-01-02,11.8,14.7,7.8,0.0,1.0
2,2016-01-03,12.6,15.9,9.4,0.0,0.8
3,2016-01-04,11.8,17.1,7.8,0.0,1.1
4,2016-01-05,10.5,13.5,7.8,14.0,1.2
5,2016-01-06,9.4,12.2,6.9,0.5,1.0
6,2016-01-07,9.4,11.2,8.1,0.0,2.4
7,2016-01-08,7.3,9.5,5.6,0.5,1.6
8,2016-01-09,7.0,10.0,4.5,0.0,1.3
9,2016-01-10,8.4,12.0,5.1,0.0,1.4
10,2016-01-11,8.9,12.3,5.8,0.0,1.2
11,2016-01-12,7.5,9.6,4.3,0.0,1.8
12,2016-01-13,5.9,7.4,4.0,0.0,1.8
13,2016-01-14,6.3,10.0,2.2,0.0,1.5
14,2016-01-15,5.2,8.7,1.3,0.0,1.6
15,2016-01-16,8.5,13.5,3.1,0.0,1.8
16,2016-01-17,8.9,10.9,4.2,15.5,1.6
17,2016-01-18,7.9,11.3,2.3,1.5,4.4
18,2016-01-19,3.6,5.2,1.7,0.5,4.9
19,2016-01-20,3.6,7.4,1.1,0.0,2.4
20,2016-01-21,3.5,5.3,0.5,0.5,1.3
21,2016-01-22,5.9,9.9,0.8,0.0,1.4
22,2016-01-23,5.2,8.8,-0.2,0.5,2.5
23,2016-01-24,-2.5,-0.1,-5.2,7.0,3.2
24,2016-01-25,-0.5,2.8,-6.2,1.5,1.0
25,2016-01-26,4.4,8.6,0.9,0.0,0.9
26,2016-01-27,7.5,11.4,2.3,0.0,1.2
27,2016-01-28,11.1,14.1,7.4,3.0,1.2
28,2016-01-29,13.8,15.4,11.7,41.0,1.2
29,2016-01-30,12.1,15.7,9.6,0.5,1.9
30,2016-01-31,9.6,14.0,5.8,0.0,1.7
31,2016-02-01,7.4,9.4,5.4,0.0,2.0
32,2016-02-02,5.9,9.4,2.7,0.0,2.0
33,2016-02-03,6.6,11.0,2.3,0.0,2.2
34,2016-02-04,6.6,11.5,2.3,0.0,1.7
35,2016-02-05,6.8,10.7,3.1,0.0,1.5
36,2016-02-06,6.1,9.8,2.5,0.0,2.1
37,2016-02-07,5.2,10.3,0.5,0.0,1.5
38,2016-02-08,7.0,11.5,1.3,0.0,1.9
39,2016-02-09,10.7,13.7,4.5,0.0,3.6
40,2016-02-10,7.5,13.5,2.7,0.0,1.2
41,2016-02-11,10.5,17.6,3.4,0.0,1.2
42,2016-02-12,15.8,18.6,11.4,2.0,2.8
43,2016-02-13,18.3,21.0,16.3,21.0,2.6
44,2016-02-14,10.5,17.1,5.6,0.5,4.3
45,2016-02-15,4.1,6.3,2.0,0.0,4.3
46,2016-02-16,4.4,7.0,2.0,1.0,1.7
47,2016-02-17,6.5,9.6,3.6,0.0,2.2
48,2016-02-18,7.4,12.1,1.2,0.0,1.6
49,2016-02-19,10.5,14.5,5.8,0.0,1.2
50,2016-02-20,10.1,13.1,8.0,30.5,2.1
51,2016-02-21,7.6,10.2,3.5,0.0,3.0
52,2016-02-22,6.8,10.3,2.3,2.5,1.1
53,2016-02-23,8.8,13.0,6.6,6.0,1.2
54,2016-02-24,7.4,11.1,2.0,0.0,2.8
55,2016-02-25,5.0,9.3,1.1,0.0,1.9
56,2016-02-26,5.1,10.1,0.3,0.0,1.2
57,2016-02-27,9.5,14.9,4.1,0.0,1.6
58,2016-02-28,12.2,17.6,6.0,0.0,1.5
59,2016-02-29,7.0,14.6,2.4,0.0,4.7
60,2016-03-01,3.2,6.6,-0.5,0.0,1.6
61,2016-03-02,6.8,11.9,0.3,0.0,1.8
62,2016-03-03,10.6,17.2,3.6,0.0,1.1
63,2016-03-04,15.2,20.8,10.9,0.0,1.4
64,2016-03-05,17.1,21.9,10.3,0.0,2.4
65,2016-03-06,18.6,23.1,15.0,0.0,1.9
66,2016-03-07,15.8,21.7,12.4,0.0,1.5
67,2016-03-08,14.3,18.1,11.4,0.0,1.3
68,2016-03-09,11.2,14.6,7.9,34.5,1.6
69,2016-03-10,10.3,13.2,7.8,0.0,1.6
70,2016-03-11,7.6,11.5,4.0,0.0,2.1
71,2016-03-12,6.8,12.3,1.2,0.0,1.6
72,2016-03-13,7.6,10.9,4.3,9.0,0.9
73,2016-03-14,9.6,14.0,6.7,2.0,2.0
74,2016-03-15,9.8,15.0,5.0,0.0,1.7
75,2016-03-16,11.4,17.5,6.3,0.0,1.2
76,2016-03-17,14.0,21.2,6.9,0.0,1.5
77,2016-03-18,15.6,16.7,13.5,10.0,2.1
78,2016-03-19,15.4,19.3,10.5,0.5,1.6
79,2016-03-20,12.5,18.3,6.6,0.0,2.2
80,2016-03-21,11.2,17.6,5.3,0.0,1.7
81,2016-03-22,11.2,17.5,4.4,0.0,1.5
82,2016-03-23,11.0,13.4,7.6,0.0,1.0
83,2016-03-24,11.1,15.6,6.6,0.0,2.2
84,2016-03-25,9.9,14.5,3.2,0.0,2.4
85,2016-03-26,10.3,15.7,4.3,0.5,2.5
86,2016-03-27,9.1,13.6,4.8,1.0,2.1
87,2016-03-28,10.4,16.3,3.5,0.0,2.0
88,2016-03-29,12.5,16.9,6.5,0.0,1.4
89,2016-03-30,14.6,16.7,11.8,0.0,1.4
90,2016-03-31,13.5,15.4,10.5,7.0,1.0
91,2016-04-01,15.6,20.1,12.4,0.0,1.6
92,2016-04-02,15.8,21.8,10.9,0.0,1.4
93,2016-04-03,16.8,20.6,14.4,6.0,1.0
94,2016-04-04,16.6,20.0,13.1,14.0,1.6
95,2016-04-05,15.2,19.1,11.2,0.0,1.8
96,2016-04-06,16.1,20.9,11.3,5.0,1.5
97,2016-04-07,19.4,24.9,15.6,25.0,4.6
98,2016-04-08,16.1,20.2,13.5,0.0,1.4
99,2016-04-09,16.5,21.5,12.2,0.0,1.4
100,2016-04-10,16.5,20.4,13.9,0.0,1.4
101,2016-04-11,15.4,20.3,9.6,0.0,1.6
102,2016-04-12,16.4,22.3,9.8,0.0,1.7
103,2016-04-13,17.8,21.1,14.9,5.0,1.9
104,2016-04-14,18.8,25.6,13.8,0.0,1.7
105,2016-04-15,18.2,25.2,12.3,0.0,1.4
106,2016-04-16,18.0,24.4,12.0,1.0,2.5
107,2016-04-17,16.5,20.5,11.9,7.5,3.9
108,2016-04-18,13.6,17.3,9.4,0.0,1.5
109,2016-04-19,14.7,20.1,9.0,0.0,1.9
110,2016-04-20,16.7,23.4,8.9,0.0,1.8
111,2016-04-21,18.6,23.4,16.1,44.0,4.0
112,2016-04-22,17.7,20.8,14.7,0.0,2.1
113,2016-04-23,15.1,17.2,13.5,2.5,1.1
114,2016-04-24,15.7,18.3,13.6,3.5,0.8
115,2016-04-25,16.8,18.4,15.5,3.5,0.8
116,2016-04-26,19.1,23.9,16.4,2.0,0.8
117,2016-04-27,18.8,21.3,17.4,20.0,1.8
118,2016-04-28,17.1,20.9,12.9,2.5,2.7
119,2016-04-29,15.5,20.2,10.6,0.0,1.9
120,2016-04-30,16.0,21.7,10.5,0.0,1.6
121,2016-05-01,18.1,23.9,12.7,0.0,1.4
122,2016-05-02,20.1,25.7,14.4,0.0,2.0
123,2016-05-03,18.7,21.4,14.2,35.0,4.1
124,2016-05-04,18.2,22.1,12.1,0.0,3.2
125,2016-05-05,19.3,24.9,15.4,0.0,1.4
126,2016-05-06,18.7,22.0,14.7,13.0,2.0
127,2016-05-07,19.3,22.6,16.6,1.0,1.8
128,2016-05-08,18.9,24.0,16.2,22.0,1.4
129,2016-05-09,19.7,21.9,18.4,13.0,2.3
130,2016-05-10,20.2,22.4,18.3,53.0,2.2
131,2016-05-11,18.1,22.3,14.0,0.0,1.7
132,2016-05-12,18.6,24.6,12.0,0.0,1.7
133,2016-05-13,20.1,25.2,15.9,0.0,1.6
134,2016-05-14,20.7,26.0,14.5,0.0,1.7
135,2016-05-15,23.3,28.2,19.9,0.5,1.8
136,2016-05-16,17.2,23.9,11.1,45.5,2.6
137,2016-05-17,16.6,23.2,10.2,0.0,1.6
138,2016-05-18,18.8,26.3,12.7,0.0,1.6
139,2016-05-19,20.6,27.1,14.7,0.0,1.5
140,2016-05-20,22.0,28.3,15.0,0.0,1.7
141,2016-05-21,21.6,26.7,16.8,0.0,1.5
142,2016-05-22,21.2,28.6,15.5,0.0,1.5
143,2016-05-23,22.2,29.4,15.8,0.0,1.6
144,2016-05-24,23.3,27.7,19.5,30.0,1.8
145,2016-05-25,22.5,26.8,20.8,26.0,1.3
146,2016-05-26,22.5,26.3,20.2,0.0,1.7
147,2016-05-27,22.1,25.3,19.8,0.0,1.6
148,2016-05-28,20.4,21.8,18.8,10.0,1.0
149,2016-05-29,21.1,22.1,20.1,22.5,0.7
150,2016-05-30,21.7,25.6,18.0,0.0,1.8
151,2016-05-31,21.2,26.0,16.4,0.0,1.6
152,2016-06-01,20.8,24.1,18.1,0.0,1.1
153,2016-06-02,21.8,28.4,15.4,0.0,1.9
154,2016-06-03,21.4,27.8,16.3,0.0,1.5
155,2016-06-04,19.4,21.3,16.5,18.0,1.3
156,2016-06-05,21.6,24.8,20.0,0.0,1.5
157,2016-06-06,21.8,24.5,19.5,0.0,1.2
158,2016-06-07,22.3,25.8,20.2,0.0,1.5
159,2016-06-08,22.3,26.1,18.8,0.0,1.6
160,2016-06-09,22.9,27.3,20.4,0.0,1.4
161,2016-06-10,24.0,28.4,19.9,0.0,1.7
162,2016-06-11,25.7,30.9,21.1,0.0,1.2
163,2016-06-12,23.1,25.3,22.1,15.5,1.2
164,2016-06-13,23.5,27.9,21.0,3.0,1.2
165,2016-06-14,23.2,27.3,19.7,0.0,1.8
166,2016-06-15,25.0,28.5,20.6,0.0,1.6
167,2016-06-16,23.3,25.9,21.1,4.5,1.7
168,2016-06-17,22.4,25.3,20.2,0.0,1.8
169,2016-06-18,23.2,28.5,18.6,0.0,1.3
170,2016-06-19,24.7,26.4,22.1,35.5,3.0
171,2016-06-20,24.3,26.2,22.7,96.5,3.2
172,2016-06-21,24.3,26.1,23.4,7.5,2.4
173,2016-06-22,26.0,28.3,23.5,31.5,4.3
174,2016-06-23,24.2,26.4,23.3,1.0,2.5
175,2016-06-24,26.5,30.4,23.9,0.5,4.1
176,2016-06-25,20.4,24.1,17.3,33.0,1.9
177,2016-06-26,21.8,25.5,17.5,0.0,2.4
178,2016-06-27,19.8,22.0,17.6,34.0,1.2
179,2016-06-28,21.7,23.5,20.3,56.0,1.0
180,2016-06-29,24.0,27.0,22.7,49.0,1.8
181,2016-06-30,23.7,26.4,21.8,5.0,1.2
182,2016-07-01,25.7,29.1,21.5,0.0,1.7
183,2016-07-02,27.4,30.2,24.9,0.0,2.6
184,2016-07-03,27.4,29.9,25.3,4.5,3.2
185,2016-07-04,27.4,30.5,25.1,0.5,1.8
186,2016-07-05,27.6,32.0,23.9,0.0,1.5
187,2016-07-06,27.1,31.0,24.3,0.0,1.7
188,2016-07-07,26.8,32.3,22.8,0.0,1.2
189,2016-07-08,24.2,26.8,23.4,79.5,2.4
190,2016-07-09,26.4,30.4,24.1,1.0,1.5
191,2016-07-10,25.7,27.4,24.7,18.0,1.0
192,2016-07-11,25.9,27.3,24.6,24.5,1.4
193,2016-07-12,28.9,32.1,25.6,0.0,4.3
194,2016-07-13,27.0,29.1,24.8,116.0,5.5
195,2016-07-14,26.4,29.2,23.1,0.5,2.7
196,2016-07-15,25.7,30.4,21.9,0.0,1.5
197,2016-07-16,27.2,30.3,24.1,1.0,2.7
198,2016-07-17,26.2,29.2,23.9,0.5,1.9
199,2016-07-18,26.2,30.2,22.6,0.0,1.4
200,2016-07-19,27.3,32.3,23.6,0.0,1.5
201,2016-07-20,27.3,31.5,25.0,0.0,1.2
