Unnamed: 0,calendar_date,avg_temperature,precipitation,avg_wind_speed
0,2016-01-01,9.4,0.0,1.9
1,2016-01-02,13.7,2.0,1.9
2,2016-01-03,13.7,0.0,2.0
3,2016-01-04,13.6,0.0,2.3
4,2016-01-05,11.6,2.5,4.3
5,2016-01-06,10.8,0.0,4.6
6,2016-01-07,8.4,0.0,4.3
7,2016-01-08,7.1,0.0,4.1
8,2016-01-09,7.6,0.0,3.4
9,2016-01-10,8.5,0.0,3.2
10,2016-01-11,9.5,0.0,4.1
11,2016-01-12,7.6,0.0,3.9
12,2016-01-13,6.1,0.5,4.4
13,2016-01-14,7.0,0.0,3.8
14,2016-01-15,7.4,0.0,2.7
15,2016-01-16,9.8,0.0,2.8
16,2016-01-17,9.8,16.5,4.8
17,2016-01-18,7.0,3.0,7.6
18,2016-01-19,2.8,1.0,7.6
19,2016-01-20,3.1,0.0,4.5
20,2016-01-21,5.5,0.0,2.8
21,2016-01-22,6.5,0.0,5.6
22,2016-01-23,3.7,0.0,6.1
23,2016-01-24,-2.1,3.0,7.5
24,2016-01-25,3.0,0.5,4.8
25,2016-01-26,6.9,1.0,3.9
26,2016-01-27,9.1,0.0,2.0
27,2016-01-28,11.3,23.0,2.9
28,2016-01-29,12.3,41.0,5.8
29,2016-01-30,10.9,0.5,6.9
30,2016-01-31,9.1,0.0,3.5
31,2016-02-01,6.2,0.0,3.7
32,2016-02-02,4.6,0.0,3.9
33,2016-02-03,5.9,0.0,2.7
34,2016-02-04,7.3,0.0,3.3
35,2016-02-05,7.9,0.0,3.3
36,2016-02-06,5.8,0.0,4.9
37,2016-02-07,5.4,0.0,3.5
38,2016-02-08,7.6,0.0,3.6
39,2016-02-09,9.7,0.0,4.6
40,2016-02-10,9.5,0.0,1.9
41,2016-02-11,12.3,0.0,3.4
42,2016-02-12,14.8,5.5,11.7
43,2016-02-13,16.5,132.5,4.8
44,2016-02-14,8.0,0.5,7.7
45,2016-02-15,3.0,0.0,6.1
46,2016-02-16,5.1,4.5,5.2
47,2016-02-17,6.0,0.0,4.3
48,2016-02-18,8.1,0.0,1.9
49,2016-02-19,10.5,9.0,1.7
50,2016-02-20,9.8,23.0,5.0
51,2016-02-21,5.9,0.0,5.0
52,2016-02-22,7.5,1.0,1.8
53,2016-02-23,9.1,2.5,5.5
54,2016-02-24,5.9,0.0,4.6
55,2016-02-25,5.0,0.0,4.9
