Unnamed: 0,calendar_date,cloud_cover
0,2016-01-01,1.7
1,2016-01-02,8.0
2,2016-01-03,5.3
3,2016-01-04,7.0
4,2016-01-05,7.7
5,2016-01-06,10.0
6,2016-01-07,9.7
7,2016-01-08,9.3
8,2016-01-09,2.3
9,2016-01-10,4.3
10,2016-01-11,9.0
11,2016-01-12,4.3
12,2016-01-13,8.3
13,2016-01-14,7.0
14,2016-01-15,4.3
15,2016-01-16,2.3
16,2016-01-17,10.0
17,2016-01-18,10.0
18,2016-01-19,5.7
19,2016-01-20,9.0
20,2016-01-21,8.3
21,2016-01-22,8.0
22,2016-01-23,10.0
23,2016-01-24,3.3
24,2016-01-25,2.7
25,2016-01-26,6.0
26,2016-01-27,7.3
27,2016-01-28,8.3
28,2016-01-29,10.0
29,2016-01-30,10.0
30,2016-01-31,3.0
31,2016-02-01,10.0
32,2016-02-02,8.7
33,2016-02-03,5.7
34,2016-02-04,7.7
35,2016-02-05,5.0
36,2016-02-06,6.7
37,2016-02-07,5.3
38,2016-02-08,2.0
39,2016-02-09,7.3
40,2016-02-10,2.7
41,2016-02-11,2.3
42,2016-02-12,10.0
43,2016-02-13,10.0
44,2016-02-14,10.0
45,2016-02-15,9.7
46,2016-02-16,5.0
47,2016-02-17,5.3
48,2016-02-18,1.3
49,2016-02-19,6.7
50,2016-02-20,10.0
51,2016-02-21,3.7
52,2016-02-22,9.7
53,2016-02-23,7.3
54,2016-02-24,7.0
55,2016-02-25,2.0
56,2016-02-26,6.0
57,2016-02-27,10.0
58,2016-02-28,4.7
59,2016-02-29,7.0
60,2016-03-01,4.7
61,2016-03-02,2.7
62,2016-03-03,0.7
63,2016-03-04,6.7
64,2016-03-05,7.3
65,2016-03-06,10.0
66,2016-03-07,7.0
67,2016-03-08,8.7
68,2016-03-09,10.0
69,2016-03-10,10.0
70,2016-03-11,4.3
71,2016-03-12,0.3
72,2016-03-13,10.0
73,2016-03-14,10.0
74,2016-03-15,0.7
75,2016-03-16,10.0
76,2016-03-17,4.3
77,2016-03-18,9.3
78,2016-03-19,10.0
79,2016-03-20,8.3
80,2016-03-21,2.7
81,2016-03-22,1.0
82,2016-03-23,8.0
83,2016-03-24,7.3
84,2016-03-25,7.0
85,2016-03-26,2.3
86,2016-03-27,7.3
87,2016-03-28,4.7
88,2016-03-29,7.0
89,2016-03-30,10.0
90,2016-03-31,10.0
91,2016-04-01,10.0
92,2016-04-02,8.3
93,2016-04-03,10.0
94,2016-04-04,10.0
95,2016-04-05,5.7
96,2016-04-06,10.0
97,2016-04-07,10.0
98,2016-04-08,10.0
99,2016-04-09,10.0
100,2016-04-10,10.0
101,2016-04-11,5.3
102,2016-04-12,8.3
103,2016-04-13,10.0
104,2016-04-14,5.0
105,2016-04-15,0.3
106,2016-04-16,7.3
107,2016-04-17,6.3
108,2016-04-18,10.0
109,2016-04-19,2.3
110,2016-04-20,6.7
111,2016-04-21,10.0
112,2016-04-22,8.0
113,2016-04-23,9.3
114,2016-04-24,10.0
115,2016-04-25,10.0
116,2016-04-26,5.0
117,2016-04-27,10.0
118,2016-04-28,10.0
119,2016-04-29,5.3
120,2016-04-30,0.7
121,2016-05-01,5.0
122,2016-05-02,3.7
123,2016-05-03,10.0
124,2016-05-04,0.3
125,2016-05-05,6.7
126,2016-05-06,10.0
127,2016-05-07,8.0
128,2016-05-08,10.0
129,2016-05-09,10.0
130,2016-05-10,10.0
131,2016-05-11,10.0
132,2016-05-12,0.3
133,2016-05-13,6.3
134,2016-05-14,8.3
135,2016-05-15,9.3
136,2016-05-16,9.0
137,2016-05-17,7.3
138,2016-05-18,1.7
139,2016-05-19,10.0
140,2016-05-20,3.3
141,2016-05-21,1.0
142,2016-05-22,3.0
143,2016-05-23,6.3
144,2016-05-24,7.3
145,2016-05-25,10.0
146,2016-05-26,9.3
147,2016-05-27,8.3
148,2016-05-28,10.0
149,2016-05-29,8.7
150,2016-05-30,9.7
151,2016-05-31,6.7
152,2016-06-01,7.3
153,2016-06-02,1.7
154,2016-06-03,4.0
155,2016-06-04,10.0
156,2016-06-05,8.0
157,2016-06-06,9.7
158,2016-06-07,10.0
159,2016-06-08,10.0
160,2016-06-09,7.3
161,2016-06-10,2.3
162,2016-06-11,10.0
163,2016-06-12,10.0
164,2016-06-13,10.0
165,2016-06-14,8.0
166,2016-06-15,10.0
167,2016-06-16,10.0
168,2016-06-17,10.0
169,2016-06-18,7.0
170,2016-06-19,10.0
171,2016-06-20,10.0
172,2016-06-21,8.3
173,2016-06-22,10.0
174,2016-06-23,7.7
175,2016-06-24,10.0
176,2016-06-25,10.0
177,2016-06-26,8.3
178,2016-06-27,7.0
179,2016-06-28,10.0
180,2016-06-29,10.0
181,2016-06-30,10.0
182,2016-07-01,9.3
183,2016-07-02,9.0
184,2016-07-03,9.0
185,2016-07-04,10.0
186,2016-07-05,6.7
187,2016-07-06,4.0
188,2016-07-07,9.0
189,2016-07-08,10.0
190,2016-07-09,10.0
191,2016-07-10,10.0
192,2016-07-11,9.7
193,2016-07-12,10.0
194,2016-07-13,10.0
195,2016-07-14,8.0
196,2016-07-15,9.3
197,2016-07-16,10.0
198,2016-07-17,10.0
199,2016-07-18,5.3
200,2016-07-19,1.7
201,2016-07-20,6.0
202,2016-07-21,9.7
203,2016-07-22,6.7
204,2016-07-23,10.0
205,2016-07-24,10.0
206,2016-07-25,10.0
207,2016-07-26,10.0
208,2016-07-27,7.7
209,2016-07-28,7.7
210,2016-07-29,8.3
211,2016-07-30,9.7
212,2016-07-31,4.3
213,2016-08-01,4.3
214,2016-08-02,10.0
215,2016-08-03,9.7
216,2016-08-04,6.3
217,2016-08-05,7.3
218,2016-08-06,6.3
219,2016-08-07,4.0
220,2016-08-08,5.0
221,2016-08-09,5.3
222,2016-08-10,6.7
223,2016-08-11,9.0
224,2016-08-12,1.7
225,2016-08-13,5.7
226,2016-08-14,6.3
227,2016-08-15,10.0
228,2016-08-16,7.0
229,2016-08-17,5.0
230,2016-08-18,8.0
231,2016-08-19,6.7
232,2016-08-20,7.0
233,2016-08-21,3.3
234,2016-08-22,5.3
235,2016-08-23,10.0
236,2016-08-24,5.7
237,2016-08-25,6.7
238,2016-08-26,6.0
239,2016-08-27,9.3
240,2016-08-28,9.0
241,2016-08-29,10.0
242,2016-08-30,7.0
243,2016-08-31,0.0
244,2016-09-01,9.7
245,2016-09-02,8.0
246,2016-09-03,6.7
247,2016-09-04,7.3
248,2016-09-05,10.0
249,2016-09-06,9.7
250,2016-09-07,7.7
251,2016-09-08,6.3
252,2016-09-09,4.0
253,2016-09-10,7.3
254,2016-09-11,10.0
255,2016-09-12,10.0
256,2016-09-13,10.0
257,2016-09-14,10.0
258,2016-09-15,9.7
259,2016-09-16,9.3
260,2016-09-17,10.0
261,2016-09-18,10.0
262,2016-09-19,10.0
263,2016-09-20,10.0
264,2016-09-21,9.3
265,2016-09-22,10.0
266,2016-09-23,10.0
267,2016-09-24,9.3
