,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,3.2,6.8,0.9,9.0,0.9,0,0,2.6
1,2016-01-02,9.0,13.5,1.4,0.0,1.9,0,0,4.0
2,2016-01-03,13.0,14.8,11.5,0.0,2.3,0,0,3.0
3,2016-01-04,9.9,15.7,7.7,1.0,3.0,0,0,3.1
4,2016-01-05,6.0,8.1,4.4,10.5,0.0,0,0,2.9
5,2016-01-06,5.5,9.1,2.5,5.0,0.4,0,0,2.2
6,2016-01-07,4.0,7.4,0.2,12.0,0.0,0,0,3.5
7,2016-01-08,2.8,6.7,0.3,29.0,0.0,0,0,2.2
8,2016-01-09,2.4,5.3,0.3,5.0,0.0,0,0,2.7
9,2016-01-10,6.0,7.4,3.7,19.5,0.1,0,0,5.2
10,2016-01-11,1.0,5.4,-1.1,13.0,0.0,9,14,1.9
11,2016-01-12,0.1,0.8,-0.9,6.5,0.0,11,12,
12,2016-01-13,2.6,5.3,0.0,23.0,3.1,14,5,2.7
13,2016-01-14,1.0,4.3,-0.3,35.5,0.0,9,8,2.0
14,2016-01-15,0.1,3.9,-2.9,8.5,5.8,18,14,1.3
15,2016-01-16,1.6,5.7,-0.6,18.0,0.0,11,3,2.4
16,2016-01-17,0.6,3.1,-3.4,0.0,0.7,10,1,1.8
17,2016-01-18,3.2,8.6,1.2,30.5,0.0,9,0,3.1
18,2016-01-19,2.5,6.2,-0.5,7.0,3.2,2,0,7.4
19,2016-01-20,3.5,5.9,-1.3,4.5,0.2,1,1,6.1
20,2016-01-21,2.9,4.4,0.7,10.0,0.7,0,0,3.9
21,2016-01-22,1.9,3.8,0.5,23.5,0.2,4,7,3.9
22,2016-01-23,0.3,2.5,-4.3,10.5,1.2,17,20,1.9
23,2016-01-24,-0.7,1.8,-4.0,32.5,0.0,50,39,5.5
24,2016-01-25,1.3,3.3,-2.2,18.0,1.2,55,7,4.8
25,2016-01-26,2.4,7.3,-1.8,0.0,4.4,48,0,1.5
26,2016-01-27,7.1,8.6,2.9,2.0,1.6,41,0,4.7
27,2016-01-28,5.6,9.3,1.8,5.5,0.2,22,0,2.5
28,2016-01-29,0.7,2.7,0.1,28.0,0.0,28,13,1.5
29,2016-01-30,1.5,4.3,0.2,10.0,0.2,31,3,
30,2016-01-31,2.3,4.9,0.3,3.5,0.0,25,1,1.5
31,2016-02-01,0.3,1.3,-0.5,19.5,0.0,35,14,
32,2016-02-02,1.3,3.1,-1.0,3.0,0.2,36,3,2.9
33,2016-02-03,0.9,3.0,-0.1,8.0,0.0,33,6,1.7
34,2016-02-04,3.0,6.4,-0.1,13.5,3.9,35,3,3.2
35,2016-02-05,2.5,6.5,0.9,30.0,0.2,28,0,2.3
36,2016-02-06,0.9,2.7,-0.1,20.0,0.5,38,20,1.3
37,2016-02-07,-0.1,1.9,-4.2,5.5,0.5,45,13,
38,2016-02-08,-1.7,5.7,-9.9,0.0,9.8,38,0,1.7
39,2016-02-09,3.0,5.1,-0.4,14.0,0.1,32,1,4.1
40,2016-02-10,2.7,4.2,0.5,3.0,0.9,27,2,5.2
41,2016-02-11,2.3,6.9,-2.9,0.0,5.6,26,0,1.8
42,2016-02-12,3.0,14.3,-4.9,0.0,8.7,22,0,1.4
43,2016-02-13,5.4,10.8,2.2,0.0,0.0,19,0,1.3
44,2016-02-14,9.8,14.6,6.4,13.0,0.0,16,0,4.9
45,2016-02-15,1.8,7.4,-0.9,5.0,0.0,2,3,4.6
46,2016-02-16,2.5,5.9,-1.2,3.5,4.9,3,4,4.0
47,2016-02-17,2.4,3.8,0.5,9.5,0.0,0,0,3.9
48,2016-02-18,3.8,9.6,0.3,0.0,9.4,0,0,2.6
49,2016-02-19,6.7,12.4,-0.6,0.0,5.3,0,0,3.0
50,2016-02-20,5.7,8.9,3.0,2.0,0.0,0,0,1.7
51,2016-02-21,6.4,9.5,2.3,7.5,2.7,0,0,5.3
52,2016-02-22,2.5,5.8,0.2,0.0,2.0,0,0,2.1
53,2016-02-23,5.9,10.7,0.3,8.0,3.0,0,0,3.3
54,2016-02-24,1.4,5.5,-1.4,6.5,0.2,12,17,3.2
55,2016-02-25,0.3,2.9,-1.5,12.0,1.6,17,10,
56,2016-02-26,2.2,3.8,0.9,12.0,1.3,3,3,3.8
57,2016-02-27,5.5,9.3,0.8,1.5,6.5,1,0,3.2
58,2016-02-28,6.8,10.1,2.8,0.0,7.8,0,0,2.8
59,2016-02-29,5.7,14.3,0.8,20.5,0.0,0,0,5.4
60,2016-03-01,0.8,2.1,-0.9,4.5,0.9,0,0,5.1
61,2016-03-02,3.2,6.5,-0.2,16.0,1.6,5,5,3.5
62,2016-03-03,6.3,10.4,1.7,1.0,0.3,0,0,3.4
63,2016-03-04,4.6,10.6,-0.4,0.0,9.7,0,0,2.0
64,2016-03-05,7.2,15.6,-0.5,0.0,8.2,0,0,1.9
65,2016-03-06,13.3,22.8,4.2,0.0,7.1,0,0,2.5
66,2016-03-07,9.6,12.0,7.0,0.5,0.0,0,0,1.8
67,2016-03-08,8.5,12.2,5.4,1.0,0.0,0,0,2.0
68,2016-03-09,3.0,7.5,1.6,6.0,0.0,0,0,1.8
69,2016-03-10,3.3,5.6,1.5,0.0,0.6,0,0,1.7
70,2016-03-11,2.7,5.9,0.1,3.5,5.1,0,0,1.7
71,2016-03-12,2.8,6.1,-0.4,0.0,3.9,0,0,2.0
72,2016-03-13,4.3,8.8,-0.9,0.0,2.7,0,0,1.7
73,2016-03-14,3.8,5.5,1.5,4.5,0.0,0,0,1.4
74,2016-03-15,3.9,7.4,-0.3,1.0,6.0,0,0,2.8
75,2016-03-16,4.7,11.1,-1.7,0.0,3.9,0,0,1.9
76,2016-03-17,7.4,14.8,-0.4,0.0,10.9,0,0,1.8
77,2016-03-18,10.6,18.2,2.0,0.0,5.2,0,0,1.8
78,2016-03-19,9.8,13.0,8.0,7.0,0.0,0,0,2.2
79,2016-03-20,8.0,9.7,4.7,0.0,0.3,0,0,2.7
80,2016-03-21,4.7,8.8,-0.1,1.5,6.9,0,0,2.4
81,2016-03-22,7.7,12.8,-1.3,0.0,11.0,0,0,2.6
82,2016-03-23,7.4,11.6,3.5,0.0,0.9,0,0,2.8
83,2016-03-24,4.3,7.6,1.7,4.5,1.6,0,0,2.4
84,2016-03-25,4.0,7.5,0.7,2.5,4.9,0,0,2.5
85,2016-03-26,4.6,8.9,-0.1,0.0,7.0,0,0,2.2
86,2016-03-27,5.6,10.4,-0.9,0.0,11.2,0,0,1.9
87,2016-03-28,7.3,12.5,2.1,0.0,11.6,0,0,2.0
88,2016-03-29,7.8,13.2,-0.2,0.0,10.0,0,0,1.9
89,2016-03-30,11.3,18.8,3.3,1.0,8.0,0,0,3.0
90,2016-03-31,9.5,15.8,3.1,0.0,10.5,0,0,2.0
91,2016-04-01,10.5,18.4,1.7,0.0,9.1,0,0,2.0
92,2016-04-02,12.5,18.7,4.2,0.0,11.2,0,0,1.7
93,2016-04-03,16.4,23.9,11.9,0.0,4.0,0,0,2.4
94,2016-04-04,8.7,12.8,6.3,15.0,0.0,0,0,2.2
95,2016-04-05,9.1,13.6,5.3,0.0,8.7,0,0,2.0
96,2016-04-06,10.7,14.9,5.2,0.0,8.7,0,0,2.1
97,2016-04-07,11.8,16.2,8.5,18.0,0.0,0,0,3.0
98,2016-04-08,11.5,15.4,5.8,0.5,1.2,0,0,1.8
99,2016-04-09,12.8,20.5,4.9,0.0,10.5,0,0,2.7
