,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,4.4,7.8,1.7,1.5,5.2
1,2016-01-02,7.2,11.9,2.5,5.5,5.6
2,2016-01-03,10.0,11.9,7.9,15.5,4.5
3,2016-01-04,8.6,13.7,6.0,0.5,5.8
4,2016-01-05,4.8,6.5,2.7,7.5,5.7
5,2016-01-06,5.5,8.4,2.5,2.0,4.4
6,2016-01-07,5.1,7.1,2.6,1.0,7.5
7,2016-01-08,2.9,5.5,1.7,4.0,3.3
8,2016-01-09,3.4,5.5,1.4,1.5,5.5
9,2016-01-10,5.1,7.8,2.0,12.5,7.0
10,2016-01-11,2.0,4.2,0.5,5.0,7.2
11,2016-01-12,1.5,3.4,0.0,1.0,4.6
12,2016-01-13,1.9,4.5,-0.5,14.0,4.1
13,2016-01-14,1.8,5.4,-0.6,5.0,6.8
14,2016-01-15,-0.7,1.7,-3.3,1.0,1.8
15,2016-01-16,1.5,3.9,-1.3,4.0,5.3
16,2016-01-17,1.2,4.2,-2.4,3.5,3.3
17,2016-01-18,3.0,7.4,1.2,13.0,4.4
18,2016-01-19,2.7,7.0,-0.5,13.5,10.9
19,2016-01-20,2.0,5.7,-1.2,9.0,9.1
20,2016-01-21,3.4,5.1,1.4,0.0,7.3
21,2016-01-22,3.1,5.9,1.6,0.0,8.2
22,2016-01-23,1.2,2.7,-0.8,1.0,5.6
23,2016-01-24,-0.5,2.1,-2.8,20.5,7.5
24,2016-01-25,1.1,3.0,-2.2,1.5,7.7
25,2016-01-26,1.9,5.7,0.4,0.5,4.2
26,2016-01-27,4.7,6.7,2.4,6.5,5.1
27,2016-01-28,4.4,6.8,2.2,6.0,2.8
28,2016-01-29,1.8,3.1,0.7,9.0,6.8
29,2016-01-30,1.3,2.5,-0.2,5.0,3.3
30,2016-01-31,2.4,5.1,0.6,4.5,4.6
31,2016-02-01,1.8,2.5,0.4,0.0,5.2
32,2016-02-02,2.1,5.1,-0.7,0.0,6.4
33,2016-02-03,2.2,4.2,0.5,1.0,4.2
