,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed
0,2016-01-01,3.1,7.7,0.4,0.0,4.6,0,0,3.7
1,2016-01-02,5.9,10.9,0.9,7.0,0.0,0,0,3.6
2,2016-01-03,9.1,11.7,6.7,14.5,0.3,0,0,2.6
3,2016-01-04,8.0,13.1,5.3,2.5,1.5,0,0,3.6
4,2016-01-05,3.9,5.6,2.5,8.5,0.0,0,0,2.4
5,2016-01-06,4.4,7.7,1.9,3.5,1.5,0,0,2.0
6,2016-01-07,3.2,5.2,0.8,2.5,0.0,0,0,3.2
7,2016-01-08,2.3,3.6,1.2,4.5,0.0,0,0,2.6
8,2016-01-09,1.6,3.1,0.3,4.5,0.0,0,0,2.7
9,2016-01-10,3.5,5.6,0.8,21.0,0.0,0,0,4.0
10,2016-01-11,0.6,3.6,-0.7,6.0,0.0,1,1,2.9
11,2016-01-12,-0.3,0.7,-1.0,9.0,0.0,12,13,
12,2016-01-13,0.8,3.8,-3.1,24.0,1.4,8,3,3.4
13,2016-01-14,-0.2,2.2,-2.7,18.5,0.0,12,11,2.4
14,2016-01-15,-1.9,1.4,-5.9,0.0,0.8,11,1,1.0
15,2016-01-16,0.1,1.8,-4.0,11.5,0.0,21,19,2.5
16,2016-01-17,0.2,2.8,-5.1,2.0,1.5,19,3,
17,2016-01-18,1.9,5.3,0.5,17.0,0.0,7,3,6.0
18,2016-01-19,0.9,5.7,-1.9,37.0,0.0,26,27,10.4
19,2016-01-20,0.6,3.2,-3.3,17.5,0.4,32,11,5.1
20,2016-01-21,0.8,2.8,-3.1,0.0,0.4,24,4,2.9
21,2016-01-22,1.0,3.6,-1.0,0.0,2.5,22,3,4.0
22,2016-01-23,-0.4,1.9,-1.8,1.0,0.2,23,7,2.8
23,2016-01-24,-1.9,0.1,-3.6,40.0,0.0,73,52,4.6
24,2016-01-25,-1.0,2.0,-4.4,1.5,1.6,72,2,4.0
25,2016-01-26,0.6,3.7,-1.8,4.5,1.1,65,6,3.0
26,2016-01-27,2.4,3.9,0.6,28.0,0.1,53,0,4.1
27,2016-01-28,2.3,4.6,0.8,10.0,0.8,35,0,1.6
28,2016-01-29,0.4,1.9,-0.2,13.0,0.0,33,6,3.4
29,2016-01-30,0.3,1.5,-1.0,7.5,0.0,42,9,
30,2016-01-31,0.9,4.1,-0.2,7.5,0.5,37,6,1.9
31,2016-02-01,-0.5,1.1,-5.8,3.0,1.1,41,5,
32,2016-02-02,0.0,3.0,-7.5,0.0,2.7,34,1,3.2
33,2016-02-03,0.6,2.3,-1.3,0.0,1.0,31,0,2.8
34,2016-02-04,1.3,4.1,-1.6,9.5,3.6,30,2,4.2
35,2016-02-05,1.4,3.3,0.1,6.5,2.3,28,1,2.5
36,2016-02-06,0.3,2.5,-1.7,5.5,0.9,29,6,2.2
37,2016-02-07,-1.8,1.7,-9.4,3.5,2.8,36,8,2.2
38,2016-02-08,-1.5,4.9,-7.7,0.0,10.2,26,1,2.4
39,2016-02-09,1.2,3.2,-3.4,18.0,0.1,26,4,3.8
40,2016-02-10,1.9,4.4,0.2,0.0,5.0,26,2,3.9
41,2016-02-11,1.1,5.7,-3.5,0.0,4.0,23,0,2.3
42,2016-02-12,2.5,7.4,-5.6,0.0,9.6,22,0,3.4
43,2016-02-13,5.1,9.6,1.5,0.5,0.2,18,0,3.0
44,2016-02-14,7.0,10.6,2.0,14.5,0.0,12,0,4.4
45,2016-02-15,1.0,5.4,-1.4,3.0,1.0,0,0,4.4
46,2016-02-16,0.0,2.5,-2.0,25.0,1.9,6,6,4.5
47,2016-02-17,0.6,2.4,-5.2,21.0,0.1,17,12,3.2
48,2016-02-18,1.3,6.6,-3.4,0.0,8.7,12,0,2.4
49,2016-02-19,3.5,10.2,-4.6,0.0,4.1,8,1,3.5
50,2016-02-20,5.8,9.2,1.3,4.5,0.0,1,0,3.4
51,2016-02-21,4.7,8.7,1.4,6.0,2.8,0,0,5.5
52,2016-02-22,2.7,6.7,1.1,0.0,2.9,0,0,2.3
53,2016-02-23,4.7,9.2,0.4,4.0,2.1,0,0,3.6
54,2016-02-24,0.9,4.2,-1.9,2.0,3.2,2,2,3.4
55,2016-02-25,-0.1,3.0,-2.7,3.5,2.3,2,2,3.6
56,2016-02-26,0.8,2.5,-1.2,8.5,3.0,1,2,3.5
57,2016-02-27,3.8,8.2,-0.4,4.0,6.5,1,0,3.9
58,2016-02-28,5.5,9.8,0.5,0.5,7.7,0,0,3.7
59,2016-02-29,4.5,9.0,0.7,14.5,0.0,0,0,4.6
60,2016-03-01,0.2,2.3,-1.3,0.5,3.1,1,1,5.2
61,2016-03-02,0.7,3.2,-0.7,6.5,2.0,7,7,4.1
62,2016-03-03,4.4,9.2,0.8,3.0,0.0,0,0,3.5
63,2016-03-04,3.6,9.9,-1.4,0.0,8.3,0,0,1.4
64,2016-03-05,7.3,15.3,-1.2,0.0,9.6,0,0,4.7
65,2016-03-06,13.0,19.4,8.0,0.0,7.1,0,0,5.2
66,2016-03-07,9.0,11.6,5.9,6.0,0.0,0,0,2.4
67,2016-03-08,8.2,11.6,5.1,0.5,0.5,0,0,3.7
68,2016-03-09,3.3,5.7,1.6,1.5,0.0,0,0,2.0
69,2016-03-10,2.7,6.3,-0.9,0.0,2.0,0,0,2.3
70,2016-03-11,1.5,6.9,-2.1,0.5,3.7,0,0,2.0
71,2016-03-12,2.4,7.0,-0.8,0.0,6.5,0,0,2.0
72,2016-03-13,4.6,9.3,-1.6,0.0,5.3,0,0,1.8
73,2016-03-14,4.7,7.7,3.2,4.0,0.0,0,0,1.8
74,2016-03-15,4.4,8.1,1.1,1.0,5.8,0,0,3.7
