Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,3.2,7.2,1.2,1.0,1.6
1,2016-01-02,6.8,11.6,1.5,2.0,0.0
2,2016-01-03,8.6,12.9,5.9,1.5,1.1
3,2016-01-04,8.4,14.0,5.9,5.0,1.8
4,2016-01-05,4.5,6.0,3.2,7.5,0.0
5,2016-01-06,5.1,7.7,2.3,1.5,1.1
6,2016-01-07,3.5,6.0,0.9,3.5,0.0
7,2016-01-08,2.6,4.1,1.3,10.0,0.2
8,2016-01-09,2.0,3.0,0.7,2.5,0.0
9,2016-01-10,3.6,5.6,1.2,25.0,0.0
10,2016-01-11,1.2,3.5,-0.2,2.5,0.0
11,2016-01-12,0.4,1.7,-0.7,5.0,0.0
12,2016-01-13,2.0,4.8,-0.2,20.5,1.3
13,2016-01-14,0.4,3.0,-1.2,16.5,0.0
14,2016-01-15,-0.2,1.9,-1.8,0.0,1.3
15,2016-01-16,0.7,3.1,-1.3,20.5,0.0
16,2016-01-17,1.3,3.9,-0.7,0.0,0.4
17,2016-01-18,3.2,6.2,1.2,27.5,0.0
18,2016-01-19,1.4,6.8,-1.4,25.5,0.0
19,2016-01-20,1.3,4.1,-1.4,4.5,1.6
20,2016-01-21,1.4,2.9,-1.4,1.5,0.0
21,2016-01-22,1.4,3.7,0.3,1.0,0.6
22,2016-01-23,0.1,2.1,-1.3,2.0,0.2
23,2016-01-24,-1.2,0.7,-3.4,49.0,0.0
24,2016-01-25,-0.3,1.5,-3.1,3.5,0.8
25,2016-01-26,1.5,4.3,-1.5,6.0,3.7
26,2016-01-27,3.6,5.7,1.4,21.5,0.2
27,2016-01-28,3.2,5.6,1.2,7.0,0.6
28,2016-01-29,0.7,1.9,0.1,3.5,0.0
29,2016-01-30,1.3,3.3,-0.2,4.5,0.1
30,2016-01-31,1.6,4.6,0.2,4.0,0.5
31,2016-02-01,0.8,2.6,-0.3,3.0,0.3
32,2016-02-02,1.1,3.2,-0.9,0.5,1.0
33,2016-02-03,1.3,3.1,0.3,0.0,0.3
34,2016-02-04,2.0,5.2,-0.3,22.5,4.2
35,2016-02-05,2.2,4.6,0.7,6.0,1.3
36,2016-02-06,0.6,2.5,-0.5,3.5,1.4
37,2016-02-07,-0.1,2.3,-1.3,2.5,3.3
38,2016-02-08,-0.2,5.1,-4.8,0.0,10.1
39,2016-02-09,2.1,4.1,-0.6,12.5,0.0
40,2016-02-10,2.2,4.2,0.3,1.0,1.9
41,2016-02-11,2.0,6.4,-1.8,0.0,9.1
42,2016-02-12,3.1,10.6,-4.5,0.0,9.4
43,2016-02-13,6.7,11.9,3.7,0.0,0.0
44,2016-02-14,7.9,12.1,3.5,13.0,0.0
45,2016-02-15,1.1,6.3,-1.4,3.0,1.0
46,2016-02-16,0.9,4.3,-1.7,22.0,1.3
47,2016-02-17,1.3,3.0,-0.1,26.5,0.0
48,2016-02-18,3.1,8.7,-0.3,0.0,9.3
49,2016-02-19,5.2,10.8,-0.4,0.0,4.0
50,2016-02-20,5.2,8.5,2.2,3.5,0.0
51,2016-02-21,4.9,8.9,1.9,8.5,0.8
52,2016-02-22,2.7,6.2,0.9,0.0,2.5
53,2016-02-23,5.4,9.5,0.9,5.5,2.1
54,2016-02-24,1.3,4.6,-1.1,1.5,3.7
55,2016-02-25,0.5,3.3,-1.2,6.0,0.9
56,2016-02-26,0.9,3.1,-0.9,14.0,0.9
57,2016-02-27,4.1,8.4,0.4,3.0,6.1
58,2016-02-28,6.2,10.8,1.8,4.0,7.9
59,2016-02-29,5.4,11.1,0.6,17.0,0.0
60,2016-03-01,0.8,2.3,-1.4,2.0,1.5
61,2016-03-02,1.0,3.0,-0.6,27.0,0.4
62,2016-03-03,4.4,8.3,1.3,2.5,0.0
63,2016-03-04,4.1,9.5,-0.5,0.0,7.7
64,2016-03-05,7.1,15.7,-0.2,0.0,9.1
65,2016-03-06,12.5,21.9,3.8,0.0,7.3
66,2016-03-07,9.2,11.4,6.5,2.5,0.0
67,2016-03-08,8.1,11.3,5.3,1.0,0.0
68,2016-03-09,3.4,5.6,2.1,1.5,0.0
69,2016-03-10,3.4,6.2,2.0,0.0,1.7
70,2016-03-11,2.6,6.6,0.8,0.0,3.9
71,2016-03-12,2.9,6.3,-0.2,0.0,4.8
72,2016-03-13,5.3,9.5,0.4,0.0,5.2
73,2016-03-14,4.9,7.4,3.0,3.0,0.0
74,2016-03-15,4.3,7.5,1.7,0.5,2.6
75,2016-03-16,6.3,13.2,0.3,0.0,5.5
76,2016-03-17,9.8,16.9,2.9,0.0,10.8
77,2016-03-18,12.4,21.7,4.5,0.0,5.9
78,2016-03-19,10.0,12.6,7.3,7.5,0.0
79,2016-03-20,7.4,9.4,5.2,0.5,0.2
80,2016-03-21,6.1,9.3,3.6,0.0,6.1
81,2016-03-22,8.2,12.9,1.1,0.0,9.9
82,2016-03-23,7.9,11.5,4.7,0.0,2.7
83,2016-03-24,4.3,9.1,0.8,4.0,3.5
84,2016-03-25,3.6,6.7,1.0,2.5,4.5
85,2016-03-26,4.6,8.8,1.8,0.0,2.0
86,2016-03-27,6.5,13.2,0.3,0.0,9.7
87,2016-03-28,8.5,13.9,3.1,0.0,11.4
88,2016-03-29,9.9,17.5,2.4,0.0,10.5
89,2016-03-30,11.7,18.4,5.9,1.5,4.8
90,2016-03-31,11.3,18.1,5.7,0.0,11.0
91,2016-04-01,12.1,21.3,3.4,0.0,10.2
92,2016-04-02,15.0,22.5,5.9,0.0,11.1
93,2016-04-03,16.2,24.2,10.9,0.0,3.8
94,2016-04-04,8.6,13.4,7.1,8.0,0.0
95,2016-04-05,10.0,15.6,3.7,0.0,10.2
96,2016-04-06,12.0,17.0,8.2,0.5,7.7
97,2016-04-07,11.4,15.2,8.1,30.0,0.0
98,2016-04-08,12.7,15.5,10.1,0.0,2.7
99,2016-04-09,14.3,20.7,7.8,0.0,10.4
100,2016-04-10,12.1,18.4,8.0,0.0,5.5
101,2016-04-11,5.2,8.5,1.1,5.5,0.5
102,2016-04-12,7.3,14.4,1.3,0.0,10.7
103,2016-04-13,13.7,23.2,4.5,4.5,6.8
104,2016-04-14,14.8,20.0,11.2,4.5,6.5
105,2016-04-15,9.8,12.6,5.6,0.5,7.0
106,2016-04-16,12.9,22.4,3.1,0.0,11.2
107,2016-04-17,16.7,27.4,11.1,1.0,5.3
108,2016-04-18,13.8,16.3,10.6,0.0,3.1
109,2016-04-19,11.0,16.0,7.4,0.0,7.7
110,2016-04-20,12.4,18.7,5.3,0.0,7.1
111,2016-04-21,15.2,21.8,9.4,6.0,1.0
112,2016-04-22,14.1,17.7,12.0,6.0,4.0
113,2016-04-23,15.5,23.9,9.2,0.0,8.4
114,2016-04-24,13.4,18.5,8.3,0.0,7.1
115,2016-04-25,13.3,21.6,6.0,0.0,12.1
116,2016-04-26,15.0,22.4,9.3,0.0,11.9
117,2016-04-27,13.7,19.4,8.7,0.0,10.4
118,2016-04-28,13.5,16.2,11.9,23.0,0.0
119,2016-04-29,11.0,12.9,9.2,2.5,2.2
120,2016-04-30,11.6,15.6,6.1,0.0,3.5
121,2016-05-01,14.2,16.7,11.3,3.0,0.0
122,2016-05-02,18.1,23.3,14.1,0.0,1.7
123,2016-05-03,22.3,32.7,12.1,0.0,8.2
124,2016-05-04,18.1,22.2,12.7,4.5,4.3
125,2016-05-05,16.7,18.9,14.0,0.0,3.4
126,2016-05-06,18.5,24.9,10.3,0.0,4.6
127,2016-05-07,16.2,19.7,13.9,3.0,2.5
128,2016-05-08,16.3,20.6,12.0,0.0,13.1
129,2016-05-09,17.3,24.6,9.6,0.0,11.2
130,2016-05-10,18.9,23.7,16.0,1.5,1.7
131,2016-05-11,16.5,19.9,13.1,9.5,0.0
132,2016-05-12,15.4,20.5,12.0,0.5,7.6
133,2016-05-13,19.0,25.2,12.8,0.0,11.3
134,2016-05-14,16.4,19.7,14.1,0.0,7.5
135,2016-05-15,20.5,28.0,12.8,0.0,12.5
136,2016-05-16,23.0,33.0,13.8,0.5,11.6
137,2016-05-17,14.1,16.4,11.9,12.5,0.2
138,2016-05-18,16.8,23.6,9.8,0.0,12.5
139,2016-05-19,19.2,26.5,11.5,0.0,11.7
140,2016-05-20,19.8,26.9,14.4,0.0,7.7
141,2016-05-21,18.9,23.1,14.1,0.0,13.1
142,2016-05-22,19.7,25.1,13.9,0.0,12.9
143,2016-05-23,19.9,27.3,14.5,0.0,12.1
144,2016-05-24,23.4,30.9,13.9,0.0,9.0
145,2016-05-25,21.9,26.0,20.2,0.5,0.0
146,2016-05-26,22.5,27.5,19.6,7.5,1.0
147,2016-05-27,19.4,24.5,15.4,15.5,6.4
148,2016-05-28,19.7,25.6,15.8,0.0,7.5
149,2016-05-29,20.9,27.8,14.9,0.0,10.5
150,2016-05-30,21.5,25.4,17.8,0.0,0.5
151,2016-05-31,20.5,24.3,17.7,3.5,4.9
152,2016-06-01,16.9,19.5,14.8,0.0,7.4
153,2016-06-02,15.4,17.9,13.1,0.0,6.5
154,2016-06-03,17.7,23.5,11.6,0.0,11.8
155,2016-06-04,21.3,28.1,13.5,0.0,10.3
156,2016-06-05,19.9,24.5,16.2,0.0,10.7
157,2016-06-06,18.8,22.4,15.8,0.0,8.5
158,2016-06-07,21.8,27.6,17.0,0.0,4.9
159,2016-06-08,23.6,28.9,19.2,0.0,10.7
160,2016-06-09,21.4,26.2,19.5,1.0,0.2
161,2016-06-10,21.3,26.1,17.8,0.0,9.4
162,2016-06-11,23.9,30.8,16.3,11.0,12.5
163,2016-06-12,24.9,30.6,20.1,0.0,7.5
164,2016-06-13,21.6,25.3,19.7,5.5,0.1
165,2016-06-14,21.6,24.2,18.6,0.0,0.4
166,2016-06-15,23.7,29.9,18.2,4.5,9.5
167,2016-06-16,24.7,29.2,20.6,1.5,0.4
168,2016-06-17,22.5,26.5,19.8,13.0,5.5
169,2016-06-18,23.0,27.7,19.8,0.0,11.0
170,2016-06-19,23.9,31.0,18.4,7.5,7.2
171,2016-06-20,22.8,25.6,19.9,8.5,5.8
172,2016-06-21,23.0,28.7,20.1,0.0,5.1
173,2016-06-22,22.8,26.3,20.3,0.0,6.8
174,2016-06-23,20.8,22.8,19.4,7.5,0.0
175,2016-06-24,21.4,24.8,18.2,10.5,0.0
176,2016-06-25,23.0,26.3,20.7,1.0,1.1
177,2016-06-26,19.9,22.9,17.4,64.0,3.5
178,2016-06-27,22.0,26.3,16.8,0.0,11.3
179,2016-06-28,21.5,26.8,19.2,7.5,0.6
180,2016-06-29,22.7,27.6,18.7,0.0,9.1
181,2016-06-30,23.1,26.2,20.5,10.0,0.4
182,2016-07-01,25.4,29.6,20.8,0.0,7.8
183,2016-07-02,27.6,34.6,22.9,2.5,1.6
184,2016-07-03,23.7,25.6,22.9,22.0,0.0
185,2016-07-04,22.6,24.3,20.9,5.0,0.0
186,2016-07-05,21.7,24.7,19.9,7.5,0.0
187,2016-07-06,24.3,30.6,20.0,62.5,0.7
188,2016-07-07,21.9,23.9,21.0,0.0,0.0
189,2016-07-08,24.3,29.0,20.6,1.5,1.9
