,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,3.8,7.9,0.6,0.5,3.1,3.9
1,2016-01-02,7.1,12.0,1.1,10.0,0.2,6.1
2,2016-01-03,10.2,14.2,7.0,11.0,2.6,3.8
3,2016-01-04,8.2,14.2,6.0,0.5,2.1,4.4
4,2016-01-05,4.5,6.2,3.2,6.5,0.0,2.9
5,2016-01-06,5.3,8.3,2.4,2.5,1.5,2.9
6,2016-01-07,3.7,6.3,1.2,0.0,0.0,3.2
7,2016-01-08,2.3,4.0,1.0,4.0,0.0,2.3
8,2016-01-09,2.0,3.0,1.0,3.0,0.0,2.5
9,2016-01-10,4.8,7.4,1.3,26.5,0.0,5.3
10,2016-01-11,1.1,4.2,-0.2,5.0,0.0,2.9
11,2016-01-12,0.1,0.7,-0.7,12.5,0.0,
12,2016-01-13,1.4,5.1,-1.5,27.5,0.7,2.9
13,2016-01-14,0.8,4.3,-2.5,14.5,0.0,3.0
14,2016-01-15,-1.4,0.9,-3.9,0.5,0.5,
15,2016-01-16,1.3,5.1,-2.9,10.5,0.0,
16,2016-01-17,0.4,2.9,-1.9,1.5,0.1,
17,2016-01-18,2.5,6.6,1.1,20.5,0.0,4.4
18,2016-01-19,2.2,6.9,-0.3,27.0,0.1,10.7
19,2016-01-20,1.4,4.5,-1.4,10.5,0.6,6.4
20,2016-01-21,2.3,3.3,0.5,0.0,0.0,4.8
21,2016-01-22,1.7,3.5,0.1,0.0,0.0,5.6
22,2016-01-23,0.2,1.3,-2.0,2.0,0.0,3.3
23,2016-01-24,-1.0,1.0,-3.3,30.0,0.0,4.7
24,2016-01-25,0.2,2.3,-3.3,0.5,0.0,5.2
25,2016-01-26,1.1,6.6,-1.7,5.5,0.3,3.7
26,2016-01-27,4.5,7.2,1.3,33.0,0.4,5.8
27,2016-01-28,3.0,6.0,1.3,10.0,0.7,1.5
28,2016-01-29,0.6,2.3,0.3,10.0,0.0,4.4
29,2016-01-30,0.9,2.2,-0.3,6.5,0.0,2.1
30,2016-01-31,1.4,4.4,0.2,8.0,0.0,1.9
31,2016-02-01,0.4,1.7,-1.9,1.0,0.1,2.8
32,2016-02-02,1.0,3.3,-1.9,0.0,3.9,4.2
33,2016-02-03,1.0,2.5,-0.1,0.5,1.0,2.9
34,2016-02-04,2.2,7.0,-1.7,7.0,2.4,4.5
35,2016-02-05,1.8,4.8,0.6,7.5,0.0,2.9
36,2016-02-06,0.6,2.0,-0.3,6.5,0.0,2.6
37,2016-02-07,-0.4,1.8,-3.0,3.5,3.7,2.2
38,2016-02-08,-0.8,4.5,-5.3,0.0,10.2,1.9
39,2016-02-09,2.0,4.4,-1.4,18.5,,5.2
40,2016-02-10,2.6,4.1,0.8,0.0,,6.9
41,2016-02-11,2.1,6.2,-2.1,0.0,6.5,2.6
42,2016-02-12,3.0,11.2,-4.0,0.0,9.3,1.7
43,2016-02-13,5.9,10.4,3.0,1.0,0.0,2.0
44,2016-02-14,8.7,14.8,4.7,11.0,0.0,6.8
45,2016-02-15,1.7,6.9,-1.2,2.5,0.8,5.4
46,2016-02-16,1.0,5.2,-1.4,21.0,1.5,5.1
47,2016-02-17,1.8,4.1,-0.2,13.5,0.3,4.7
48,2016-02-18,2.9,8.4,-0.6,0.5,8.8,3.4
49,2016-02-19,6.0,11.8,-0.2,0.0,3.0,5.2
50,2016-02-20,6.5,10.0,3.0,6.5,0.0,2.5
51,2016-02-21,5.5,10.1,2.1,6.0,0.7,7.1
52,2016-02-22,2.8,5.9,0.8,0.0,4.2,2.4
53,2016-02-23,5.4,10.1,0.7,4.5,2.7,4.9
54,2016-02-24,1.4,4.7,-1.0,1.0,3.4,5.1
55,2016-02-25,0.3,2.5,-1.2,4.5,0.0,3.3
56,2016-02-26,1.6,5.0,-0.6,5.0,2.7,4.1
57,2016-02-27,4.6,9.0,0.5,2.0,4.8,3.8
58,2016-02-28,5.8,10.0,1.7,2.0,6.7,1.9
59,2016-02-29,4.7,10.5,0.9,16.5,0.0,4.8
60,2016-03-01,0.4,2.4,-1.1,0.5,1.2,6.8
61,2016-03-02,1.8,4.8,-0.6,6.5,1.9,2.9
62,2016-03-03,5.5,9.5,1.2,2.5,0.0,4.8
63,2016-03-04,3.5,9.0,-2.0,0.0,7.7,1.6
64,2016-03-05,6.7,13.4,-0.7,0.0,9.6,1.9
65,2016-03-06,12.1,21.7,2.9,0.0,6.9,1.6
66,2016-03-07,9.2,13.8,5.5,3.5,0.0,2.7
67,2016-03-08,8.3,11.3,5.4,0.0,0.3,3.1
68,2016-03-09,3.6,6.1,1.8,1.5,0.0,2.0
69,2016-03-10,3.1,6.1,0.8,0.0,2.5,2.4
70,2016-03-11,2.0,5.6,-0.3,0.5,3.8,2.5
71,2016-03-12,2.3,6.0,0.1,0.5,6.0,2.1
72,2016-03-13,4.8,9.7,-0.5,0.0,3.9,1.9
73,2016-03-14,4.9,7.3,3.1,4.5,0.0,1.6
74,2016-03-15,4.8,7.6,2.1,0.0,6.1,4.4
75,2016-03-16,6.1,13.2,-0.2,0.0,5.4,3.1
76,2016-03-17,9.2,16.8,2.0,0.0,11.2,2.5
77,2016-03-18,11.9,21.7,4.0,0.0,4.9,2.4
78,2016-03-19,10.0,13.0,7.6,6.0,0.0,3.0
79,2016-03-20,7.3,9.4,5.2,5.5,0.4,3.5
80,2016-03-21,5.8,9.5,2.8,0.0,5.0,3.4
81,2016-03-22,7.9,12.4,1.5,0.0,10.2,4.7
82,2016-03-23,7.6,10.8,4.2,0.0,4.8,3.9
83,2016-03-24,4.0,8.2,1.3,1.5,2.6,3.2
84,2016-03-25,3.5,7.1,0.7,4.0,5.6,3.0
85,2016-03-26,4.0,8.2,0.7,3.0,2.7,2.4
86,2016-03-27,5.4,11.8,-1.1,0.0,11.1,1.9
87,2016-03-28,7.4,12.8,1.7,0.0,11.6,2.2
88,2016-03-29,9.0,15.3,1.3,0.0,10.7,2.3
89,2016-03-30,10.9,17.9,4.9,1.0,4.4,4.6
90,2016-03-31,10.1,17.3,4.5,0.0,11.0,2.7
91,2016-04-01,10.9,19.5,0.8,0.0,10.5,3.8
92,2016-04-02,13.6,21.5,5.9,0.0,11.0,2.3
93,2016-04-03,15.3,24.0,10.2,0.0,2.7,2.6
94,2016-04-04,8.5,12.6,7.4,17.0,0.0,4.8
95,2016-04-05,8.9,14.8,1.3,0.0,10.4,2.2
