Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,2.9,12.2,-3.0,0.0,7.6
1,2016-01-02,4.7,13.1,-2.5,0.0,4.6
2,2016-01-03,6.8,16.2,1.0,0.0,7.1
3,2016-01-04,7.3,16.4,2.3,0.0,3.7
4,2016-01-05,4.7,10.7,-0.6,0.0,1.2
5,2016-01-06,5.5,10.8,1.8,0.0,2.4
6,2016-01-07,5.0,11.5,0.2,0.0,6.2
7,2016-01-08,4.3,9.4,-0.8,0.0,0.3
8,2016-01-09,3.2,10.6,-2.4,0.0,7.4
9,2016-01-10,3.2,11.6,-3.0,0.0,7.7
10,2016-01-11,4.7,11.5,-2.2,0.0,3.6
11,2016-01-12,3.8,8.6,-0.9,0.0,3.1
12,2016-01-13,4.0,9.8,-1.7,0.0,5.4
13,2016-01-14,1.4,7.6,-3.7,0.0,3.4
14,2016-01-15,1.4,9.3,-5.0,0.0,7.3
15,2016-01-16,1.7,11.0,-5.1,0.0,9.1
16,2016-01-17,3.0,8.3,-3.3,3.5,1.3
17,2016-01-18,6.3,12.5,1.7,7.5,1.6
18,2016-01-19,0.6,4.3,-1.6,0.5,5.9
19,2016-01-20,1.6,7.5,-1.9,0.5,7.1
20,2016-01-21,2.2,7.0,-3.1,0.0,2.4
21,2016-01-22,3.1,9.4,-1.0,0.0,3.5
22,2016-01-23,2.3,7.4,-1.3,0.0,2.4
23,2016-01-24,-2.9,0.1,-6.8,0.0,6.0
24,2016-01-25,-1.7,5.6,-7.4,0.0,7.8
25,2016-01-26,1.3,7.8,-6.5,0.0,2.0
26,2016-01-27,2.7,9.7,-3.3,0.0,3.4
27,2016-01-28,4.7,10.5,-2.7,3.0,2.0
28,2016-01-29,7.2,8.3,6.0,28.0,0.0
29,2016-01-30,6.4,10.3,1.1,3.0,0.0
30,2016-01-31,3.8,10.3,-1.5,0.0,3.3
31,2016-02-01,4.3,8.5,0.5,0.0,0.5
32,2016-02-02,3.6,10.1,-0.8,0.0,2.5
33,2016-02-03,2.1,8.6,-3.6,0.0,5.6
34,2016-02-04,3.2,10.5,-3.4,0.0,5.9
35,2016-02-05,2.8,10.8,-2.8,0.0,5.8
36,2016-02-06,2.7,10.0,-3.4,0.0,7.0
37,2016-02-07,2.2,8.2,-3.4,0.0,5.1
38,2016-02-08,1.9,9.5,-5.3,0.0,7.6
39,2016-02-09,3.9,10.5,-1.8,0.0,5.3
40,2016-02-10,2.8,9.4,-2.8,0.0,3.9
41,2016-02-11,2.7,13.5,-4.7,0.0,9.8
42,2016-02-12,7.6,15.0,-2.6,0.0,4.1
43,2016-02-13,13.9,15.8,10.6,17.0,0.0
44,2016-02-14,13.6,18.3,9.0,12.5,1.0
45,2016-02-15,4.7,9.3,0.5,0.0,3.8
46,2016-02-16,1.9,7.9,-3.4,0.0,7.5
47,2016-02-17,2.1,9.1,-2.7,0.0,5.8
48,2016-02-18,1.8,10.3,-5.1,0.0,10.2
49,2016-02-19,5.7,14.2,-2.6,0.0,7.0
50,2016-02-20,7.0,8.6,5.4,19.5,0.0
51,2016-02-21,5.6,10.3,-0.3,0.0,7.5
52,2016-02-22,3.7,10.4,-2.9,0.0,5.9
53,2016-02-23,5.4,10.4,1.7,0.0,0.1
54,2016-02-24,4.5,8.7,0.2,0.0,3.2
55,2016-02-25,2.3,7.9,-2.7,0.0,5.7
56,2016-02-26,1.8,9.2,-5.1,0.0,6.6
57,2016-02-27,5.8,13.0,-1.9,0.0,4.6
58,2016-02-28,6.4,14.8,-1.0,0.0,4.9
59,2016-02-29,4.9,10.5,-0.2,1.0,3.6
60,2016-03-01,1.9,7.5,-1.9,0.0,5.7
61,2016-03-02,3.4,12.2,-3.7,0.0,8.5
62,2016-03-03,6.1,17.1,-3.2,0.0,10.4
63,2016-03-04,8.2,16.0,-0.4,0.0,0.6
64,2016-03-05,13.0,19.0,5.5,0.0,9.4
65,2016-03-06,15.3,18.4,12.1,0.5,0.0
66,2016-03-07,14.9,23.1,9.6,0.0,3.9
67,2016-03-08,13.1,21.2,8.4,0.0,4.1
68,2016-03-09,6.9,11.6,2.1,25.5,0.0
69,2016-03-10,5.8,10.3,1.5,0.0,1.3
70,2016-03-11,5.5,10.6,0.5,0.0,4.1
71,2016-03-12,4.6,12.2,-1.9,0.0,8.8
72,2016-03-13,5.6,12.1,-1.3,3.0,2.3
73,2016-03-14,6.4,10.6,3.1,5.0,1.4
74,2016-03-15,5.9,13.1,-1.0,0.0,10.6
75,2016-03-16,5.3,14.7,-2.1,0.0,3.2
76,2016-03-17,8.7,19.9,-1.4,0.0,10.6
77,2016-03-18,11.8,17.4,3.4,6.5,1.0
78,2016-03-19,13.7,20.6,5.2,7.0,3.0
79,2016-03-20,8.3,15.5,1.6,0.0,9.9
80,2016-03-21,7.1,14.8,0.0,0.0,10.8
81,2016-03-22,6.9,18.4,-2.4,0.0,8.8
82,2016-03-23,9.8,19.3,0.8,0.0,8.7
83,2016-03-24,7.5,11.9,2.6,0.0,7.7
84,2016-03-25,5.0,11.1,-0.7,0.0,7.3
85,2016-03-26,4.8,13.3,-3.2,0.0,10.7
86,2016-03-27,7.4,15.1,-1.6,0.0,6.7
87,2016-03-28,7.4,16.1,-0.1,0.0,7.4
88,2016-03-29,8.6,17.6,-1.1,0.0,6.9
89,2016-03-30,11.5,20.1,3.0,0.0,6.5
90,2016-03-31,12.9,20.7,5.4,0.0,4.2
91,2016-04-01,14.2,18.1,9.8,1.0,0.2
92,2016-04-02,14.8,22.3,6.3,0.0,8.5
93,2016-04-03,16.4,19.5,13.6,14.0,0.1
94,2016-04-04,15.0,19.3,9.6,7.0,0.1
95,2016-04-05,12.0,17.9,6.1,0.0,5.7
96,2016-04-06,13.3,21.7,4.0,0.0,8.7
97,2016-04-07,16.0,20.3,10.6,42.0,0.0
98,2016-04-08,13.5,20.3,7.6,0.0,5.3
99,2016-04-09,14.3,23.7,7.5,0.0,8.4
100,2016-04-10,13.9,22.0,7.5,0.0,0.8
101,2016-04-11,9.5,14.2,1.9,0.0,9.1
102,2016-04-12,8.0,16.7,-1.1,0.0,9.1
103,2016-04-13,14.5,22.8,6.4,27.5,3.7
104,2016-04-14,16.9,24.6,10.5,0.0,7.6
105,2016-04-15,13.1,21.0,5.4,0.0,11.1
106,2016-04-16,14.1,22.1,2.6,0.0,9.8
107,2016-04-17,18.3,24.2,10.2,4.5,8.3
108,2016-04-18,12.7,18.1,7.0,0.0,0.0
109,2016-04-19,11.9,22.2,2.7,0.0,9.6
110,2016-04-20,13.4,21.8,2.8,0.0,10.5
111,2016-04-21,15.0,16.6,13.0,30.0,0.0
112,2016-04-22,18.1,25.4,12.4,0.0,10.8
113,2016-04-23,16.2,23.3,9.9,2.0,3.4
114,2016-04-24,16.0,22.6,10.2,0.0,5.9
115,2016-04-25,15.2,22.7,6.8,0.0,5.1
116,2016-04-26,17.5,26.9,9.2,0.0,10.6
117,2016-04-27,16.4,19.0,13.6,21.0,0.0
118,2016-04-28,14.2,16.9,8.0,13.0,0.0
119,2016-04-29,10.5,16.6,4.9,0.0,6.0
120,2016-04-30,12.2,22.5,2.6,0.0,11.4
121,2016-05-01,16.4,27.9,6.4,0.0,9.7
122,2016-05-02,18.7,28.2,8.8,0.0,11.3
123,2016-05-03,18.7,20.3,16.6,16.5,0.0
124,2016-05-04,18.5,24.1,9.5,0.0,11.2
125,2016-05-05,16.9,26.7,8.0,0.0,9.9
126,2016-05-06,14.8,16.8,11.7,5.5,0.0
127,2016-05-07,17.5,24.0,10.2,0.0,2.7
128,2016-05-08,15.8,24.1,6.8,0.0,9.9
129,2016-05-09,15.1,17.2,12.6,27.0,0.0
130,2016-05-10,18.1,20.0,15.9,4.0,0.0
131,2016-05-11,17.5,20.1,9.7,1.0,1.4
132,2016-05-12,15.5,25.8,7.4,0.0,11.8
133,2016-05-13,17.2,27.0,7.7,0.0,9.6
134,2016-05-14,18.3,26.7,11.4,0.0,11.4
135,2016-05-15,19.4,24.9,12.1,0.0,6.8
136,2016-05-16,18.5,21.8,13.2,33.5,0.8
137,2016-05-17,16.5,25.2,9.4,0.0,10.7
138,2016-05-18,16.7,27.6,5.9,0.0,12.0
139,2016-05-19,18.4,27.7,9.9,0.0,10.2
140,2016-05-20,19.5,27.4,11.9,0.0,11.3
141,2016-05-21,20.1,30.5,12.0,0.0,12.1
142,2016-05-22,18.8,28.0,9.3,0.0,12.1
143,2016-05-23,20.6,30.8,12.2,0.0,11.7
144,2016-05-24,20.2,27.0,11.7,0.0,5.1
145,2016-05-25,20.8,22.3,18.1,1.0,0.0
146,2016-05-26,22.3,25.9,20.8,1.0,0.1
147,2016-05-27,22.6,29.2,18.4,0.0,7.7
148,2016-05-28,19.1,22.9,14.9,0.0,0.6
149,2016-05-29,18.7,22.7,13.7,13.0,1.1
150,2016-05-30,21.2,27.0,15.9,1.0,3.3
151,2016-05-31,21.5,30.3,13.9,0.0,11.0
152,2016-06-01,18.7,25.5,11.3,0.0,10.5
153,2016-06-02,17.0,25.2,9.3,0.0,10.9
154,2016-06-03,17.6,26.1,7.9,0.0,12.3
155,2016-06-04,18.1,23.1,12.6,5.0,1.2
156,2016-06-05,18.6,23.5,15.5,24.0,0.4
157,2016-06-06,20.6,26.7,13.9,0.0,5.8
158,2016-06-07,19.5,21.1,17.2,18.5,0.0
159,2016-06-08,21.5,26.8,16.4,0.0,5.4
160,2016-06-09,21.4,27.0,17.7,13.0,2.0
161,2016-06-10,22.6,30.3,15.9,0.0,11.1
162,2016-06-11,23.5,27.6,19.6,0.0,3.7
163,2016-06-12,22.8,26.1,20.7,43.0,0.0
164,2016-06-13,22.0,26.9,17.8,11.5,1.6
165,2016-06-14,22.4,28.9,16.6,0.0,9.5
166,2016-06-15,23.6,27.8,18.6,0.0,5.9
167,2016-06-16,23.0,24.4,21.8,13.5,0.0
168,2016-06-17,23.5,28.0,18.6,0.0,6.5
169,2016-06-18,23.2,31.7,16.2,0.0,12.3
170,2016-06-19,20.4,21.6,18.7,30.0,0.0
171,2016-06-20,24.1,30.0,20.3,2.0,4.6
172,2016-06-21,24.8,30.2,21.4,20.5,5.7
173,2016-06-22,22.9,25.7,21.5,23.5,0.0
174,2016-06-23,24.4,30.2,18.6,26.5,10.0
175,2016-06-24,20.7,24.1,17.5,61.5,0.4
176,2016-06-25,22.6,24.6,19.7,0.0,0.0
177,2016-06-26,22.2,27.7,16.6,0.0,9.3
178,2016-06-27,21.7,27.4,17.2,20.0,4.9
179,2016-06-28,21.6,26.6,18.1,6.0,1.2
180,2016-06-29,21.5,22.7,20.3,22.0,0.0
181,2016-06-30,23.6,27.2,21.0,0.0,0.2
182,2016-07-01,25.1,31.2,20.5,0.0,7.5
183,2016-07-02,27.3,33.5,21.9,0.0,8.3
184,2016-07-03,27.0,33.8,22.9,0.0,3.8
185,2016-07-04,27.3,33.8,23.2,0.0,6.3
186,2016-07-05,28.0,33.8,23.2,0.0,7.8
187,2016-07-06,28.0,33.6,23.7,0.0,8.0
