Unnamed: 0,calendar_date,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,0.0,6.7,2.2
1,2016-01-02,0.0,3.3,2.4
2,2016-01-03,0.0,8.0,1.5
3,2016-01-04,0.0,4.6,1.9
4,2016-01-05,0.0,0.3,1.7
5,2016-01-06,0.0,1.4,1.7
6,2016-01-07,0.0,4.1,2.3
7,2016-01-08,0.0,1.0,2.3
8,2016-01-09,0.0,6.0,2.2
9,2016-01-10,0.0,7.0,2.1
10,2016-01-11,0.0,3.8,1.9
11,2016-01-12,0.5,3.1,0.9
12,2016-01-13,0.0,4.5,2.4
13,2016-01-14,0.0,5.1,2.8
14,2016-01-15,0.0,5.4,1.8
15,2016-01-16,0.0,9.5,1.8
16,2016-01-17,4.5,0.0,2.1
17,2016-01-18,7.5,3.3,3.7
18,2016-01-19,0.0,4.5,4.5
19,2016-01-20,0.0,7.3,3.1
20,2016-01-21,0.0,3.0,1.6
21,2016-01-22,0.0,3.6,1.5
22,2016-01-23,0.0,2.5,2.6
23,2016-01-24,0.0,4.6,3.9
24,2016-01-25,0.0,6.1,2.5
25,2016-01-26,0.0,1.3,3.1
26,2016-01-27,0.0,2.0,2.4
27,2016-01-28,3.0,1.5,1.4
28,2016-01-29,30.5,0.0,1.0
29,2016-01-30,3.0,0.0,1.2
30,2016-01-31,0.0,4.2,1.6
31,2016-02-01,0.0,0.8,2.2
32,2016-02-02,0.0,3.4,1.3
33,2016-02-03,0.0,8.0,1.5
34,2016-02-04,0.0,5.6,2.6
35,2016-02-05,0.0,5.0,2.1
36,2016-02-06,0.0,5.4,2.6
37,2016-02-07,0.0,5.8,1.6
38,2016-02-08,0.0,8.0,2.7
39,2016-02-09,0.0,6.8,4.0
40,2016-02-10,0.0,10.0,2.0
41,2016-02-11,0.0,10.0,1.9
42,2016-02-12,0.0,2.0,1.6
43,2016-02-13,20.5,0.1,1.3
44,2016-02-14,11.0,3.3,4.5
45,2016-02-15,0.0,6.8,4.4
46,2016-02-16,0.0,5.7,3.0
47,2016-02-17,0.0,8.0,3.0
48,2016-02-18,0.0,9.9,1.8
49,2016-02-19,0.0,6.2,2.1
50,2016-02-20,21.0,0.0,1.9
51,2016-02-21,0.0,9.9,2.8
52,2016-02-22,0.0,4.7,1.5
53,2016-02-23,0.0,1.2,2.0
54,2016-02-24,0.0,1.2,2.2
55,2016-02-25,0.0,8.1,2.2
56,2016-02-26,0.0,8.2,2.8
57,2016-02-27,0.0,4.8,2.4
58,2016-02-28,0.0,9.4,2.1
59,2016-02-29,1.0,2.9,4.0
60,2016-03-01,0.0,3.5,2.3
61,2016-03-02,0.0,9.7,3.0
62,2016-03-03,0.0,10.8,2.4
63,2016-03-04,0.0,0.4,1.2
64,2016-03-05,0.0,10.2,1.8
65,2016-03-06,0.0,0.0,1.6
66,2016-03-07,0.0,6.3,1.7
67,2016-03-08,0.0,5.1,2.2
68,2016-03-09,38.5,0.0,1.6
69,2016-03-10,0.0,2.6,1.8
70,2016-03-11,0.0,3.9,1.9
71,2016-03-12,0.0,10.2,2.2
72,2016-03-13,5.0,2.4,1.5
73,2016-03-14,8.0,0.4,1.6
74,2016-03-15,0.0,11.1,2.4
75,2016-03-16,0.0,5.0,2.0
76,2016-03-17,0.0,11.1,1.7
77,2016-03-18,6.0,0.1,1.3
78,2016-03-19,1.5,1.0,1.7
79,2016-03-20,0.0,9.6,2.3
80,2016-03-21,0.0,11.3,2.7
81,2016-03-22,0.0,11.3,2.1
82,2016-03-23,0.0,9.6,2.5
83,2016-03-24,0.0,6.9,2.3
84,2016-03-25,0.0,7.9,2.4
85,2016-03-26,0.0,11.5,2.3
86,2016-03-27,0.0,10.4,2.4
87,2016-03-28,0.0,8.8,2.7
88,2016-03-29,0.0,6.8,2.7
89,2016-03-30,0.0,6.7,2.7
90,2016-03-31,0.0,4.4,1.7
91,2016-04-01,2.0,0.0,2.9
92,2016-04-02,0.0,6.7,1.5
93,2016-04-03,6.0,0.5,1.8
94,2016-04-04,12.5,0.0,1.1
95,2016-04-05,0.0,4.9,2.0
96,2016-04-06,0.0,8.4,2.0
97,2016-04-07,17.5,0.0,2.1
98,2016-04-08,0.0,5.9,1.9
99,2016-04-09,0.0,10.6,1.7
100,2016-04-10,0.0,0.8,1.8
101,2016-04-11,0.0,8.8,2.4
102,2016-04-12,0.0,9.2,1.9
103,2016-04-13,14.5,5.0,1.8
104,2016-04-14,0.5,8.9,1.9
105,2016-04-15,0.0,11.9,2.4
106,2016-04-16,0.0,10.1,3.1
107,2016-04-17,6.0,9.5,4.4
108,2016-04-18,0.0,0.0,2.6
109,2016-04-19,0.0,10.7,2.9
110,2016-04-20,0.0,11.4,2.1
111,2016-04-21,24.5,0.0,1.7
112,2016-04-22,0.0,12.2,2.4
113,2016-04-23,2.0,3.6,1.5
