,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,4.4,10.4,-0.9,0.0,2.0
1,2016-01-02,7.6,13.0,2.4,0.0,2.5
2,2016-01-03,8.3,14.9,2.0,0.0,1.2
3,2016-01-04,9.3,15.8,1.6,0.0,2.8
4,2016-01-05,5.9,9.5,3.3,0.5,1.6
5,2016-01-06,6.0,9.8,2.0,0.0,1.6
6,2016-01-07,5.5,9.9,1.4,0.0,3.2
7,2016-01-08,3.8,8.4,1.2,0.0,2.8
8,2016-01-09,3.4,9.0,-1.5,0.0,2.6
9,2016-01-10,4.8,10.0,0.0,0.0,3.1
10,2016-01-11,5.9,10.2,1.6,0.0,2.4
11,2016-01-12,4.3,7.8,0.8,0.0,1.9
12,2016-01-13,3.1,8.8,-0.2,0.0,3.0
13,2016-01-14,1.7,6.3,-2.1,0.0,2.2
14,2016-01-15,2.0,7.8,-2.4,0.0,2.2
15,2016-01-16,3.1,10.0,-2.3,0.0,1.8
16,2016-01-17,3.2,6.5,-0.8,4.0,2.8
17,2016-01-18,4.7,10.4,-0.6,11.0,5.5
18,2016-01-19,-1.8,1.8,-4.1,0.0,6.5
19,2016-01-20,0.1,5.3,-4.6,1.0,4.2
20,2016-01-21,1.6,5.2,-2.3,0.5,1.3
21,2016-01-22,2.7,7.6,-0.5,0.0,2.7
22,2016-01-23,1.5,6.2,-1.9,0.0,3.0
23,2016-01-24,-4.9,-1.5,-7.6,0.0,4.8
24,2016-01-25,-2.1,3.4,-6.7,0.0,3.7
25,2016-01-26,1.9,5.9,-3.6,0.0,2.8
26,2016-01-27,3.9,8.4,-0.3,0.0,2.1
27,2016-01-28,4.3,9.0,-1.0,5.0,1.3
28,2016-01-29,6.3,7.9,4.5,33.0,2.2
29,2016-01-30,6.0,8.9,2.8,2.0,3.0
30,2016-01-31,4.4,9.1,-0.2,0.5,2.1
31,2016-02-01,4.5,7.4,2.2,0.0,1.6
32,2016-02-02,3.0,6.9,-0.6,0.0,2.0
33,2016-02-03,2.8,7.7,-1.8,0.0,1.5
34,2016-02-04,4.0,9.6,-1.6,0.0,2.8
35,2016-02-05,4.2,9.0,-0.8,0.0,2.3
36,2016-02-06,3.0,8.7,-0.5,0.0,2.7
37,2016-02-07,1.8,6.0,-1.8,0.0,2.0
38,2016-02-08,2.3,8.3,-3.8,0.0,2.6
39,2016-02-09,4.1,8.8,-1.0,0.0,5.0
40,2016-02-10,3.2,10.1,-2.6,0.0,2.1
41,2016-02-11,3.9,11.4,-2.9,0.0,1.2
42,2016-02-12,8.3,13.6,0.6,0.0,2.4
43,2016-02-13,12.5,14.2,9.9,16.0,2.9
44,2016-02-14,11.8,15.1,6.8,13.0,4.4
45,2016-02-15,2.5,6.9,-2.7,1.5,4.0
46,2016-02-16,0.9,5.1,-3.7,0.5,3.9
47,2016-02-17,2.5,6.5,-0.8,0.0,3.3
48,2016-02-18,2.7,9.2,-3.7,0.0,1.6
49,2016-02-19,6.5,13.0,-1.6,0.0,1.9
50,2016-02-20,6.3,7.6,5.2,19.0,3.0
51,2016-02-21,4.2,8.6,-0.1,0.0,3.2
52,2016-02-22,3.8,8.6,-1.0,0.0,2.0
53,2016-02-23,5.1,8.3,2.5,0.0,1.8
54,2016-02-24,2.9,5.8,0.2,0.0,3.5
55,2016-02-25,1.5,7.3,-2.3,0.0,2.3
56,2016-02-26,2.8,8.6,-3.2,0.0,2.6
57,2016-02-27,5.1,11.8,-1.2,0.0,2.5
58,2016-02-28,7.2,14.1,1.4,0.0,1.8
59,2016-02-29,4.2,8.6,-2.0,0.0,4.4
60,2016-03-01,0.4,6.0,-3.5,0.0,2.7
61,2016-03-02,4.0,10.5,-1.7,0.0,2.8
62,2016-03-03,7.5,15.1,-0.7,0.0,2.2
63,2016-03-04,8.5,12.8,2.5,0.0,0.7
64,2016-03-05,13.2,20.1,7.2,0.0,2.2
65,2016-03-06,13.9,18.2,10.4,0.0,2.9
66,2016-03-07,15.7,22.3,12.4,0.0,1.7
67,2016-03-08,12.9,19.8,8.4,0.0,2.1
68,2016-03-09,5.8,10.1,3.2,30.5,2.8
69,2016-03-10,5.2,8.8,2.5,0.0,2.3
70,2016-03-11,4.2,9.0,1.2,0.0,2.4
71,2016-03-12,4.5,11.1,-1.5,0.0,2.4
