Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,18.4,20.4,16.7,0.0,5.0
1,2016-01-02,21.2,24.1,18.0,0.0,3.8
2,2016-01-03,21.0,22.8,19.8,28.0,2.8
3,2016-01-04,19.9,20.9,19.0,9.0,3.6
4,2016-01-05,22.4,25.7,19.2,26.0,3.5
5,2016-01-06,19.4,21.5,18.1,17.5,2.7
6,2016-01-07,18.7,20.4,17.8,0.0,6.4
7,2016-01-08,17.1,18.6,14.8,7.0,5.0
8,2016-01-09,17.2,19.0,16.2,0.0,4.8
9,2016-01-10,18.1,20.5,12.8,0.0,2.5
10,2016-01-11,19.5,21.0,17.8,27.0,6.2
11,2016-01-12,18.1,20.2,16.1,3.5,6.6
12,2016-01-13,15.7,16.9,14.3,0.5,5.3
13,2016-01-14,15.7,16.9,14.0,0.5,5.2
14,2016-01-15,16.9,18.7,15.3,10.0,3.3
15,2016-01-16,17.9,20.5,14.8,5.0,3.0
16,2016-01-17,19.6,21.3,18.1,16.0,5.3
17,2016-01-18,16.7,18.7,15.0,0.0,6.8
18,2016-01-19,14.3,16.0,12.5,0.0,5.2
19,2016-01-20,14.6,16.3,12.8,0.0,4.6
20,2016-01-21,17.0,19.2,15.1,31.5,6.3
21,2016-01-22,16.9,17.8,15.6,1.5,8.6
22,2016-01-23,14.3,16.4,11.1,15.5,9.5
23,2016-01-24,7.8,11.7,4.9,1.5,9.2
24,2016-01-25,9.8,12.5,5.2,2.0,6.3
25,2016-01-26,12.9,14.9,10.9,0.0,3.5
26,2016-01-27,16.8,20.1,13.6,0.0,3.4
27,2016-01-28,20.4,21.6,18.5,0.0,5.0
28,2016-01-29,21.9,25.3,18.1,20.0,4.7
29,2016-01-30,18.8,19.9,17.8,8.5,3.5
30,2016-01-31,19.1,21.4,17.6,0.0,3.9
31,2016-02-01,16.7,19.5,14.4,9.5,6.3
32,2016-02-02,14.5,15.1,13.1,2.0,6.8
33,2016-02-03,15.7,16.8,13.9,0.0,4.4
34,2016-02-04,17.7,20.0,16.0,2.0,4.0
35,2016-02-05,16.4,17.0,14.8,33.5,6.0
36,2016-02-06,13.8,16.9,11.6,12.5,7.8
37,2016-02-07,12.8,16.0,10.6,0.0,5.2
38,2016-02-08,12.9,16.0,10.9,0.0,4.6
39,2016-02-09,15.1,18.4,10.7,0.0,2.2
40,2016-02-10,18.4,21.5,15.4,0.0,4.1
41,2016-02-11,20.1,22.9,18.3,0.0,6.3
42,2016-02-12,21.7,24.3,20.0,0.0,7.1
43,2016-02-13,23.1,26.0,21.9,0.0,5.1
44,2016-02-14,17.7,22.3,13.1,4.0,5.6
45,2016-02-15,11.9,13.7,10.4,2.5,7.3
46,2016-02-16,11.9,14.4,10.4,0.0,4.7
47,2016-02-17,13.4,16.4,11.2,0.0,3.8
48,2016-02-18,15.8,18.1,12.5,0.0,2.4
49,2016-02-19,19.4,20.9,17.1,10.5,5.3
50,2016-02-20,18.0,20.8,14.1,42.5,6.7
51,2016-02-21,15.6,17.8,14.0,0.0,6.2
52,2016-02-22,18.2,20.7,15.4,0.0,5.3
53,2016-02-23,19.7,22.5,17.1,23.0,5.8
54,2016-02-24,16.2,18.1,14.8,0.0,8.4
55,2016-02-25,15.0,16.3,14.4,0.0,6.7
56,2016-02-26,16.0,18.2,14.5,0.0,5.0
57,2016-02-27,16.4,17.7,15.3,14.0,5.3
58,2016-02-28,19.3,21.9,16.2,0.5,3.8
59,2016-02-29,16.1,19.4,12.2,0.0,7.1
60,2016-03-01,13.6,16.1,11.9,0.0,4.6
61,2016-03-02,15.6,17.9,12.5,0.0,2.9
62,2016-03-03,17.8,21.5,14.0,0.0,3.0
63,2016-03-04,20.3,23.4,17.2,0.0,4.8
64,2016-03-05,21.0,23.6,19.7,10.5,5.6
