Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed
0,2016-01-01,16.3,20.4,13.6,6.2
1,2016-01-02,19.3,22.2,16.3,5.3
2,2016-01-03,19.9,22.4,18.1,2.7
3,2016-01-04,18.4,19.5,17.4,4.9
4,2016-01-05,20.9,23.9,17.3,3.9
5,2016-01-06,17.8,21.6,16.5,5.4
6,2016-01-07,16.6,19.7,14.7,7.6
7,2016-01-08,14.6,18.9,12.1,6.1
8,2016-01-09,15.1,19.3,12.1,5.8
9,2016-01-10,16.7,20.4,13.6,4.6
10,2016-01-11,18.0,19.8,16.2,6.6
11,2016-01-12,15.7,18.0,14.0,8.9
12,2016-01-13,13.7,14.9,12.4,6.2
13,2016-01-14,13.2,15.1,11.9,6.6
14,2016-01-15,14.8,18.7,12.4,4.2
15,2016-01-16,15.8,20.7,13.2,4.1
16,2016-01-17,17.9,20.9,14.5,7.1
17,2016-01-18,15.2,17.6,12.2,9.3
18,2016-01-19,12.9,16.9,10.8,6.5
19,2016-01-20,12.7,15.6,10.5,5.0
20,2016-01-21,15.7,20.2,13.5,7.7
21,2016-01-22,15.0,17.6,14.0,8.8
22,2016-01-23,12.7,15.3,9.4,11.2
23,2016-01-24,6.7,9.7,4.3,12.4
24,2016-01-25,7.8,12.6,4.1,7.6
25,2016-01-26,10.7,15.8,8.2,4.3
26,2016-01-27,14.5,19.2,9.9,5.0
27,2016-01-28,18.9,20.6,16.9,6.4
28,2016-01-29,20.6,23.2,16.4,5.1
29,2016-01-30,16.8,18.6,15.9,4.0
30,2016-01-31,17.2,21.2,14.7,4.6
31,2016-02-01,15.5,17.8,13.1,6.9
32,2016-02-02,12.5,14.4,12.0,7.7
33,2016-02-03,14.0,17.1,12.4,5.8
34,2016-02-04,15.7,20.2,12.9,5.1
35,2016-02-05,15.0,16.6,13.5,6.0
36,2016-02-06,12.6,16.2,9.8,9.3
37,2016-02-07,11.4,16.4,8.3,6.7
38,2016-02-08,11.2,16.0,9.4,6.3
39,2016-02-09,14.1,19.2,10.4,2.8
40,2016-02-10,16.2,20.5,11.9,5.6
41,2016-02-11,18.0,20.9,15.3,8.4
42,2016-02-12,20.1,22.1,17.9,9.8
43,2016-02-13,21.6,23.7,20.2,5.5
44,2016-02-14,18.0,22.0,12.2,6.7
45,2016-02-15,10.9,12.9,9.3,10.1
46,2016-02-16,10.3,13.8,8.8,5.9
47,2016-02-17,11.9,17.1,8.7,4.9
48,2016-02-18,14.4,18.5,10.6,3.8
49,2016-02-19,17.8,20.0,15.3,7.7
50,2016-02-20,16.9,21.0,12.9,9.0
51,2016-02-21,13.8,18.2,11.7,7.9
52,2016-02-22,16.4,19.3,12.4,6.6
53,2016-02-23,18.3,20.3,15.9,6.4
54,2016-02-24,14.2,16.2,12.2,8.7
55,2016-02-25,13.0,16.9,11.4,7.3
56,2016-02-26,14.0,18.6,10.9,5.4
57,2016-02-27,16.1,18.8,14.0,6.2
58,2016-02-28,17.6,22.4,15.4,5.2
59,2016-02-29,14.5,17.0,10.7,9.3
60,2016-03-01,12.2,17.4,10.1,5.8
61,2016-03-02,13.7,18.7,10.1,3.9
62,2016-03-03,16.4,21.1,12.6,4.6
63,2016-03-04,18.5,22.4,15.9,6.7
64,2016-03-05,19.4,20.9,18.6,7.7
65,2016-03-06,19.3,21.7,17.2,5.1
66,2016-03-07,19.6,24.6,17.2,3.5
67,2016-03-08,19.7,23.4,16.9,4.5
68,2016-03-09,18.7,21.0,15.5,6.3
69,2016-03-10,14.5,16.3,12.5,7.3
70,2016-03-11,12.6,13.6,11.8,7.1
71,2016-03-12,14.8,19.0,12.3,4.6
72,2016-03-13,18.7,21.3,14.9,7.0
73,2016-03-14,15.9,20.7,13.1,9.6
74,2016-03-15,15.2,20.1,12.6,6.2
