,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,8.4,10.9,5.9,0.0,3.5
1,2016-01-02,10.8,13.0,7.9,0.0,3.4
2,2016-01-03,12.0,14.8,8.7,0.0,1.7
3,2016-01-04,12.7,15.7,8.2,0.0,2.9
4,2016-01-05,11.0,13.3,9.6,0.0,4.0
5,2016-01-06,10.3,11.4,8.8,0.0,2.4
6,2016-01-07,9.8,11.8,7.9,0.0,5.3
7,2016-01-08,8.4,10.6,6.9,0.0,5.5
8,2016-01-09,7.8,10.3,5.5,0.0,5.4
9,2016-01-10,9.2,11.5,7.1,0.0,4.4
10,2016-01-11,9.3,11.1,7.1,0.0,3.8
11,2016-01-12,7.8,10.4,5.0,0.0,4.9
12,2016-01-13,6.4,10.5,3.0,0.0,5.5
13,2016-01-14,6.8,9.6,4.5,0.0,5.8
14,2016-01-15,6.9,9.4,5.0,0.0,5.5
15,2016-01-16,7.1,9.4,4.3,0.0,3.0
16,2016-01-17,7.6,10.1,3.4,0.5,5.3
17,2016-01-18,8.7,12.6,3.0,6.0,9.5
18,2016-01-19,3.6,6.0,1.5,0.0,12.3
19,2016-01-20,5.3,8.3,1.6,0.0,9.0
20,2016-01-21,5.7,7.7,3.4,0.0,3.2
21,2016-01-22,5.9,9.4,3.6,0.0,5.4
22,2016-01-23,4.7,6.9,2.8,0.0,4.4
23,2016-01-24,-0.4,3.2,-3.3,0.0,8.4
24,2016-01-25,2.8,5.5,-1.1,0.0,7.4
25,2016-01-26,5.7,8.2,2.2,0.0,5.2
26,2016-01-27,8.2,10.9,6.5,0.0,4.0
27,2016-01-28,8.7,11.7,5.5,0.0,1.7
28,2016-01-29,8.6,9.7,7.7,51.0,4.9
29,2016-01-30,8.3,10.1,6.8,7.5,6.8
30,2016-01-31,8.1,10.6,5.7,0.0,3.7
31,2016-02-01,7.7,8.9,6.3,0.0,3.2
32,2016-02-02,6.4,9.6,4.3,1.5,4.0
33,2016-02-03,5.9,8.7,3.1,0.0,3.7
34,2016-02-04,6.9,9.8,2.1,0.0,2.5
35,2016-02-05,7.6,9.5,4.9,0.0,2.7
36,2016-02-06,7.0,8.9,5.3,0.0,4.9
37,2016-02-07,5.0,7.3,3.3,0.0,5.6
38,2016-02-08,5.7,9.2,-0.2,0.0,4.4
39,2016-02-09,8.1,10.9,5.3,0.5,8.7
40,2016-02-10,6.0,8.0,4.4,0.0,4.1
41,2016-02-11,7.1,10.7,2.8,0.0,3.0
42,2016-02-12,10.0,15.9,3.5,0.0,3.1
43,2016-02-13,13.8,18.3,10.7,33.5,6.0
44,2016-02-14,14.8,18.6,10.2,13.5,9.4
45,2016-02-15,6.5,10.3,3.4,0.0,8.0
46,2016-02-16,5.0,8.0,2.5,0.0,8.0
47,2016-02-17,6.5,9.5,4.1,0.5,6.4
48,2016-02-18,6.7,10.2,3.1,0.0,2.5
49,2016-02-19,10.2,13.6,4.6,0.0,2.3
50,2016-02-20,9.2,10.3,8.4,30.0,5.1
51,2016-02-21,8.2,10.9,5.4,0.0,6.3
52,2016-02-22,6.4,7.9,4.2,0.0,3.3
53,2016-02-23,8.2,9.2,6.9,0.0,2.1
54,2016-02-24,5.9,8.6,2.9,0.0,7.8
55,2016-02-25,4.9,7.9,2.6,0.0,4.8
56,2016-02-26,5.9,8.9,2.2,0.0,3.5
57,2016-02-27,9.1,13.2,5.1,0.0,4.8
58,2016-02-28,10.1,13.9,5.3,0.0,2.8
59,2016-02-29,9.2,14.5,2.5,0.0,8.1
60,2016-03-01,3.8,6.7,1.2,0.0,4.7
61,2016-03-02,7.0,10.4,3.7,0.0,4.3
62,2016-03-03,9.6,13.2,5.9,0.0,3.0
63,2016-03-04,10.3,14.5,6.1,0.0,1.5
64,2016-03-05,13.5,18.5,8.6,0.0,2.9
65,2016-03-06,14.8,18.6,9.8,0.0,3.6
66,2016-03-07,14.9,20.3,11.1,0.0,2.7
67,2016-03-08,14.0,18.5,9.9,0.0,3.3
68,2016-03-09,9.2,12.8,7.3,46.5,8.3
69,2016-03-10,7.5,9.7,5.7,0.0,7.8
70,2016-03-11,7.2,10.8,4.9,0.0,5.7
71,2016-03-12,7.1,10.5,3.5,0.0,4.3
72,2016-03-13,8.2,12.2,5.1,8.5,3.2
73,2016-03-14,7.0,8.5,5.4,18.5,6.7
74,2016-03-15,8.3,11.7,6.2,0.0,5.0
75,2016-03-16,8.4,12.5,4.0,0.0,2.4
76,2016-03-17,11.5,17.7,6.7,0.0,1.9
77,2016-03-18,13.8,17.9,8.8,12.5,3.3
78,2016-03-19,13.2,15.1,10.5,4.5,4.0
79,2016-03-20,10.9,14.2,9.0,0.0,5.7
80,2016-03-21,9.6,13.6,6.1,0.0,6.3
81,2016-03-22,9.8,14.9,3.8,0.0,2.8
82,2016-03-23,11.6,16.2,7.7,0.0,3.4
83,2016-03-24,9.4,12.6,6.7,0.0,8.0
84,2016-03-25,7.4,10.7,5.2,0.0,5.3
85,2016-03-26,8.2,11.9,4.0,0.0,3.6
86,2016-03-27,9.3,13.7,5.5,0.0,3.0
87,2016-03-28,10.9,14.4,5.6,0.0,2.7
88,2016-03-29,12.0,16.3,7.0,0.0,2.8
89,2016-03-30,14.2,17.4,9.6,0.0,3.0
90,2016-03-31,14.6,19.2,10.6,0.0,2.1
91,2016-04-01,13.7,14.8,12.6,7.0,4.8
92,2016-04-02,14.4,20.1,9.3,0.0,2.7
93,2016-04-03,15.3,19.9,13.1,3.5,1.6
94,2016-04-04,15.0,19.6,12.5,14.0,3.7
95,2016-04-05,13.6,16.8,11.3,0.0,3.2
96,2016-04-06,15.0,19.1,9.8,0.0,2.5
97,2016-04-07,16.9,20.7,13.0,28.0,9.5
98,2016-04-08,14.5,17.6,12.2,0.0,2.7
99,2016-04-09,15.4,21.2,11.4,0.0,3.0
100,2016-04-10,15.4,19.0,13.4,0.0,2.1
101,2016-04-11,11.5,15.6,6.9,0.0,7.1
102,2016-04-12,11.3,14.8,5.9,0.0,3.4
103,2016-04-13,14.7,17.0,12.3,15.5,2.2
104,2016-04-14,17.3,22.3,14.4,4.5,4.0
105,2016-04-15,15.2,19.2,11.6,0.0,5.7
106,2016-04-16,15.2,19.9,7.9,0.0,4.1
107,2016-04-17,19.6,24.6,13.9,1.0,9.0
108,2016-04-18,14.9,17.1,13.0,0.0,3.3
109,2016-04-19,14.9,19.5,9.9,0.0,3.7
110,2016-04-20,14.8,19.6,9.4,0.0,4.3
111,2016-04-21,16.0,19.8,14.2,23.0,3.6
112,2016-04-22,18.2,22.4,15.4,1.5,3.3
113,2016-04-23,17.4,21.8,14.1,3.5,2.2
114,2016-04-24,16.6,20.7,14.2,0.0,2.4
115,2016-04-25,17.0,21.4,13.0,0.0,2.3
116,2016-04-26,18.4,23.5,14.1,0.0,2.9
117,2016-04-27,17.9,20.0,16.5,5.0,3.3
118,2016-04-28,16.0,18.6,13.3,2.0,3.6
119,2016-04-29,13.8,17.5,11.1,0.0,6.3
120,2016-04-30,15.2,20.5,9.3,0.0,3.6
121,2016-05-01,18.0,24.0,13.1,0.0,2.4
122,2016-05-02,19.6,24.6,13.8,0.0,2.9
123,2016-05-03,20.1,22.3,16.9,0.0,8.1
124,2016-05-04,19.5,23.7,15.8,0.0,7.8
125,2016-05-05,19.8,23.7,16.3,0.0,4.3
126,2016-05-06,17.0,19.8,15.3,7.0,2.5
127,2016-05-07,17.8,21.0,15.7,0.0,2.4
128,2016-05-08,18.3,23.9,13.3,0.0,2.8
129,2016-05-09,16.2,17.9,14.4,33.5,3.1
130,2016-05-10,18.6,22.3,16.0,16.0,4.2
131,2016-05-11,19.2,22.9,15.6,17.5,8.1
132,2016-05-12,17.6,22.0,13.5,0.0,3.4
133,2016-05-13,19.4,23.8,15.3,0.0,2.9
134,2016-05-14,20.5,24.7,16.1,0.0,4.0
135,2016-05-15,21.1,26.1,17.0,0.0,3.5
136,2016-05-16,21.0,26.2,14.4,32.5,6.1
137,2016-05-17,17.3,22.5,12.7,6.0,4.9
138,2016-05-18,19.0,24.0,13.7,0.0,3.6
139,2016-05-19,20.5,25.5,16.9,0.0,3.2
140,2016-05-20,20.3,23.9,17.9,0.0,3.7
141,2016-05-21,21.6,27.0,17.8,0.0,3.0
142,2016-05-22,20.8,25.2,16.4,0.0,3.4
143,2016-05-23,22.1,28.7,18.2,0.0,2.3
144,2016-05-24,22.9,28.2,19.0,0.0,4.7
145,2016-05-25,22.3,24.9,20.2,0.0,2.6
146,2016-05-26,22.6,26.6,20.4,8.5,3.2
147,2016-05-27,22.7,26.2,17.7,3.5,3.6
148,2016-05-28,20.1,22.1,18.2,2.5,1.9
149,2016-05-29,20.1,23.1,17.6,7.5,2.2
150,2016-05-30,20.7,24.4,18.1,4.0,3.2
151,2016-05-31,23.0,27.4,19.5,0.0,3.9
152,2016-06-01,20.7,23.9,17.3,0.0,5.5
153,2016-06-02,19.7,24.3,16.0,0.0,7.0
154,2016-06-03,20.1,24.7,15.3,0.0,4.1
155,2016-06-04,21.3,24.9,18.1,0.5,2.8
156,2016-06-05,19.6,23.7,16.1,16.0,6.1
157,2016-06-06,20.9,25.1,16.8,0.0,2.9
158,2016-06-07,20.3,21.5,19.3,7.5,2.9
159,2016-06-08,21.8,26.7,18.1,0.0,3.2
160,2016-06-09,22.8,26.4,20.1,0.0,2.7
161,2016-06-10,24.4,29.4,20.6,0.0,4.0
162,2016-06-11,24.5,28.5,21.5,0.0,3.2
163,2016-06-12,23.2,27.3,21.5,10.5,3.5
164,2016-06-13,22.4,25.4,20.7,2.0,4.5
165,2016-06-14,23.9,28.0,21.0,0.0,3.0
166,2016-06-15,24.7,29.1,21.7,0.0,4.1
167,2016-06-16,22.4,23.6,21.4,24.5,2.3
168,2016-06-17,23.8,27.0,21.3,0.0,3.0
169,2016-06-18,24.6,29.8,20.5,0.0,2.4
170,2016-06-19,22.0,23.7,20.2,14.5,2.3
171,2016-06-20,24.1,28.1,22.0,0.0,2.3
172,2016-06-21,24.2,28.4,20.9,58.0,3.5
173,2016-06-22,24.4,26.6,23.4,7.0,1.8
174,2016-06-23,25.5,29.3,22.3,17.5,6.4
175,2016-06-24,23.6,27.0,20.5,5.0,5.5
176,2016-06-25,23.3,26.6,20.2,12.0,5.2
177,2016-06-26,23.2,27.5,19.6,0.0,2.9
178,2016-06-27,22.8,26.9,18.8,14.5,3.1
179,2016-06-28,21.1,22.7,19.0,5.0,2.5
180,2016-06-29,22.8,25.6,21.1,11.0,1.9
181,2016-06-30,24.2,26.2,22.7,0.0,1.3
182,2016-07-01,25.8,30.5,22.4,0.0,2.9
183,2016-07-02,27.6,30.2,25.7,0.0,7.2
184,2016-07-03,28.1,32.7,25.2,0.0,7.4
185,2016-07-04,28.0,32.6,24.3,0.0,3.2
186,2016-07-05,27.9,32.2,24.3,0.0,3.6
187,2016-07-06,28.1,32.5,25.8,0.0,5.4
188,2016-07-07,28.0,32.8,25.2,0.0,3.3
189,2016-07-08,25.5,27.9,23.6,5.5,2.3
190,2016-07-09,24.2,26.5,22.6,65.5,2.5
191,2016-07-10,26.6,30.6,23.8,0.0,2.8
192,2016-07-11,27.4,31.6,24.6,0.0,3.0
193,2016-07-12,27.5,31.1,25.5,0.0,2.4
194,2016-07-13,27.5,28.8,25.7,6.0,5.0
195,2016-07-14,27.0,31.3,24.8,1.0,3.1
196,2016-07-15,25.4,28.3,24.2,0.0,5.3
197,2016-07-16,26.6,30.7,23.3,0.0,3.3
198,2016-07-17,27.3,30.1,25.7,1.0,2.1
199,2016-07-18,27.9,31.2,25.0,0.0,2.9
200,2016-07-19,28.3,32.0,24.6,0.0,4.2
201,2016-07-20,27.6,32.3,24.0,0.0,4.5
202,2016-07-21,27.0,31.6,23.7,0.0,3.7
203,2016-07-22,27.1,32.2,23.9,0.0,4.7
204,2016-07-23,26.8,31.2,23.9,0.0,3.5
205,2016-07-24,26.4,29.9,23.9,0.0,3.8
206,2016-07-25,26.4,29.9,24.9,0.0,3.0
207,2016-07-26,26.2,28.8,23.8,7.5,4.1
208,2016-07-27,27.1,31.3,24.7,0.5,3.4
209,2016-07-28,28.0,32.0,25.8,0.0,3.4
210,2016-07-29,27.8,31.5,25.4,0.0,3.0
211,2016-07-30,28.0,33.2,25.3,0.0,3.4
212,2016-07-31,28.5,33.8,25.0,0.0,3.0
213,2016-08-01,29.4,33.9,25.2,0.0,3.1
214,2016-08-02,29.3,33.6,26.4,0.0,3.7
215,2016-08-03,29.0,33.7,25.6,0.0,3.3
216,2016-08-04,29.2,34.4,26.2,0.0,3.5
217,2016-08-05,29.4,34.4,26.9,0.0,3.7
218,2016-08-06,28.4,34.8,26.1,0.5,2.6
219,2016-08-07,29.0,34.2,26.0,0.0,3.8
220,2016-08-08,29.9,35.5,26.3,0.0,3.2
221,2016-08-09,29.9,34.5,26.4,0.0,3.8
222,2016-08-10,29.2,33.7,26.3,0.0,4.2
223,2016-08-11,28.5,33.7,24.6,0.0,2.6
224,2016-08-12,28.6,33.3,25.2,0.0,3.6
225,2016-08-13,29.1,34.0,25.7,0.0,3.7
226,2016-08-14,29.6,34.1,26.4,0.0,3.0
227,2016-08-15,29.8,34.4,27.5,0.0,3.0
228,2016-08-16,29.8,34.0,27.3,0.0,3.8
229,2016-08-17,29.4,34.5,27.0,0.0,4.7
230,2016-08-18,30.4,35.2,26.4,0.0,3.7
231,2016-08-19,30.4,35.4,28.0,0.0,4.0
232,2016-08-20,30.9,35.8,27.2,0.0,4.4
233,2016-08-21,30.8,36.0,27.1,0.0,2.9
234,2016-08-22,30.3,35.5,27.2,0.0,3.2
235,2016-08-23,30.4,36.4,27.4,0.0,5.8
236,2016-08-24,29.5,35.0,26.1,0.0,3.6
237,2016-08-25,29.3,33.7,26.3,0.0,3.7
238,2016-08-26,29.0,34.5,26.4,0.0,4.4
239,2016-08-27,27.6,31.9,25.3,0.0,6.5
240,2016-08-28,27.2,32.3,24.3,0.0,4.0
241,2016-08-29,24.8,27.6,22.9,47.5,4.0
242,2016-08-30,25.4,28.4,22.7,0.0,7.6
243,2016-08-31,27.4,30.6,25.6,0.0,7.9
244,2016-09-01,26.9,31.8,23.4,0.0,2.3
245,2016-09-02,27.1,31.7,23.3,0.0,3.0
246,2016-09-03,27.8,34.3,24.5,0.0,2.6
247,2016-09-04,27.1,33.2,24.3,6.5,2.4
248,2016-09-05,26.5,29.3,24.3,0.5,1.8
249,2016-09-06,27.2,31.7,25.5,0.0,2.6
250,2016-09-07,27.9,32.5,24.9,0.0,2.8
251,2016-09-08,26.2,28.6,23.4,11.5,3.9
252,2016-09-09,25.8,29.3,23.4,0.0,3.7
253,2016-09-10,25.7,29.9,21.8,0.0,4.2
254,2016-09-11,26.2,29.9,23.3,0.0,3.4
255,2016-09-12,27.3,31.1,23.9,9.5,2.6
256,2016-09-13,25.1,26.7,23.9,21.0,3.4
257,2016-09-14,24.8,27.3,23.4,1.0,2.3
258,2016-09-15,25.5,28.5,23.3,0.0,3.7
259,2016-09-16,25.8,29.3,23.5,0.0,2.5
260,2016-09-17,27.6,32.3,25.1,0.0,3.9
261,2016-09-18,26.0,27.3,24.1,,5.8
262,2016-09-19,24.8,27.9,21.9,3.0,4.8
263,2016-09-20,22.2,23.6,20.8,50.0,10.3
264,2016-09-21,22.8,24.8,20.7,0.0,3.0
265,2016-09-22,23.6,27.0,21.7,12.0,3.3
266,2016-09-23,23.5,26.1,21.8,6.0,4.7
267,2016-09-24,23.0,24.9,20.9,0.0,2.3
268,2016-09-25,24.8,29.1,22.1,29.5,2.8
269,2016-09-26,25.6,29.4,22.5,11.0,2.9
270,2016-09-27,26.5,30.6,23.3,0.0,2.2
271,2016-09-28,26.3,28.3,24.9,12.5,3.2
272,2016-09-29,23.8,28.0,21.1,4.5,5.5
273,2016-09-30,23.0,26.4,20.0,0.0,3.2
274,2016-10-01,24.3,26.4,22.0,2.0,2.6
275,2016-10-02,26.2,28.6,24.3,0.0,1.9
276,2016-10-03,24.6,27.5,21.7,2.5,2.4
277,2016-10-04,24.3,27.6,22.0,0.0,3.4
278,2016-10-05,24.7,28.4,20.7,0.0,6.2
279,2016-10-06,24.2,27.1,21.1,0.0,6.3
280,2016-10-07,22.3,25.9,18.4,0.0,4.0
281,2016-10-08,25.5,28.8,21.7,0.0,6.2
282,2016-10-09,21.8,26.6,17.8,16.0,7.5
283,2016-10-10,18.9,22.4,16.9,0.0,7.2
284,2016-10-11,19.4,21.3,16.7,0.0,4.0
285,2016-10-12,19.4,22.7,17.1,0.0,4.5
286,2016-10-13,18.1,20.7,16.5,0.0,5.5
287,2016-10-14,18.4,21.1,16.3,0.0,3.2
288,2016-10-15,19.4,24.5,14.6,0.0,4.1
289,2016-10-16,21.2,24.9,17.3,0.0,2.6
290,2016-10-17,22.2,24.8,19.1,19.0,2.6
291,2016-10-18,23.3,26.8,20.7,0.0,3.7
292,2016-10-19,22.5,25.0,20.4,0.0,2.4
293,2016-10-20,22.8,25.8,19.8,0.0,5.8
294,2016-10-21,19.0,21.3,17.4,0.0,6.3
295,2016-10-22,17.6,19.1,15.6,1.0,2.1
296,2016-10-23,18.9,20.9,16.5,0.0,6.2
297,2016-10-24,17.3,21.3,14.4,0.0,6.7
298,2016-10-25,17.8,20.4,13.7,0.0,3.1
299,2016-10-26,21.5,24.6,18.4,0.0,3.2
300,2016-10-27,19.1,22.5,15.3,0.0,6.9
301,2016-10-28,17.4,20.0,14.3,0.5,3.1
302,2016-10-29,17.8,21.3,13.8,0.0,8.1
303,2016-10-30,15.5,17.6,12.4,0.0,3.6
304,2016-10-31,16.3,18.8,12.4,0.0,2.7
305,2016-11-01,15.4,19.9,12.8,9.0,5.1
306,2016-11-02,14.5,17.4,11.6,0.0,4.4
307,2016-11-03,15.3,17.4,13.5,0.0,5.2
308,2016-11-04,15.0,17.6,13.0,0.0,3.0
309,2016-11-05,15.7,19.1,10.5,0.0,2.6
310,2016-11-06,15.1,19.2,11.4,0.0,6.3
311,2016-11-07,14.7,17.7,10.5,0.0,3.7
312,2016-11-08,14.7,17.1,11.9,21.5,3.8
313,2016-11-09,11.1,13.9,8.7,0.0,9.1
314,2016-11-10,10.9,13.0,8.0,0.0,4.7
315,2016-11-11,14.8,17.6,11.0,1.0,2.4
316,2016-11-12,16.0,18.7,13.4,0.0,2.9
317,2016-11-13,16.5,20.2,12.9,0.0,1.9
318,2016-11-14,17.2,19.1,15.2,1.0,2.9
319,2016-11-15,17.2,21.1,13.3,0.5,4.8
320,2016-11-16,12.8,15.3,10.7,0.0,5.8
321,2016-11-17,13.6,16.4,9.5,0.0,3.8
322,2016-11-18,14.4,18.0,9.7,0.0,3.1
323,2016-11-19,18.1,20.2,14.9,8.0,3.1
324,2016-11-20,19.1,21.3,16.8,0.0,3.2
325,2016-11-21,16.2,17.6,15.0,0.0,3.2
326,2016-11-22,17.6,20.2,15.9,0.5,3.7
327,2016-11-23,11.9,17.7,8.6,0.0,8.3
328,2016-11-24,10.7,14.6,6.8,3.5,4.5
329,2016-11-25,12.2,14.5,10.4,0.0,3.4
330,2016-11-26,12.9,16.0,8.7,2.5,3.4
331,2016-11-27,13.1,14.5,12.0,29.0,4.6
