Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,3.4,11.0,-2.2,8.8,4.2,997.2,60,1026.3
1,2016-01-02,2.8,13.0,-3.9,8.5,4.5,993.4,66,1022.4
2,2016-01-03,5.1,16.5,-2.6,8.7,5.6,988.6,68,1017.3
3,2016-01-04,5.5,15.9,-2.0,8.8,6.0,985.8,71,1014.3
4,2016-01-05,5.4,14.7,-1.6,6.4,6.4,988.3,74,1016.9
5,2016-01-06,4.4,9.5,0.3,1.0,6.6,989.0,81,1017.7
6,2016-01-07,3.7,12.5,-1.5,8.0,5.4,984.6,72,1013.3
7,2016-01-08,1.8,10.2,-4.0,8.9,4.8,985.3,73,1014.2
8,2016-01-09,2.4,11.0,-4.0,8.9,4.8,988.8,70,1017.7
9,2016-01-10,3.2,13.0,-4.2,8.8,4.6,988.4,65,1017.2
10,2016-01-11,2.5,10.4,-3.5,8.0,4.9,988.8,69,1017.7
11,2016-01-12,1.8,5.6,-3.1,0.0,5.1,986.4,75,1015.3
12,2016-01-13,0.3,8.8,-5.8,8.7,4.4,984.7,74,1013.7
13,2016-01-14,1.7,11.8,-5.6,8.9,4.1,983.8,65,1012.6
14,2016-01-15,2.4,9.8,-5.1,7.3,5.0,987.6,70,1016.5
15,2016-01-16,4.6,11.7,-0.2,9.0,4.9,990.4,61,1019.1
16,2016-01-17,2.5,8.0,-3.6,4.4,4.7,993.4,67,1022.4
17,2016-01-18,0.4,3.6,-1.4,2.2,6.2,972.6,98,1001.3
18,2016-01-19,0.8,5.5,-6.3,9.0,3.3,972.7,55,1001.3
19,2016-01-20,-0.5,6.5,-9.0,7.5,3.4,981.1,62,1010.2
20,2016-01-21,1.0,7.2,-3.9,7.6,3.8,989.3,60,1018.4
21,2016-01-22,0.7,8.2,-5.5,9.0,3.9,991.2,66,1020.4
22,2016-01-23,-0.6,5.6,-6.2,4.9,4.1,988.7,72,1017.9
23,2016-01-24,-1.5,4.7,-7.6,9.1,2.6,976.2,54,1005.2
24,2016-01-25,-1.9,5.7,-9.0,9.2,2.6,988.0,54,1017.4
25,2016-01-26,-1.4,7.7,-8.9,9.2,3.4,994.3,66,1023.8
26,2016-01-27,0.8,11.7,-7.4,9.2,3.9,995.3,67,1024.6
27,2016-01-28,2.0,11.7,-5.4,8.3,4.3,997.6,67,1026.8
28,2016-01-29,1.9,4.0,-0.9,0.1,6.4,995.4,91,1024.6
29,2016-01-30,1.7,3.5,0.3,0.0,6.5,991.8,94,1020.9
30,2016-01-31,2.9,9.0,-1.7,7.1,6.0,991.9,82,1020.8
31,2016-02-01,1.9,6.5,-2.0,1.7,5.4,991.2,79,1020.2
32,2016-02-02,2.5,9.2,-2.3,8.5,4.5,989.7,66,1018.7
33,2016-02-03,1.9,8.2,-3.8,6.4,4.0,992.8,60,1021.8
34,2016-02-04,1.6,8.7,-4.2,9.6,4.7,991.3,72,1020.4
35,2016-02-05,3.0,12.0,-4.4,8.8,4.7,987.5,67,1016.4
36,2016-02-06,3.5,8.9,-1.5,2.2,6.0,984.3,78,1013.0
37,2016-02-07,2.1,7.9,-3.1,8.0,4.1,987.7,61,1016.6
38,2016-02-08,-0.1,4.7,-4.0,3.5,4.7,989.9,79,1019.1
39,2016-02-09,1.9,9.9,-5.2,6.7,4.6,981.8,68,1010.6
40,2016-02-10,3.5,7.8,-0.9,9.9,3.0,991.5,40,1020.4
41,2016-02-11,2.9,10.9,-4.0,9.9,3.9,1001.3,54,1030.5
42,2016-02-12,3.4,11.1,-4.2,7.9,5.3,1002.4,70,1031.6
43,2016-02-13,8.4,15.7,2.2,4.2,7.3,991.4,68,1019.8
44,2016-02-14,11.7,20.7,6.6,5.3,11.9,972.3,87,999.8
45,2016-02-15,5.2,11.1,-1.5,0.0,6.1,975.1,68,1003.3
46,2016-02-16,1.3,8.1,-4.4,9.6,4.7,983.0,73,1011.9
47,2016-02-17,1.2,8.7,-4.5,6.6,4.3,987.0,68,1016.0
48,2016-02-18,1.9,10.6,-5.3,10.2,4.5,996.1,68,1025.3
49,2016-02-19,5.9,17.1,-3.4,9.9,5.2,996.6,62,1025.3
50,2016-02-20,4.8,8.6,2.1,0.6,7.3,992.1,85,1020.9
51,2016-02-21,6.5,14.9,-0.7,9.5,6.1,986.0,68,1014.4
52,2016-02-22,3.7,10.3,-2.3,7.4,5.1,999.7,67,1028.8
53,2016-02-23,5.4,11.4,1.1,6.7,6.8,992.9,77,1021.6
54,2016-02-24,4.0,7.2,0.7,1.3,4.2,993.5,54,1022.4
55,2016-02-25,2.1,7.8,-2.2,7.6,4.3,996.8,63,1025.9
56,2016-02-26,2.2,10.8,-4.9,9.1,4.0,995.6,61,1024.7
57,2016-02-27,3.7,12.8,-4.3,9.4,4.6,995.7,63,1024.7
58,2016-02-28,6.0,14.1,-2.4,8.7,5.9,995.9,67,1024.7
59,2016-02-29,6.1,13.5,2.5,2.5,6.9,981.9,74,1010.2
60,2016-03-01,2.5,8.5,-1.9,10.7,2.9,987.7,41,1016.6
61,2016-03-02,2.8,12.3,-5.2,10.7,3.5,992.4,52,1021.4
62,2016-03-03,5.9,17.9,-3.3,10.7,4.8,993.8,57,1022.5
63,2016-03-04,7.4,15.6,-1.2,9.9,6.7,1000.9,67,1029.7
64,2016-03-05,9.0,15.4,4.2,3.2,8.4,1003.5,74,1032.1
65,2016-03-06,10.6,16.1,6.5,3.4,10.5,997.4,83,1025.7
66,2016-03-07,10.9,13.8,8.9,0.0,12.3,990.7,94,1018.7
67,2016-03-08,14.6,22.0,8.4,9.4,12.1,985.7,75,1013.2
68,2016-03-09,8.0,13.5,3.4,0.0,9.2,987.1,86,1015.3
69,2016-03-10,4.8,7.7,1.7,0.0,7.0,988.4,82,1017.0
