,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,6.2,11.5,1.6,0.0,9.5,2.3
1,2016-01-02,4.8,13.1,-0.3,0.0,5.6,1.1
2,2016-01-03,6.2,15.4,-1.5,0.0,8.5,0.8
3,2016-01-04,6.9,15.6,-0.1,0.0,9.3,1.1
4,2016-01-05,9.2,15.4,3.2,0.0,8.0,1.2
5,2016-01-06,6.7,9.7,2.9,0.0,0.1,1.2
6,2016-01-07,6.7,12.8,0.2,0.0,8.4,2.6
7,2016-01-08,4.7,10.5,-0.7,0.0,9.2,1.2
8,2016-01-09,5.7,11.4,-1.4,0.0,9.1,1.7
9,2016-01-10,6.0,13.3,-1.3,0.0,9.3,1.5
10,2016-01-11,5.6,10.2,-1.1,0.0,6.5,1.9
11,2016-01-12,2.8,4.9,-2.0,0.0,0.0,1.5
12,2016-01-13,1.9,8.7,-4.4,0.0,9.1,1.1
13,2016-01-14,3.8,11.5,-3.3,0.0,9.2,1.3
14,2016-01-15,4.7,10.2,-0.1,0.0,7.3,1.8
15,2016-01-16,6.1,11.7,0.8,0.0,8.9,1.6
16,2016-01-17,4.9,8.3,-1.2,4.0,4.6,1.7
17,2016-01-18,1.7,4.2,-1.0,47.5,1.2,2.8
18,2016-01-19,3.1,7.4,-3.0,0.0,9.5,1.6
19,2016-01-20,1.5,6.8,-5.4,0.0,9.0,3.2
20,2016-01-21,3.0,8.0,-3.3,0.0,8.4,2.1
21,2016-01-22,4.4,9.1,1.4,0.0,8.8,3.3
22,2016-01-23,3.3,6.5,1.1,0.0,1.3,2.4
23,2016-01-24,2.0,7.4,-2.5,0.0,8.8,3.3
24,2016-01-25,1.3,7.2,-5.0,0.0,10.0,2.6
25,2016-01-26,2.2,9.2,-5.0,0.0,9.9,1.3
26,2016-01-27,4.4,13.1,-4.0,0.0,9.8,1.2
27,2016-01-28,5.2,13.7,-2.0,0.0,9.7,0.9
28,2016-01-29,4.4,7.8,1.9,7.0,0.0,2.2
29,2016-01-30,3.1,5.2,1.3,2.5,0.0,2.2
30,2016-01-31,5.7,11.0,0.4,0.0,7.2,1.4
31,2016-02-01,4.1,6.2,1.3,0.0,0.0,1.8
32,2016-02-02,5.0,9.4,1.7,0.0,7.0,3.0
33,2016-02-03,4.2,8.7,0.1,0.0,7.2,2.2
34,2016-02-04,3.8,9.5,-0.9,0.0,8.2,1.5
35,2016-02-05,5.8,12.7,-2.4,0.0,9.4,1.5
36,2016-02-06,6.1,9.7,2.1,0.5,1.2,2.5
37,2016-02-07,3.7,8.3,0.2,1.0,8.7,3.1
38,2016-02-08,3.4,8.2,0.0,0.0,5.1,1.7
39,2016-02-09,4.7,14.1,-3.2,0.0,8.9,2.6
40,2016-02-10,4.6,9.7,0.6,0.0,10.4,4.3
41,2016-02-11,5.4,10.3,0.5,0.0,10.3,2.5
42,2016-02-12,5.7,12.8,-1.5,0.0,6.3,1.8
43,2016-02-13,12.4,18.1,6.6,0.0,2.5,1.8
44,2016-02-14,16.0,21.1,9.3,8.0,5.1,2.8
45,2016-02-15,6.9,13.1,1.7,0.5,0.0,3.7
46,2016-02-16,4.5,9.9,-0.1,0.0,6.8,1.9
47,2016-02-17,4.2,11.9,-2.4,0.0,9.0,2.7
48,2016-02-18,4.3,11.2,-3.3,0.0,9.5,1.7
49,2016-02-19,7.6,16.7,-1.3,0.0,9.8,1.3
50,2016-02-20,6.7,9.9,4.5,28.0,0.3,1.8
51,2016-02-21,9.1,14.4,4.7,0.0,5.1,4.1
52,2016-02-22,6.6,9.4,4.2,0.0,2.1,2.9
53,2016-02-23,6.2,9.8,3.8,0.0,1.9,1.2
54,2016-02-24,5.6,8.5,2.2,0.0,0.1,4.2
55,2016-02-25,3.2,7.6,-0.4,3.0,6.4,1.3
56,2016-02-26,4.5,11.2,-1.8,0.0,10.3,1.9
57,2016-02-27,6.4,12.4,0.3,0.0,10.6,2.4
58,2016-02-28,7.2,14.0,0.0,0.0,7.4,2.4
59,2016-02-29,7.2,12.5,3.9,0.0,0.9,2.8
60,2016-03-01,4.2,8.2,0.5,0.0,11.1,5.0
61,2016-03-02,5.3,12.0,-1.7,0.0,10.4,1.6
62,2016-03-03,7.9,16.8,-1.2,0.0,10.7,1.4
63,2016-03-04,9.2,15.7,1.1,0.0,7.8,2.4
64,2016-03-05,10.1,15.0,7.0,0.0,1.9,2.3
65,2016-03-06,13.1,18.4,8.2,0.0,2.6,2.3
66,2016-03-07,12.4,16.0,11.1,8.0,0.0,1.2
67,2016-03-08,15.2,20.8,11.1,0.0,5.4,1.5
68,2016-03-09,8.5,14.2,4.0,18.0,0.0,3.0
69,2016-03-10,6.1,8.3,3.6,0.0,0.0,3.0
70,2016-03-11,4.3,6.0,2.7,1.0,0.0,2.0
71,2016-03-12,5.6,7.7,3.2,0.5,1.4,2.2
72,2016-03-13,6.2,8.6,2.9,0.0,0.0,1.9
73,2016-03-14,5.5,6.6,4.1,23.0,0.0,2.9
74,2016-03-15,7.4,12.2,3.5,0.0,11.4,4.2
75,2016-03-16,7.4,13.2,1.0,0.0,1.5,1.4
76,2016-03-17,12.2,20.4,2.6,0.0,11.4,1.6
77,2016-03-18,13.6,19.9,4.2,1.0,7.1,3.1
78,2016-03-19,14.7,18.3,11.7,4.0,2.4,2.5
79,2016-03-20,12.9,17.1,9.3,0.5,5.9,4.7
80,2016-03-21,9.6,13.8,5.7,0.0,4.9,2.3
81,2016-03-22,10.3,16.7,3.5,0.0,11.4,2.1
82,2016-03-23,9.9,17.3,4.4,0.0,2.9,2.4
83,2016-03-24,6.2,9.8,3.5,0.5,2.7,2.2
84,2016-03-25,7.2,12.5,1.6,0.0,9.9,3.4
85,2016-03-26,8.0,12.9,4.4,0.0,5.9,2.4
86,2016-03-27,10.2,15.3,5.5,0.0,5.6,2.3
87,2016-03-28,11.7,15.9,8.0,0.0,1.8,2.3
88,2016-03-29,12.2,18.1,4.0,0.0,9.8,2.2
89,2016-03-30,14.0,19.9,7.1,0.0,3.7,1.8
90,2016-03-31,14.7,20.1,5.9,0.0,10.4,2.5
91,2016-04-01,12.2,18.0,8.3,0.0,2.0,3.2
92,2016-04-02,11.1,13.2,9.4,0.0,0.0,1.9
93,2016-04-03,14.0,18.3,9.5,2.0,0.3,3.0
94,2016-04-04,14.7,20.9,9.3,14.0,0.1,2.6
95,2016-04-05,10.7,13.1,8.1,2.5,0.0,2.1
96,2016-04-06,13.9,21.8,4.1,0.0,9.0,2.1
