Unnamed: 0,calendar_date,precipitation,hours_sunlight
0,2016-01-01,0.0,5.2
1,2016-01-02,0.0,1.5
2,2016-01-03,0.0,2.2
3,2016-01-04,0.0,3.2
4,2016-01-05,0.5,0.5
5,2016-01-06,0.0,1.4
6,2016-01-07,2.5,0.5
7,2016-01-08,2.0,0.0
8,2016-01-09,0.0,0.3
9,2016-01-10,0.0,1.9
10,2016-01-11,0.0,1.5
11,2016-01-12,1.5,0.0
12,2016-01-13,14.0,0.1
13,2016-01-14,2.5,0.1
14,2016-01-15,0.5,0.4
15,2016-01-16,0.0,7.9
16,2016-01-17,18.5,0.0
17,2016-01-18,23.0,0.0
18,2016-01-19,5.5,0.1
19,2016-01-20,4.0,1.2
20,2016-01-21,12.5,0.1
21,2016-01-22,1.0,4.2
22,2016-01-23,10.5,0.0
23,2016-01-24,5.0,0.0
24,2016-01-25,6.5,0.4
25,2016-01-26,1.5,0.0
26,2016-01-27,0.0,1.2
27,2016-01-28,11.5,0.0
28,2016-01-29,32.5,0.0
29,2016-01-30,1.0,4.5
30,2016-01-31,0.5,1.3
31,2016-02-01,5.5,0.2
32,2016-02-02,0.0,2.2
33,2016-02-03,0.0,6.7
34,2016-02-04,0.0,3.0
35,2016-02-05,0.0,2.8
36,2016-02-06,1.0,1.3
37,2016-02-07,10.5,6.0
38,2016-02-08,0.0,2.6
39,2016-02-09,0.0,3.7
40,2016-02-10,0.0,8.2
41,2016-02-11,0.0,9.7
42,2016-02-12,0.0,3.7
43,2016-02-13,28.0,1.6
44,2016-02-14,37.0,0.0
45,2016-02-15,11.5,0.0
46,2016-02-16,9.0,0.7
47,2016-02-17,0.0,1.3
48,2016-02-18,0.0,4.7
49,2016-02-19,0.5,4.5
50,2016-02-20,28.5,0.0
51,2016-02-21,0.0,3.9
52,2016-02-22,0.0,1.9
53,2016-02-23,0.0,0.7
54,2016-02-24,0.0,0.6
55,2016-02-25,1.0,3.0
56,2016-02-26,1.0,3.8
57,2016-02-27,4.0,0.4
58,2016-02-28,0.5,7.3
59,2016-02-29,41.0,0.6
60,2016-03-01,3.0,0.9
61,2016-03-02,0.0,6.8
62,2016-03-03,0.0,8.1
63,2016-03-04,3.5,0.0
64,2016-03-05,0.0,10.2
65,2016-03-06,10.0,0.1
66,2016-03-07,0.0,7.7
67,2016-03-08,0.0,0.0
68,2016-03-09,19.5,0.0
69,2016-03-10,0.0,1.0
70,2016-03-11,3.0,2.7
71,2016-03-12,0.5,10.2
72,2016-03-13,5.0,0.5
73,2016-03-14,3.5,2.5
74,2016-03-15,0.0,10.5
75,2016-03-16,0.0,4.8
76,2016-03-17,0.0,10.7
77,2016-03-18,11.0,0.0
78,2016-03-19,11.5,1.9
79,2016-03-20,0.0,7.1
80,2016-03-21,0.0,11.2
81,2016-03-22,0.0,11.0
82,2016-03-23,0.0,2.9
83,2016-03-24,0.0,4.0
84,2016-03-25,0.0,8.5
85,2016-03-26,0.0,11.5
86,2016-03-27,0.0,5.5
87,2016-03-28,0.0,10.8
88,2016-03-29,0.0,4.7
89,2016-03-30,1.0,1.8
90,2016-03-31,0.5,3.8
91,2016-04-01,4.0,0.4
92,2016-04-02,0.0,8.7
93,2016-04-03,4.0,1.2
94,2016-04-04,6.0,0.0
95,2016-04-05,0.0,8.1
96,2016-04-06,0.0,8.7
97,2016-04-07,72.0,0.0
98,2016-04-08,0.0,6.7
99,2016-04-09,0.0,8.5
100,2016-04-10,0.0,1.3
101,2016-04-11,0.0,9.8
102,2016-04-12,0.0,8.2
103,2016-04-13,12.0,1.8
104,2016-04-14,0.0,0.1
105,2016-04-15,0.0,11.9
106,2016-04-16,0.5,7.0
107,2016-04-17,11.5,11.2
108,2016-04-18,0.0,0.3
109,2016-04-19,0.0,7.7
110,2016-04-20,0.0,10.2
111,2016-04-21,23.5,0.0
112,2016-04-22,0.0,7.0
113,2016-04-23,0.0,0.5
114,2016-04-24,0.0,7.8
115,2016-04-25,0.0,9.0
116,2016-04-26,0.0,11.3
117,2016-04-27,36.5,0.0
118,2016-04-28,18.5,0.0
119,2016-04-29,0.0,7.3
120,2016-04-30,0.0,12.3
121,2016-05-01,0.0,10.3
122,2016-05-02,0.0,12.2
123,2016-05-03,8.0,0.0
124,2016-05-04,0.0,12.5
125,2016-05-05,0.0,9.9
126,2016-05-06,2.0,0.0
127,2016-05-07,8.0,4.7
128,2016-05-08,0.0,9.3
129,2016-05-09,3.5,0.0
130,2016-05-10,26.5,0.0
131,2016-05-11,18.0,1.6
132,2016-05-12,0.0,12.9
133,2016-05-13,0.0,6.7
134,2016-05-14,0.0,12.1
135,2016-05-15,0.0,8.0
136,2016-05-16,45.0,0.1
137,2016-05-17,0.0,10.5
138,2016-05-18,0.0,13.1
139,2016-05-19,0.0,12.6
140,2016-05-20,0.0,13.1
141,2016-05-21,0.0,13.0
142,2016-05-22,0.0,12.8
143,2016-05-23,0.0,12.1
144,2016-05-24,2.5,3.4
145,2016-05-25,2.5,0.7
146,2016-05-26,0.5,1.3
147,2016-05-27,0.0,6.9
148,2016-05-28,0.0,2.0
149,2016-05-29,13.0,0.7
150,2016-05-30,0.0,0.5
151,2016-05-31,0.0,12.7
152,2016-06-01,0.0,9.9
153,2016-06-02,0.0,12.4
154,2016-06-03,0.0,13.1
155,2016-06-04,8.5,0.6
156,2016-06-05,3.5,0.1
157,2016-06-06,0.0,3.2
158,2016-06-07,0.0,4.2
159,2016-06-08,0.0,4.0
160,2016-06-09,24.5,4.1
161,2016-06-10,0.0,13.2
162,2016-06-11,0.0,3.0
163,2016-06-12,29.0,0.8
164,2016-06-13,5.0,4.7
165,2016-06-14,0.0,9.3
166,2016-06-15,0.0,4.8
167,2016-06-16,1.5,0.1
168,2016-06-17,0.0,8.0
169,2016-06-18,0.0,9.9
170,2016-06-19,25.0,1.5
171,2016-06-20,10.0,5.9
172,2016-06-21,7.0,1.3
173,2016-06-22,10.0,0.0
174,2016-06-23,2.5,7.5
175,2016-06-24,46.5,0.0
176,2016-06-25,0.0,0.0
177,2016-06-26,0.0,9.7
178,2016-06-27,8.5,4.8
179,2016-06-28,0.0,2.3
180,2016-06-29,8.0,0.0
181,2016-06-30,1.5,2.8
