Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,5.7,13.3,0.5,0.0,1.8
1,2016-01-02,10.9,14.8,0.5,0.0,5.0
2,2016-01-03,13.6,15.8,5.9,0.0,2.8
3,2016-01-04,12.0,17.2,3.6,0.0,3.1
4,2016-01-05,13.3,16.5,5.3,0.0,3.7
5,2016-01-06,11.2,14.2,8.4,0.0,2.1
6,2016-01-07,10.9,14.4,4.8,0.0,4.1
7,2016-01-08,11.1,13.2,10.0,0.0,6.1
8,2016-01-09,9.0,13.3,3.0,0.0,3.5
9,2016-01-10,10.5,13.3,8.7,0.0,5.5
10,2016-01-11,8.6,12.4,1.4,0.0,3.0
11,2016-01-12,6.7,10.3,1.5,0.5,2.3
12,2016-01-13,7.6,11.9,0.6,0.0,3.9
13,2016-01-14,9.2,11.1,7.3,0.0,6.2
14,2016-01-15,6.8,10.8,1.5,0.0,3.1
15,2016-01-16,5.4,11.2,0.6,0.0,1.8
16,2016-01-17,7.6,12.4,0.4,0.0,1.9
17,2016-01-18,9.9,13.0,6.5,4.0,4.4
18,2016-01-19,5.8,10.3,3.3,0.0,9.3
19,2016-01-20,5.7,9.9,1.8,0.0,6.6
20,2016-01-21,4.2,9.8,-1.8,0.0,1.8
21,2016-01-22,6.8,12.2,1.4,0.0,2.2
22,2016-01-23,6.8,10.4,0.7,0.0,2.3
23,2016-01-24,3.9,7.4,0.5,0.0,8.6
24,2016-01-25,3.2,8.3,-4.2,0.0,3.5
25,2016-01-26,4.4,9.9,-3.6,0.0,3.4
26,2016-01-27,5.6,11.7,-2.4,0.0,2.4
27,2016-01-28,7.6,13.1,-0.9,0.0,2.4
28,2016-01-29,8.7,9.8,7.5,27.0,1.6
29,2016-01-30,7.0,9.6,5.9,5.5,2.1
30,2016-01-31,8.6,11.4,5.7,0.0,2.6
31,2016-02-01,7.7,10.4,4.4,0.5,2.9
32,2016-02-02,6.1,10.5,1.3,0.0,2.0
33,2016-02-03,5.1,10.8,0.1,0.0,2.0
34,2016-02-04,6.6,10.9,-0.6,0.0,3.1
35,2016-02-05,7.8,11.8,0.5,0.0,2.6
36,2016-02-06,6.4,12.5,0.6,0.0,2.0
