,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,7.2,12.9,2.1,0.0,8.8,2.2
1,2016-01-02,7.3,14.5,-0.3,0.0,8.8,1.8
2,2016-01-03,9.5,16.6,4.3,0.0,5.6,2.2
3,2016-01-04,11.0,18.2,3.8,0.0,8.9,3.8
4,2016-01-05,12.0,16.3,9.7,0.0,6.7,4.7
5,2016-01-06,10.3,14.6,6.5,0.0,0.4,1.3
6,2016-01-07,9.1,13.0,4.2,0.0,8.2,3.1
7,2016-01-08,6.1,11.6,1.2,0.0,7.1,2.0
8,2016-01-09,6.7,12.4,1.3,0.0,9.1,2.1
9,2016-01-10,6.9,11.8,0.5,0.0,8.8,3.0
10,2016-01-11,7.7,12.8,3.0,0.0,7.4,2.0
11,2016-01-12,6.1,10.6,0.0,0.0,0.6,1.4
12,2016-01-13,4.6,11.0,-0.4,0.0,8.7,2.2
13,2016-01-14,4.0,10.0,-1.3,0.0,8.1,1.7
14,2016-01-15,5.8,11.5,0.8,0.0,8.8,2.3
15,2016-01-16,6.0,12.6,0.3,0.0,9.2,2.5
16,2016-01-17,6.1,11.4,0.7,0.0,5.2,2.3
17,2016-01-18,9.0,11.6,6.7,14.0,1.8,2.9
18,2016-01-19,2.9,6.9,0.1,0.5,4.0,2.3
19,2016-01-20,3.0,7.4,-1.4,0.0,7.5,2.9
20,2016-01-21,4.4,9.0,-0.5,0.0,6.2,2.5
21,2016-01-22,5.1,11.0,-0.1,0.0,8.7,2.9
22,2016-01-23,4.1,6.6,2.5,1.0,0.0,2.7
23,2016-01-24,0.8,3.8,-2.6,0.0,8.4,3.7
24,2016-01-25,0.9,6.6,-4.2,0.0,9.3,3.3
25,2016-01-26,3.1,9.1,-2.5,0.0,9.3,2.0
26,2016-01-27,5.5,11.5,-0.5,0.0,8.4,1.9
27,2016-01-28,8.0,14.8,1.6,0.0,8.8,2.2
28,2016-01-29,7.5,9.9,5.7,52.0,0.0,2.0
29,2016-01-30,7.4,8.8,6.0,10.5,0.0,0.8
30,2016-01-31,6.1,11.7,2.0,0.0,7.7,1.5
31,2016-02-01,5.2,8.8,1.7,0.0,0.0,1.4
32,2016-02-02,6.4,12.2,2.0,0.0,8.0,2.9
33,2016-02-03,4.8,10.3,-0.3,0.0,6.1,2.8
34,2016-02-04,4.4,11.1,-1.6,0.0,9.4,1.8
35,2016-02-05,7.9,14.0,1.7,0.0,8.9,2.4
36,2016-02-06,5.8,11.4,0.0,0.0,4.2,2.4
37,2016-02-07,5.5,11.2,-0.7,0.0,9.6,3.6
38,2016-02-08,4.3,11.6,-1.0,0.0,9.6,2.3
39,2016-02-09,4.0,10.2,-0.6,0.0,5.8,2.3
40,2016-02-10,5.2,9.9,0.9,0.0,9.7,3.8
41,2016-02-11,6.5,13.1,2.1,0.0,9.0,3.0
42,2016-02-12,7.1,8.8,4.3,1.0,0.0,3.1
43,2016-02-13,10.7,16.3,6.9,47.0,1.4,3.4
44,2016-02-14,16.1,18.6,12.3,60.5,0.6,2.5
45,2016-02-15,9.1,12.8,2.8,0.0,7.9,3.7
46,2016-02-16,3.5,8.2,-0.7,0.0,9.5,2.2
47,2016-02-17,4.0,9.0,-1.2,0.0,7.8,2.3
48,2016-02-18,5.1,11.8,-0.7,0.0,7.5,2.3
49,2016-02-19,8.2,15.6,2.5,0.0,9.9,2.7
50,2016-02-20,9.3,15.5,5.3,30.0,0.0,3.2
51,2016-02-21,9.3,12.5,5.1,0.0,10.0,4.8
52,2016-02-22,7.5,11.0,3.9,0.0,0.7,2.6
53,2016-02-23,9.3,14.7,5.3,0.0,4.6,2.2
54,2016-02-24,7.7,12.2,3.2,0.0,5.7,3.0
55,2016-02-25,4.4,10.5,-2.2,0.0,10.1,2.2
56,2016-02-26,4.8,10.6,0.7,0.0,8.7,3.0
57,2016-02-27,6.1,12.8,-1.5,0.0,9.7,2.0
58,2016-02-28,9.6,16.6,4.1,0.0,10.1,2.1
59,2016-02-29,8.2,12.8,2.5,1.5,1.0,3.5
60,2016-03-01,4.0,8.2,1.0,0.0,10.2,4.7
61,2016-03-02,5.4,11.5,-1.2,0.0,10.2,2.7
62,2016-03-03,8.2,17.6,-0.9,0.0,10.2,3.1
63,2016-03-04,9.8,17.3,4.2,0.0,10.2,2.8
64,2016-03-05,10.9,18.6,6.5,0.0,2.6,2.7
65,2016-03-06,12.9,19.7,8.6,20.0,3.6,3.0
66,2016-03-07,13.1,15.1,10.8,33.0,0.0,2.7
67,2016-03-08,14.6,23.3,8.7,0.0,10.1,2.2
68,2016-03-09,10.6,12.1,8.7,36.5,0.0,2.4
69,2016-03-10,8.6,11.1,6.7,0.0,0.0,1.8
70,2016-03-11,7.4,11.5,2.3,0.0,3.4,1.5
71,2016-03-12,6.3,13.3,1.7,0.0,7.4,2.5
72,2016-03-13,8.3,15.3,2.7,0.5,5.7,2.7
73,2016-03-14,6.9,8.0,4.7,21.5,0.0,2.7
74,2016-03-15,8.8,14.8,3.3,0.0,10.5,3.5
75,2016-03-16,9.0,13.8,5.0,0.0,2.6,2.5
76,2016-03-17,10.8,19.2,3.2,0.0,10.5,2.4
77,2016-03-18,12.8,19.8,6.8,12.5,6.3,2.7
78,2016-03-19,15.2,22.8,10.9,61.5,4.3,2.8
79,2016-03-20,13.7,19.6,8.2,0.0,5.4,2.8
80,2016-03-21,10.8,16.6,6.7,0.0,4.5,2.3
81,2016-03-22,10.3,16.7,6.2,0.0,8.0,2.6
82,2016-03-23,11.7,19.2,4.7,0.0,7.4,2.2
83,2016-03-24,10.8,16.3,5.5,0.0,7.3,2.5
84,2016-03-25,8.5,14.9,2.6,0.0,10.6,3.1
85,2016-03-26,8.8,15.0,3.4,0.0,9.2,2.3
86,2016-03-27,10.0,17.7,4.6,0.0,7.8,2.5
87,2016-03-28,10.7,16.3,6.9,1.0,5.8,2.4
88,2016-03-29,11.1,17.2,5.2,0.0,9.0,2.5
89,2016-03-30,13.0,19.2,7.6,0.0,6.2,2.8
90,2016-03-31,13.5,20.4,6.5,0.0,10.0,2.3
91,2016-04-01,11.7,13.2,10.6,1.5,0.0,1.9
92,2016-04-02,14.5,20.1,10.2,0.0,0.7,1.9
93,2016-04-03,15.2,19.8,11.9,3.5,0.5,2.3
94,2016-04-04,15.7,20.3,11.9,42.0,0.8,1.6
95,2016-04-05,13.4,17.4,8.8,0.0,1.7,2.1
96,2016-04-06,13.3,20.9,6.8,0.0,7.7,2.2
97,2016-04-07,13.5,19.6,10.3,53.5,0.0,2.5
98,2016-04-08,15.8,22.1,10.2,0.0,3.7,2.2
99,2016-04-09,14.8,23.0,9.3,0.0,8.9,2.7
100,2016-04-10,14.5,23.0,9.6,0.0,1.6,2.6
101,2016-04-11,13.6,20.0,7.6,0.0,8.9,3.2
102,2016-04-12,11.7,16.2,8.0,0.0,5.7,2.6
103,2016-04-13,14.0,18.6,11.1,13.0,0.2,2.5
104,2016-04-14,16.4,22.3,13.4,40.5,3.7,2.1
105,2016-04-15,16.1,24.1,9.4,0.0,11.0,2.4
106,2016-04-16,15.5,21.8,10.2,0.0,11.0,2.7
107,2016-04-17,16.4,20.5,12.7,56.5,0.7,2.2
108,2016-04-18,16.2,23.7,11.3,0.0,4.3,2.9
109,2016-04-19,15.9,22.8,9.3,0.0,10.3,3.4
110,2016-04-20,14.5,19.8,10.2,0.0,5.3,2.5
111,2016-04-21,14.3,16.3,12.6,32.5,0.0,2.2
112,2016-04-22,19.4,26.5,13.4,3.0,11.2,2.2
113,2016-04-23,18.2,23.1,14.8,0.5,4.1,1.7
114,2016-04-24,17.2,23.5,14.1,1.0,3.9,1.7
115,2016-04-25,17.3,23.4,12.8,0.0,7.1,2.0
116,2016-04-26,18.2,25.3,12.1,0.0,11.1,2.1
117,2016-04-27,16.3,20.4,13.9,1.5,0.0,1.7
118,2016-04-28,16.4,19.8,13.7,3.5,0.0,1.8
119,2016-04-29,16.5,21.2,13.1,0.0,11.4,5.7
120,2016-04-30,16.4,24.3,10.0,0.0,11.5,2.5
121,2016-05-01,18.4,26.9,10.8,0.0,9.7,2.7
122,2016-05-02,18.5,24.8,13.3,0.0,9.7,2.6
123,2016-05-03,19.0,23.2,14.0,4.5,3.5,2.4
124,2016-05-04,19.6,25.0,13.4,59.5,10.3,3.4
125,2016-05-05,19.0,25.2,11.5,0.0,11.7,3.5
126,2016-05-06,16.3,21.0,13.5,11.0,0.0,2.5
127,2016-05-07,17.8,25.5,12.7,1.0,5.3,2.3
128,2016-05-08,18.7,24.9,12.8,0.0,10.6,2.1
129,2016-05-09,16.2,18.9,14.4,13.0,0.0,2.2
130,2016-05-10,18.3,23.7,15.4,28.0,0.2,1.3
131,2016-05-11,19.3,21.8,15.1,61.0,0.1,2.1
132,2016-05-12,19.2,26.8,12.7,0.0,11.9,2.3
133,2016-05-13,18.4,25.6,12.8,0.0,7.9,1.9
134,2016-05-14,20.3,27.1,14.2,0.0,8.2,2.0
