Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight
0,2016-01-01,2.7,6.8,-4.0,0.0,7.9
1,2016-01-02,1.6,9.7,-4.9,0.0,5.2
2,2016-01-03,6.4,14.8,-1.4,0.0,8.7
3,2016-01-04,6.3,13.5,-1.5,0.0,8.6
4,2016-01-05,6.4,11.2,1.7,0.0,7.4
5,2016-01-06,3.6,7.2,0.2,0.0,1.3
6,2016-01-07,2.3,7.5,-2.5,0.0,7.1
7,2016-01-08,1.3,7.6,-4.8,0.0,7.5
8,2016-01-09,2.4,7.0,-3.3,0.0,7.7
9,2016-01-10,3.7,11.4,-3.5,0.0,7.5
10,2016-01-11,2.6,5.9,-0.3,0.0,7.2
11,2016-01-12,0.9,4.4,-4.6,0.0,2.9
12,2016-01-13,-0.8,5.8,-5.4,0.0,9.0
13,2016-01-14,0.8,6.7,-5.9,0.0,4.7
14,2016-01-15,0.6,4.4,-2.3,0.0,5.1
15,2016-01-16,0.2,7.1,-7.1,0.0,4.4
16,2016-01-17,1.0,6.8,-6.5,1.0,5.9
17,2016-01-18,1.9,6.7,-1.7,23.0,0.0
18,2016-01-19,1.0,5.1,-7.9,0.0,8.4
19,2016-01-20,-1.7,3.8,-9.7,0.0,2.3
20,2016-01-21,0.1,4.3,-4.0,0.0,4.6
21,2016-01-22,0.3,3.8,-4.3,0.0,7.3
22,2016-01-23,-0.7,2.6,-4.8,0.0,2.8
23,2016-01-24,-1.8,2.3,-5.5,0.0,6.7
24,2016-01-25,-1.7,1.8,-5.0,0.0,1.7
25,2016-01-26,-1.5,6.1,-8.5,0.0,9.3
26,2016-01-27,2.1,10.0,-7.0,0.0,8.4
27,2016-01-28,4.5,11.3,-2.2,0.0,9.3
28,2016-01-29,1.2,3.2,-1.3,13.5,0.0
29,2016-01-30,-0.9,1.6,-5.0,6.0,0.2
30,2016-01-31,-0.8,4.9,-6.7,0.0,7.7
31,2016-02-01,0.9,4.5,-4.7,0.0,2.5
32,2016-02-02,0.1,4.4,-4.8,0.0,6.9
33,2016-02-03,-0.1,4.7,-6.7,0.0,8.2
34,2016-02-04,-1.0,4.8,-7.5,0.0,8.5
35,2016-02-05,2.7,7.7,-2.7,0.0,6.6
36,2016-02-06,2.0,6.3,-0.9,0.0,2.4
37,2016-02-07,-0.1,3.4,-5.7,0.0,9.4
38,2016-02-08,-1.2,4.7,-6.6,0.0,3.9
39,2016-02-09,0.4,7.4,-6.7,0.0,7.4
40,2016-02-10,0.9,3.8,-0.6,0.0,7.6
41,2016-02-11,1.5,7.7,-5.0,0.0,9.9
42,2016-02-12,1.6,9.7,-6.4,0.0,9.7
43,2016-02-13,8.1,15.1,2.1,0.0,3.7
44,2016-02-14,11.8,15.9,8.4,14.5,0.2
45,2016-02-15,2.6,9.3,-2.6,0.0,0.1
46,2016-02-16,-0.4,5.8,-5.5,0.0,9.0
47,2016-02-17,-0.2,5.4,-6.0,0.0,9.1
48,2016-02-18,0.1,7.6,-7.2,0.0,10.2
49,2016-02-19,4.8,13.8,-4.7,0.0,10.1
50,2016-02-20,5.5,10.3,0.1,19.5,0.1
51,2016-02-21,6.6,10.6,1.4,0.0,7.1
52,2016-02-22,3.8,8.0,1.1,0.0,8.0
53,2016-02-23,3.5,8.5,-0.6,0.0,3.2
54,2016-02-24,1.7,4.8,-0.9,0.0,6.5
55,2016-02-25,0.3,5.2,-3.2,0.0,8.7
56,2016-02-26,1.2,7.1,-3.8,0.0,7.6
57,2016-02-27,3.1,9.3,-4.2,0.0,10.6
58,2016-02-28,4.2,12.5,-2.2,0.5,7.2
59,2016-02-29,3.9,8.8,-0.1,2.0,0.3
60,2016-03-01,-0.5,3.7,-3.3,0.5,5.4
61,2016-03-02,0.7,7.6,-5.3,0.0,6.3
62,2016-03-03,2.6,11.8,-5.4,0.0,4.1
63,2016-03-04,4.1,11.4,-2.3,0.0,9.3
64,2016-03-05,5.4,9.9,-1.7,0.0,0.0
65,2016-03-06,10.0,14.3,5.1,0.0,3.6
66,2016-03-07,11.6,13.2,8.7,16.5,0.0
67,2016-03-08,12.6,16.9,9.3,0.0,3.4
68,2016-03-09,3.5,11.1,0.4,11.5,0.0
69,2016-03-10,2.9,7.7,0.0,0.0,3.0
70,2016-03-11,1.4,5.8,-2.0,0.5,1.6
71,2016-03-12,2.0,6.0,-0.6,0.5,1.7
72,2016-03-13,3.3,6.0,0.8,0.0,1.2
73,2016-03-14,3.1,4.5,1.7,7.0,0.0
74,2016-03-15,3.7,7.0,0.3,0.0,10.2
75,2016-03-16,3.5,10.7,-5.2,0.0,8.7
76,2016-03-17,9.2,19.1,-0.4,0.0,11.2
77,2016-03-18,9.6,17.2,-0.5,0.0,7.1
78,2016-03-19,12.0,16.2,9.1,4.5,0.3
79,2016-03-20,8.4,11.7,5.2,0.0,10.2
80,2016-03-21,5.8,10.3,0.8,0.0,10.8
81,2016-03-22,4.8,12.4,-4.1,0.0,11.1
82,2016-03-23,6.1,12.6,2.1,0.5,0.3
83,2016-03-24,3.9,9.0,0.8,0.0,5.6
84,2016-03-25,3.2,8.3,-0.2,0.0,9.1
85,2016-03-26,5.3,12.1,-2.2,0.0,9.2
86,2016-03-27,6.1,12.9,-1.2,0.0,3.6
87,2016-03-28,8.3,15.1,2.6,1.0,6.4
88,2016-03-29,8.8,16.1,0.5,0.0,9.5
89,2016-03-30,11.5,18.2,2.4,0.0,9.7
90,2016-03-31,10.5,18.5,2.0,0.0,10.8
91,2016-04-01,9.3,17.7,1.9,0.0,6.7
