Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,5.6,11.6,1.4,0.0
1,2016-01-02,6.7,13.2,0.8,0.0
2,2016-01-03,9.7,16.4,6.4,0.0
3,2016-01-04,10.5,16.7,5.6,0.0
4,2016-01-05,8.5,11.5,6.1,0.0
5,2016-01-06,8.4,12.0,5.5,0.0
6,2016-01-07,7.9,11.2,5.8,0.0
7,2016-01-08,6.4,10.2,4.0,0.0
8,2016-01-09,5.2,9.5,0.8,0.0
9,2016-01-10,5.2,11.2,0.9,0.0
10,2016-01-11,6.8,12.3,2.7,0.0
11,2016-01-12,6.1,9.0,3.7,0.0
12,2016-01-13,4.6,8.6,1.5,0.0
13,2016-01-14,5.3,9.3,2.6,0.0
14,2016-01-15,3.6,8.3,-0.3,0.0
15,2016-01-16,3.1,9.7,-1.8,0.0
16,2016-01-17,4.0,7.6,-0.5,7.5
17,2016-01-18,6.7,9.8,3.3,5.0
18,2016-01-19,1.1,3.9,-1.6,5.0
19,2016-01-20,2.4,5.5,-1.9,1.0
20,2016-01-21,3.6,7.2,-0.7,0.0
21,2016-01-22,4.2,6.8,1.4,0.0
22,2016-01-23,2.3,8.5,-0.9,0.0
23,2016-01-24,-4.0,0.4,-5.7,16.5
24,2016-01-25,-0.9,3.7,-5.1,0.5
25,2016-01-26,1.3,6.1,-2.7,0.0
26,2016-01-27,5.1,8.9,1.5,0.0
27,2016-01-28,4.8,9.5,0.8,1.0
28,2016-01-29,7.1,9.6,4.2,24.0
29,2016-01-30,6.7,8.3,5.3,5.0
30,2016-01-31,6.4,12.5,2.7,0.0
31,2016-02-01,6.3,9.6,4.2,0.0
32,2016-02-02,5.2,9.3,2.7,0.0
33,2016-02-03,3.1,8.1,-0.3,0.0
34,2016-02-04,4.7,11.2,-0.2,0.0
35,2016-02-05,5.0,11.6,0.0,0.0
36,2016-02-06,3.9,7.9,0.4,0.0
37,2016-02-07,2.4,5.7,-0.6,0.0
38,2016-02-08,3.1,9.9,-2.9,0.0
