Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,avg_wind_speed
0,2016-01-01,8.7,12.6,5.9,0.0,4.8
1,2016-01-02,8.2,12.4,3.9,0.0,3.0
2,2016-01-03,9.6,13.5,4.8,0.0,1.7
3,2016-01-04,10.2,14.5,5.1,0.0,2.3
4,2016-01-05,11.5,14.2,8.4,0.0,2.6
5,2016-01-06,9.3,10.8,7.9,0.0,3.9
6,2016-01-07,9.6,13.5,6.5,0.0,4.2
7,2016-01-08,8.4,10.6,4.5,0.0,3.5
8,2016-01-09,8.1,10.7,3.2,0.0,4.0
9,2016-01-10,8.9,12.6,3.6,0.0,3.2
10,2016-01-11,8.0,9.6,5.7,0.0,4.2
11,2016-01-12,4.4,7.5,2.2,0.0,5.3
12,2016-01-13,5.4,9.4,0.6,0.0,2.6
13,2016-01-14,6.8,10.4,1.5,0.0,3.0
14,2016-01-15,6.7,10.2,3.8,0.0,5.3
15,2016-01-16,7.2,10.2,3.6,0.0,4.0
16,2016-01-17,6.7,9.1,3.9,3.0,5.5
17,2016-01-18,4.9,10.5,0.5,40.5,7.3
18,2016-01-19,6.2,9.8,2.2,0.0,8.6
19,2016-01-20,5.1,9.9,0.8,0.0,7.3
20,2016-01-21,6.5,9.7,1.4,0.0,5.4
21,2016-01-22,6.6,10.1,3.8,0.0,6.1
22,2016-01-23,4.6,6.7,3.3,0.0,5.0
23,2016-01-24,3.8,8.6,-0.6,0.0,5.4
24,2016-01-25,3.3,7.6,-2.4,0.0,3.5
25,2016-01-26,5.1,8.6,0.7,0.0,3.2
26,2016-01-27,7.2,12.5,0.3,0.0,3.5
27,2016-01-28,8.3,12.1,2.2,0.0,2.6
28,2016-01-29,6.5,9.6,3.5,10.0,6.0
29,2016-01-30,4.3,5.7,2.5,3.5,6.5
30,2016-01-31,6.8,9.4,3.1,0.0,3.1
31,2016-02-01,5.5,8.0,4.5,0.0,4.7
32,2016-02-02,6.3,10.2,3.9,0.0,5.4
33,2016-02-03,5.5,7.8,3.7,0.0,5.7
34,2016-02-04,6.1,9.2,3.5,0.0,3.8
35,2016-02-05,7.6,10.9,2.1,0.0,3.2
36,2016-02-06,7.3,9.1,5.2,0.0,5.6
37,2016-02-07,5.8,8.7,2.7,0.0,6.7
38,2016-02-08,5.3,8.9,2.9,0.0,4.3
39,2016-02-09,7.1,13.5,1.4,0.0,5.1
40,2016-02-10,6.7,10.5,3.9,0.0,7.5
41,2016-02-11,6.6,9.1,3.9,0.0,5.6
42,2016-02-12,8.1,12.2,3.7,0.0,3.6
43,2016-02-13,14.3,20.1,8.9,0.0,5.9
44,2016-02-14,18.3,21.3,16.2,39.5,11.3
45,2016-02-15,8.7,17.7,3.5,1.0,5.6
46,2016-02-16,6.1,10.3,2.8,0.0,5.6
47,2016-02-17,6.9,13.6,1.7,0.0,5.2
48,2016-02-18,6.7,10.5,3.4,0.0,4.0
49,2016-02-19,10.1,16.4,3.6,0.0,3.5
50,2016-02-20,9.0,11.3,7.6,32.0,3.4
51,2016-02-21,10.5,15.4,7.5,0.0,5.7
52,2016-02-22,7.3,9.2,6.0,0.0,5.9
53,2016-02-23,7.4,9.5,5.5,0.0,3.7
54,2016-02-24,6.6,8.3,3.4,0.0,6.9
55,2016-02-25,4.2,6.8,1.4,0.5,4.0
56,2016-02-26,6.5,10.3,1.8,0.0,3.9
57,2016-02-27,8.5,12.2,3.1,0.0,6.8
58,2016-02-28,9.1,13.1,5.0,0.0,4.9
59,2016-02-29,8.9,15.5,5.4,4.0,5.0
60,2016-03-01,5.6,9.5,3.0,0.5,7.3
61,2016-03-02,7.0,11.5,3.0,0.0,4.3
62,2016-03-03,9.4,14.0,4.1,0.0,2.7
63,2016-03-04,10.4,13.7,7.9,0.0,4.7
64,2016-03-05,10.9,15.0,8.6,0.0,5.0
65,2016-03-06,13.2,16.9,9.7,6.5,4.6
66,2016-03-07,14.6,17.1,13.5,80.0,3.1
67,2016-03-08,14.9,19.5,12.5,0.0,3.0
68,2016-03-09,9.3,15.6,4.8,18.5,7.5
69,2016-03-10,6.6,7.8,4.7,0.5,6.5
70,2016-03-11,5.2,6.9,3.5,0.0,5.4
71,2016-03-12,6.3,7.8,4.6,0.0,5.9
72,2016-03-13,7.3,9.0,5.6,0.0,5.2
73,2016-03-14,6.5,7.7,4.9,33.5,7.3
74,2016-03-15,8.9,13.6,5.0,0.5,7.3
75,2016-03-16,9.5,13.9,5.7,0.0,3.1
76,2016-03-17,12.7,18.7,7.4,0.0,3.2
77,2016-03-18,15.1,19.4,8.7,0.5,6.2
78,2016-03-19,15.2,16.8,13.8,14.5,4.8
79,2016-03-20,12.9,15.9,10.4,0.0,6.8
80,2016-03-21,9.6,11.5,8.1,0.0,5.2
81,2016-03-22,11.4,16.0,7.2,0.0,4.6
82,2016-03-23,11.7,15.8,7.7,0.0,5.1
83,2016-03-24,6.8,8.8,4.6,0.5,6.0
84,2016-03-25,8.7,13.2,5.2,0.0,4.9
85,2016-03-26,7.9,10.6,5.8,0.0,4.8
86,2016-03-27,10.4,14.0,7.5,0.0,4.7
87,2016-03-28,11.3,13.6,9.1,1.5,3.6
88,2016-03-29,12.7,17.6,8.0,0.0,4.5
89,2016-03-30,15.2,20.0,10.8,0.0,5.8
90,2016-03-31,15.0,19.0,11.7,0.0,5.3
91,2016-04-01,12.9,16.0,8.9,1.0,6.4
92,2016-04-02,10.8,12.9,8.7,1.0,5.8
93,2016-04-03,13.7,17.8,10.3,2.0,4.1
94,2016-04-04,16.0,21.9,10.2,20.0,6.9
95,2016-04-05,11.2,12.4,9.7,1.0,3.6
96,2016-04-06,14.4,18.9,8.3,0.0,3.8
97,2016-04-07,15.1,21.7,12.0,36.5,4.2
98,2016-04-08,15.9,21.4,13.1,0.0,3.6
99,2016-04-09,17.4,22.1,13.3,0.0,5.7
100,2016-04-10,16.7,21.6,12.8,0.0,3.9
101,2016-04-11,11.7,16.2,8.2,0.0,7.9
102,2016-04-12,10.6,14.3,6.5,0.0,5.6
103,2016-04-13,15.2,19.8,11.5,3.0,5.3
104,2016-04-14,15.2,16.9,13.8,22.0,3.4
105,2016-04-15,16.5,20.1,12.4,0.0,6.3
106,2016-04-16,16.0,19.9,12.3,0.0,5.3
107,2016-04-17,19.3,22.5,17.2,1.5,12.4
108,2016-04-18,18.7,24.1,14.4,0.5,7.1
109,2016-04-19,15.9,21.1,13.1,0.0,5.2
110,2016-04-20,15.0,18.8,11.0,0.0,5.8
111,2016-04-21,17.5,20.6,14.4,6.5,7.0
112,2016-04-22,16.3,19.8,13.8,0.0,4.7
113,2016-04-23,17.7,22.1,14.0,0.0,4.9
114,2016-04-24,16.1,19.4,12.8,7.0,4.6
115,2016-04-25,17.3,21.1,14.3,0.0,3.0
116,2016-04-26,19.3,24.3,15.5,0.0,4.0
117,2016-04-27,17.6,20.2,15.6,0.5,4.2
118,2016-04-28,14.9,15.8,13.9,17.5,5.2
119,2016-04-29,16.2,19.7,13.3,0.0,9.5
120,2016-04-30,16.6,20.7,11.6,0.0,6.7
121,2016-05-01,17.5,23.9,12.6,0.0,3.9
