,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,1.8,7.7,-1.3,0.0,4.6,
1,2016-01-02,4.9,11.3,0.4,0.0,3.9,1.4
2,2016-01-03,4.8,14.0,-0.3,0.0,5.5,0.9
3,2016-01-04,3.8,12.1,-2.3,0.0,4.2,
4,2016-01-05,2.0,6.3,-2.3,0.0,0.4,0.5
5,2016-01-06,3.0,8.8,-1.2,0.0,2.2,0.7
6,2016-01-07,1.7,4.2,-0.7,1.5,0.2,0.5
7,2016-01-08,0.5,1.8,-0.5,2.0,0.0,0.5
8,2016-01-09,0.4,4.1,-4.1,0.5,3.1,0.6
9,2016-01-10,1.8,6.4,-2.9,0.0,2.3,0.7
10,2016-01-11,2.5,6.8,-0.5,0.0,2.1,0.8
11,2016-01-12,0.6,2.4,-1.5,0.0,0.1,0.9
12,2016-01-13,-0.4,3.0,-3.1,1.5,1.9,
13,2016-01-14,-0.9,0.5,-4.4,6.0,0.0,0.6
14,2016-01-15,-1.9,2.4,-5.7,0.0,2.0,0.5
15,2016-01-16,-1.4,5.3,-7.7,0.0,8.5,
16,2016-01-17,0.0,4.0,-3.9,10.5,0.0,0.6
17,2016-01-18,0.6,3.9,-4.1,30.5,0.7,
18,2016-01-19,-5.0,-3.8,-5.8,19.0,0.0,1.8
19,2016-01-20,-1.4,0.9,-5.4,12.0,1.7,1.1
20,2016-01-21,-1.1,1.9,-6.6,2.0,0.0,
21,2016-01-22,-0.4,1.2,-3.6,1.5,0.3,
22,2016-01-23,-2.6,0.9,-6.0,6.0,0.0,1.0
23,2016-01-24,-8.4,-5.8,-9.8,18.5,0.0,1.1
24,2016-01-25,-4.3,-1.4,-8.5,8.0,1.3,0.6
25,2016-01-26,-1.4,1.3,-5.2,0.0,0.0,0.9
26,2016-01-27,-0.4,3.2,-4.8,0.0,0.7,0.5
27,2016-01-28,-1.0,2.5,-6.7,5.5,0.0,0.3
28,2016-01-29,1.2,3.2,0.3,33.5,0.0,0.3
29,2016-01-30,2.7,5.7,1.3,3.0,0.9,2.1
30,2016-01-31,1.3,6.0,-2.6,0.0,3.1,0.7
31,2016-02-01,0.8,2.3,-0.7,1.5,0.0,0.6
32,2016-02-02,0.5,2.6,-0.4,1.0,0.3,1.2
33,2016-02-03,-0.3,3.9,-4.3,0.0,3.7,0.6
34,2016-02-04,0.0,5.5,-6.0,0.0,6.4,0.9
35,2016-02-05,0.3,5.4,-4.1,0.0,6.3,0.7
36,2016-02-06,-0.8,4.0,-6.5,0.0,6.6,1.3
37,2016-02-07,-3.1,1.1,-11.6,11.5,3.5,1.5
38,2016-02-08,-1.8,4.4,-13.7,0.0,6.6,1.9
39,2016-02-09,1.3,4.2,-2.4,0.5,2.3,2.0
40,2016-02-10,-1.5,4.6,-7.2,0.0,4.4,0.8
41,2016-02-11,-1.4,10.8,-9.9,0.0,9.8,0.3
42,2016-02-12,5.9,12.4,-3.9,0.0,4.5,1.7
43,2016-02-13,8.8,13.4,3.2,24.5,0.4,2.2
44,2016-02-14,8.0,14.0,2.4,17.0,0.0,2.1
45,2016-02-15,-1.2,2.4,-4.0,10.5,0.2,1.3
46,2016-02-16,-1.9,-0.2,-3.9,5.0,0.6,1.1
47,2016-02-17,-2.2,0.6,-10.9,9.0,0.4,0.6
48,2016-02-18,-3.8,6.0,-14.0,0.0,10.0,1.0
49,2016-02-19,3.4,9.7,-3.4,0.0,6.6,1.8
50,2016-02-20,2.4,5.1,0.5,35.5,0.0,0.7
51,2016-02-21,0.3,3.8,-3.0,2.0,4.0,1.2
52,2016-02-22,0.8,6.8,-4.3,0.0,2.8,0.7
53,2016-02-23,2.2,5.5,-1.2,0.0,0.3,0.7
54,2016-02-24,-1.2,2.4,-4.4,3.0,0.1,2.5
55,2016-02-25,-3.2,1.8,-8.2,0.0,2.8,0.9
56,2016-02-26,-1.3,4.8,-8.4,0.5,3.6,0.9
57,2016-02-27,2.8,7.7,-2.7,0.5,3.7,2.5
58,2016-02-28,5.5,11.5,-1.2,0.0,8.0,3.0
59,2016-02-29,0.2,8.8,-4.2,13.5,0.2,1.7
60,2016-03-01,-2.3,0.2,-7.6,2.0,2.9,1.1
61,2016-03-02,0.4,6.9,-4.2,0.0,8.8,1.0
62,2016-03-03,4.8,12.3,-3.1,0.0,8.3,1.1
63,2016-03-04,4.6,12.4,-2.4,0.0,0.4,0.8
64,2016-03-05,11.7,19.4,2.6,0.0,9.7,2.5
65,2016-03-06,12.2,15.3,8.2,1.5,0.0,3.0
66,2016-03-07,10.1,18.4,4.4,0.0,4.8,0.9
67,2016-03-08,6.9,11.1,3.0,1.5,0.2,0.8
68,2016-03-09,3.4,6.1,2.1,25.0,0.0,2.0
69,2016-03-10,2.7,6.1,0.2,0.0,1.4,1.5
70,2016-03-11,0.4,2.9,-1.3,1.0,0.5,1.8
71,2016-03-12,0.6,5.9,-3.0,0.0,3.7,0.9
72,2016-03-13,2.3,8.5,-3.2,1.5,1.8,0.8
73,2016-03-14,2.2,5.2,0.2,8.0,0.0,
74,2016-03-15,2.1,7.9,-3.3,0.0,8.7,1.7
75,2016-03-16,4.1,14.5,-4.0,0.0,3.7,1.1
76,2016-03-17,7.2,19.3,-3.8,0.0,10.6,1.3
77,2016-03-18,10.7,12.4,9.4,14.0,0.0,2.6
78,2016-03-19,10.2,15.1,5.4,15.5,4.1,2.1
79,2016-03-20,5.6,10.2,2.4,0.5,8.0,2.6
80,2016-03-21,2.7,8.6,-2.9,0.0,9.6,1.8
81,2016-03-22,6.0,17.1,-4.6,0.0,10.8,0.7
82,2016-03-23,4.7,12.9,-0.5,0.0,1.7,1.8
83,2016-03-24,3.0,6.5,0.1,0.0,1.4,2.8
84,2016-03-25,1.4,6.5,-3.7,0.0,5.4,1.9
