Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,avg_wind_speed
0,2016-01-01,7.2,11.0,3.1,4.0
1,2016-01-02,9.9,15.4,6.6,4.2
2,2016-01-03,10.2,15.6,6.9,4.1
3,2016-01-04,9.6,15.2,5.6,5.6
4,2016-01-05,7.4,10.9,4.8,3.5
5,2016-01-06,7.6,12.1,3.8,4.8
6,2016-01-07,5.6,7.9,3.0,3.9
7,2016-01-08,4.8,9.1,1.5,5.0
8,2016-01-09,5.9,9.2,2.6,3.4
9,2016-01-10,6.5,9.7,2.7,5.0
10,2016-01-11,6.7,11.0,4.1,4.8
11,2016-01-12,3.0,5.8,1.1,4.2
12,2016-01-13,3.3,8.0,0.7,4.6
13,2016-01-14,3.9,7.1,0.8,5.8
14,2016-01-15,3.6,6.7,1.4,4.0
15,2016-01-16,4.0,8.6,2.2,3.3
16,2016-01-17,4.6,8.9,0.7,3.0
17,2016-01-18,4.5,9.0,0.5,6.1
18,2016-01-19,-0.6,1.7,-2.7,10.3
19,2016-01-20,4.8,7.9,-2.1,11.6
20,2016-01-21,2.3,6.1,0.9,2.6
21,2016-01-22,2.5,4.8,0.5,5.8
22,2016-01-23,1.8,6.7,-1.6,6.4
23,2016-01-24,-3.8,0.9,-5.8,8.0
24,2016-01-25,0.7,3.8,-2.3,6.8
25,2016-01-26,2.6,6.7,-2.6,3.9
26,2016-01-27,5.5,9.2,2.2,3.7
27,2016-01-28,6.1,11.3,2.1,3.5
28,2016-01-29,6.4,8.3,5.0,4.3
29,2016-01-30,7.3,10.1,5.8,9.7
30,2016-01-31,6.7,11.5,3.2,4.5
31,2016-02-01,4.6,7.0,3.0,4.4
32,2016-02-02,3.4,5.1,1.6,5.7
33,2016-02-03,3.2,6.9,1.5,3.0
34,2016-02-04,5.3,10.4,0.6,5.3
35,2016-02-05,5.3,11.0,2.2,4.4
36,2016-02-06,3.6,7.4,0.2,5.5
37,2016-02-07,2.0,4.6,-1.0,6.2
38,2016-02-08,3.5,10.2,-2.0,4.1
39,2016-02-09,5.2,7.2,2.9,9.9
40,2016-02-10,5.1,8.6,0.4,5.5
41,2016-02-11,4.7,10.6,-0.7,5.1
42,2016-02-12,12.7,17.8,5.8,6.8
43,2016-02-13,16.0,18.6,13.1,5.2
44,2016-02-14,12.2,19.3,6.4,8.9
45,2016-02-15,2.1,6.5,-0.3,6.9
46,2016-02-16,1.8,4.7,-2.5,4.5
47,2016-02-17,2.3,4.3,0.7,5.6
48,2016-02-18,4.2,10.3,-0.5,4.3
49,2016-02-19,8.8,14.3,4.3,4.3
50,2016-02-20,6.8,9.0,5.8,4.1
51,2016-02-21,5.4,7.9,2.4,8.2
52,2016-02-22,4.9,8.0,0.5,3.4
53,2016-02-23,6.9,9.8,3.5,5.2
54,2016-02-24,2.6,7.3,-1.2,8.1
55,2016-02-25,2.6,6.2,-1.0,5.4
56,2016-02-26,4.0,9.1,0.4,5.7
57,2016-02-27,7.2,13.7,2.7,5.1
58,2016-02-28,9.6,15.9,2.0,5.0
59,2016-02-29,4.9,14.4,0.3,9.8
60,2016-03-01,2.0,5.5,-0.1,7.1
61,2016-03-02,5.0,10.4,0.4,4.1
62,2016-03-03,8.0,14.3,2.0,4.5
63,2016-03-04,10.0,15.6,4.6,3.8
64,2016-03-05,15.8,21.6,10.2,5.5
65,2016-03-06,17.0,18.7,13.4,7.2
66,2016-03-07,11.6,15.1,8.7,4.7
67,2016-03-08,10.6,14.3,7.3,3.4
68,2016-03-09,6.8,9.8,5.3,7.1
69,2016-03-10,6.5,8.9,4.8,7.3
70,2016-03-11,3.5,5.8,2.0,3.3
71,2016-03-12,4.0,8.2,1.1,3.1
72,2016-03-13,5.8,10.1,0.8,3.4
73,2016-03-14,6.9,9.6,5.0,5.5
74,2016-03-15,6.5,9.6,1.7,5.6
75,2016-03-16,7.8,15.2,0.7,4.0
76,2016-03-17,10.3,17.8,3.7,4.1
77,2016-03-18,14.6,17.7,10.7,5.6
78,2016-03-19,11.7,13.5,9.7,4.4
79,2016-03-20,9.5,12.1,8.3,7.2
80,2016-03-21,7.3,10.4,2.7,4.7
81,2016-03-22,8.1,14.8,0.2,3.3
82,2016-03-23,9.1,12.1,7.2,6.5
83,2016-03-24,7.7,10.8,6.3,8.8
84,2016-03-25,6.1,9.2,2.4,6.3
