Unnamed: 0,calendar_date,hours_sunlight
0,2016-01-01,5.2
1,2016-01-02,1.3
2,2016-01-03,5.8
3,2016-01-04,2.3
4,2016-01-05,0.8
5,2016-01-06,0.5
6,2016-01-07,0.0
7,2016-01-08,0.3
8,2016-01-09,2.3
9,2016-01-10,3.2
10,2016-01-11,0.0
11,2016-01-12,0.0
12,2016-01-13,2.2
13,2016-01-14,1.6
14,2016-01-15,0.0
15,2016-01-16,1.0
16,2016-01-17,2.5
17,2016-01-18,0.0
18,2016-01-19,0.1
19,2016-01-20,0.2
20,2016-01-21,0.4
21,2016-01-22,0.0
22,2016-01-23,1.9
23,2016-01-24,0.2
24,2016-01-25,1.7
25,2016-01-26,5.8
26,2016-01-27,3.2
27,2016-01-28,3.3
28,2016-01-29,0.0
29,2016-01-30,3.1
30,2016-01-31,5.7
31,2016-02-01,0.0
32,2016-02-02,0.0
33,2016-02-03,3.5
34,2016-02-04,4.4
35,2016-02-05,4.9
36,2016-02-06,3.4
37,2016-02-07,6.8
38,2016-02-08,9.4
39,2016-02-09,0.0
40,2016-02-10,3.1
41,2016-02-11,9.5
42,2016-02-12,6.7
43,2016-02-13,0.0
44,2016-02-14,0.1
45,2016-02-15,0.0
46,2016-02-16,0.5
47,2016-02-17,0.3
48,2016-02-18,8.8
49,2016-02-19,6.7
50,2016-02-20,0.0
51,2016-02-21,1.3
52,2016-02-22,1.0
53,2016-02-23,1.4
54,2016-02-24,2.2
55,2016-02-25,7.0
56,2016-02-26,0.1
57,2016-02-27,5.4
58,2016-02-28,9.8
59,2016-02-29,0.0
60,2016-03-01,1.2
61,2016-03-02,4.6
62,2016-03-03,3.4
63,2016-03-04,9.5
64,2016-03-05,4.8
65,2016-03-06,6.3
66,2016-03-07,0.0
67,2016-03-08,0.7
68,2016-03-09,0.0
69,2016-03-10,1.8
70,2016-03-11,4.4
71,2016-03-12,1.8
72,2016-03-13,1.9
73,2016-03-14,0.0
74,2016-03-15,4.4
75,2016-03-16,8.0
76,2016-03-17,11.0
77,2016-03-18,2.7
78,2016-03-19,0.0
79,2016-03-20,0.7
80,2016-03-21,6.1
81,2016-03-22,11.1
82,2016-03-23,0.3
83,2016-03-24,3.3
84,2016-03-25,2.8
85,2016-03-26,8.0
86,2016-03-27,11.3
87,2016-03-28,4.6
88,2016-03-29,9.6
89,2016-03-30,2.0
90,2016-03-31,10.2
91,2016-04-01,9.6
92,2016-04-02,11.1
93,2016-04-03,2.7
94,2016-04-04,0.0
95,2016-04-05,6.9
96,2016-04-06,9.1
97,2016-04-07,0.0
98,2016-04-08,3.9
99,2016-04-09,11.2
100,2016-04-10,3.2
101,2016-04-11,1.4
102,2016-04-12,10.3
103,2016-04-13,6.2
104,2016-04-14,2.6
105,2016-04-15,8.8
106,2016-04-16,10.8
107,2016-04-17,6.9
108,2016-04-18,1.3
109,2016-04-19,9.7
110,2016-04-20,11.2
111,2016-04-21,0.0
112,2016-04-22,2.6
113,2016-04-23,8.2
114,2016-04-24,4.7
115,2016-04-25,8.3
116,2016-04-26,12.0
117,2016-04-27,7.0
118,2016-04-28,0.0
119,2016-04-29,5.8
120,2016-04-30,6.1
121,2016-05-01,1.0
122,2016-05-02,11.8
123,2016-05-03,4.0
124,2016-05-04,10.4
125,2016-05-05,11.1
126,2016-05-06,1.8
127,2016-05-07,3.2
128,2016-05-08,11.5
129,2016-05-09,0.0
130,2016-05-10,0.1
131,2016-05-11,1.0
132,2016-05-12,10.3
133,2016-05-13,8.4
134,2016-05-14,0.6
135,2016-05-15,12.6
136,2016-05-16,8.6
137,2016-05-17,4.1
138,2016-05-18,13.2
139,2016-05-19,11.5
140,2016-05-20,12.3
141,2016-05-21,13.1
142,2016-05-22,13.3
143,2016-05-23,10.7
144,2016-05-24,10.1
145,2016-05-25,0.0
146,2016-05-26,1.7
147,2016-05-27,6.7
148,2016-05-28,1.4
149,2016-05-29,8.0
150,2016-05-30,0.1
151,2016-05-31,10.8
152,2016-06-01,11.5
153,2016-06-02,9.9
154,2016-06-03,13.7
155,2016-06-04,6.2
156,2016-06-05,7.8
157,2016-06-06,8.5
158,2016-06-07,0.6
159,2016-06-08,8.9
160,2016-06-09,0.7
161,2016-06-10,12.2
162,2016-06-11,7.9
163,2016-06-12,3.1
164,2016-06-13,0.0
165,2016-06-14,0.4
166,2016-06-15,6.3
167,2016-06-16,0.1
168,2016-06-17,4.6
169,2016-06-18,12.5
170,2016-06-19,1.9
171,2016-06-20,7.5
172,2016-06-21,6.3
173,2016-06-22,0.8
174,2016-06-23,0.5
175,2016-06-24,1.3
176,2016-06-25,0.2
177,2016-06-26,6.9
178,2016-06-27,9.4
179,2016-06-28,0.0
180,2016-06-29,2.5
181,2016-06-30,0.5
182,2016-07-01,10.1
183,2016-07-02,4.5
184,2016-07-03,2.9
185,2016-07-04,0.2
186,2016-07-05,1.8
187,2016-07-06,9.3
188,2016-07-07,3.2
189,2016-07-08,0.0
190,2016-07-09,0.0
191,2016-07-10,9.0
192,2016-07-11,9.9
193,2016-07-12,5.5
194,2016-07-13,1.9
195,2016-07-14,3.0
196,2016-07-15,3.9
197,2016-07-16,4.3
198,2016-07-17,0.5
199,2016-07-18,1.2
200,2016-07-19,9.6
201,2016-07-20,4.3
202,2016-07-21,0.4
203,2016-07-22,0.9
204,2016-07-23,8.2
205,2016-07-24,10.0
206,2016-07-25,3.9
207,2016-07-26,0.0
208,2016-07-27,5.9
209,2016-07-28,5.8
210,2016-07-29,10.7
211,2016-07-30,9.6
212,2016-07-31,11.4
213,2016-08-01,4.6
214,2016-08-02,1.1
215,2016-08-03,2.0
216,2016-08-04,9.7
217,2016-08-05,10.4
218,2016-08-06,11.3
219,2016-08-07,10.8
220,2016-08-08,8.9
221,2016-08-09,6.3
222,2016-08-10,7.2
223,2016-08-11,10.6
224,2016-08-12,10.0
225,2016-08-13,10.5
226,2016-08-14,7.1
227,2016-08-15,3.7
228,2016-08-16,4.5
229,2016-08-17,5.0
230,2016-08-18,2.0
231,2016-08-19,3.0
232,2016-08-20,2.6
233,2016-08-21,2.4
234,2016-08-22,4.4
235,2016-08-23,6.5
236,2016-08-24,2.0
237,2016-08-25,9.4
238,2016-08-26,4.4
239,2016-08-27,0.0
240,2016-08-28,3.9
241,2016-08-29,4.9
242,2016-08-30,0.6
243,2016-08-31,12.1
244,2016-09-01,10.9
245,2016-09-02,10.4
246,2016-09-03,8.4
247,2016-09-04,6.2
248,2016-09-05,2.0
249,2016-09-06,2.4
250,2016-09-07,1.9
251,2016-09-08,1.1
252,2016-09-09,2.7
253,2016-09-10,7.6
254,2016-09-11,1.6
255,2016-09-12,2.5
256,2016-09-13,0.0
257,2016-09-14,1.9
258,2016-09-15,2.7
259,2016-09-16,0.8
260,2016-09-17,0.2
261,2016-09-18,0.0
262,2016-09-19,0.0
263,2016-09-20,0.0
264,2016-09-21,0.0
265,2016-09-22,0.1
266,2016-09-23,0.0
267,2016-09-24,3.7
268,2016-09-25,5.2
269,2016-09-26,0.0
270,2016-09-27,8.7
271,2016-09-28,0.0
272,2016-09-29,0.0
273,2016-09-30,5.8
274,2016-10-01,1.6
275,2016-10-02,4.1
276,2016-10-03,0.2
277,2016-10-04,2.6
278,2016-10-05,0.9
279,2016-10-06,2.3
280,2016-10-07,8.8
281,2016-10-08,0.1
282,2016-10-09,0.4
283,2016-10-10,0.1
284,2016-10-11,3.4
285,2016-10-12,3.8
286,2016-10-13,4.6
287,2016-10-14,9.3
288,2016-10-15,10.0
289,2016-10-16,8.1
290,2016-10-17,0.0
291,2016-10-18,1.5
292,2016-10-19,0.4
293,2016-10-20,4.5
294,2016-10-21,2.6
295,2016-10-22,1.7
296,2016-10-23,0.5
297,2016-10-24,8.1
298,2016-10-25,0.3
299,2016-10-26,5.0
300,2016-10-27,5.7
301,2016-10-28,0.0
302,2016-10-29,0.0
303,2016-10-30,7.6
304,2016-10-31,4.5
305,2016-11-01,0.6
306,2016-11-02,9.3
307,2016-11-03,2.4
308,2016-11-04,8.7
309,2016-11-05,9.4
310,2016-11-06,0.0
311,2016-11-07,9.3
312,2016-11-08,1.6
313,2016-11-09,0.3
314,2016-11-10,3.5
315,2016-11-11,4.3
316,2016-11-12,7.6
317,2016-11-13,8.9
318,2016-11-14,1.1
319,2016-11-15,0.1
320,2016-11-16,6.1
321,2016-11-17,0.0
322,2016-11-18,8.9
323,2016-11-19,0.0
324,2016-11-20,0.1
325,2016-11-21,5.8
326,2016-11-22,2.9
327,2016-11-23,0.7
328,2016-11-24,3.8
329,2016-11-25,0.9
330,2016-11-26,7.5
331,2016-11-27,0.0
332,2016-11-28,0.9
333,2016-11-29,0.2
334,2016-11-30,4.0
335,2016-12-01,0.9
336,2016-12-02,5.8
337,2016-12-03,8.7
338,2016-12-04,2.5
339,2016-12-05,2.8
340,2016-12-06,0.3
341,2016-12-07,2.1
342,2016-12-08,6.3
343,2016-12-09,1.5
344,2016-12-10,0.0
345,2016-12-11,0.0
346,2016-12-12,7.4
347,2016-12-13,0.0
348,2016-12-14,0.2
349,2016-12-15,2.2
350,2016-12-16,0.7
351,2016-12-17,0.4
352,2016-12-18,3.8
353,2016-12-19,5.8
354,2016-12-20,1.2
355,2016-12-21,7.1
356,2016-12-22,0.8
357,2016-12-23,0.5
358,2016-12-24,3.0
359,2016-12-25,1.8
360,2016-12-26,0.0
361,2016-12-27,0.2
362,2016-12-28,3.8
363,2016-12-29,2.8
364,2016-12-30,2.2
365,2016-12-31,1.1
366,2017-01-01,3.2
367,2017-01-02,4.5
368,2017-01-03,1.2
369,2017-01-04,0.5
370,2017-01-05,2.8
371,2017-01-06,4.9
372,2017-01-07,8.3
373,2017-01-08,0.0
374,2017-01-09,0.9
375,2017-01-10,3.9
376,2017-01-11,0.7
377,2017-01-12,0.6
378,2017-01-13,0.1
379,2017-01-14,0.0
380,2017-01-15,0.2
381,2017-01-16,0.8
382,2017-01-17,0.4
383,2017-01-18,6.5
384,2017-01-19,6.7
385,2017-01-20,2.0
386,2017-01-21,0.3
387,2017-01-22,1.1
388,2017-01-23,0.0
389,2017-01-24,0.3
390,2017-01-25,0.6
391,2017-01-26,7.7
392,2017-01-27,0.1
393,2017-01-28,7.3
394,2017-01-29,3.6
395,2017-01-30,0.0
396,2017-01-31,1.1
397,2017-02-01,1.8
398,2017-02-02,1.2
399,2017-02-03,5.8
400,2017-02-04,8.6
401,2017-02-05,0.0
402,2017-02-06,0.0
403,2017-02-07,0.0
404,2017-02-08,3.6
405,2017-02-09,0.0
406,2017-02-10,0.8
407,2017-02-11,0.9
408,2017-02-12,0.3
409,2017-02-13,2.6
410,2017-02-14,1.2
411,2017-02-15,2.6
412,2017-02-16,9.7
413,2017-02-17,0.0
414,2017-02-18,5.3
415,2017-02-19,7.0
416,2017-02-20,0.0
417,2017-02-21,1.0
418,2017-02-22,5.5
419,2017-02-23,0.0
420,2017-02-24,1.8
421,2017-02-25,5.4
422,2017-02-26,1.5
423,2017-02-27,0.5
424,2017-02-28,3.8
425,2017-03-01,7.1
426,2017-03-02,0.8
427,2017-03-03,5.0
428,2017-03-04,10.4
429,2017-03-05,7.0
430,2017-03-06,0.4
431,2017-03-07,0.7
432,2017-03-08,3.3
433,2017-03-09,1.9
434,2017-03-10,3.7
435,2017-03-11,2.7
436,2017-03-12,9.0
437,2017-03-13,7.8
438,2017-03-14,0.6
439,2017-03-15,0.5
440,2017-03-16,1.8
441,2017-03-17,7.1
442,2017-03-18,7.6
443,2017-03-19,7.8
444,2017-03-20,8.9
445,2017-03-21,0.0
446,2017-03-22,6.4
447,2017-03-23,2.3
448,2017-03-24,4.5
449,2017-03-25,11.3
450,2017-03-26,5.8
451,2017-03-27,1.6
452,2017-03-28,7.5
453,2017-03-29,8.5
454,2017-03-30,8.1
455,2017-03-31,0.0
456,2017-04-01,2.0
457,2017-04-02,11.9
458,2017-04-03,5.1
459,2017-04-04,10.6
460,2017-04-05,7.1
461,2017-04-06,1.1
462,2017-04-07,0.9
463,2017-04-08,0.2
464,2017-04-09,0.0
465,2017-04-10,10.3
466,2017-04-11,0.0
467,2017-04-12,5.9
468,2017-04-13,5.1
469,2017-04-14,11.1
470,2017-04-15,6.9
471,2017-04-16,11.6
472,2017-04-17,2.6
473,2017-04-18,1.4
474,2017-04-19,3.3
475,2017-04-20,5.7
476,2017-04-21,3.6
