,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure
0,2016-01-01,0.2,2.9,-3.8,5.5,0.8,31.0,5.0,2.6,5.5,1013.0,89.0,1025.9
1,2016-01-02,2.9,7.9,-0.7,9.0,0.9,25.0,,2.1,7.2,1006.6,95.0,1019.3
2,2016-01-03,3.7,6.7,2.4,10.5,0.3,14.0,,1.6,7.9,1003.9,99.0,1016.6
3,2016-01-04,3.0,7.4,1.3,5.5,1.3,7.0,,2.5,7.0,1001.8,92.0,1014.5
4,2016-01-05,0.6,1.8,0.1,10.5,0.0,11.0,12.0,2.7,6.1,1006.1,96.0,1018.9
5,2016-01-06,0.8,2.3,-0.9,1.5,0.0,11.0,,1.8,5.9,1005.6,92.0,1018.4
6,2016-01-07,1.4,3.6,-0.3,2.5,1.4,6.0,1.0,4.0,5.4,1000.9,81.0,1013.7
7,2016-01-08,1.0,2.5,-0.3,4.5,0.0,8.0,4.0,2.1,5.8,1001.5,89.0,1014.2
8,2016-01-09,0.3,2.7,-0.5,7.5,0.8,20.0,13.0,2.1,5.7,1005.6,92.0,1018.5
9,2016-01-10,0.8,4.1,-0.8,16.5,0.0,24.0,15.0,3.1,6.0,1003.9,93.0,1016.7
10,2016-01-11,-1.3,0.1,-2.1,5.0,1.7,28.0,11.0,4.4,4.8,1006.8,87.0,1019.8
11,2016-01-12,-1.6,-0.1,-2.7,6.0,0.0,32.0,11.0,3.0,4.9,1003.6,91.0,1016.5
12,2016-01-13,-0.5,1.5,-2.9,5.0,0.0,35.0,5.0,2.7,5.5,1000.0,92.0,1012.8
13,2016-01-14,-1.4,0.9,-7.2,13.0,0.0,39.0,12.0,2.3,5.3,1001.4,95.0,1014.3
14,2016-01-15,-4.1,-1.0,-8.6,0.0,4.8,30.0,1.0,0.9,4.2,1006.4,93.0,1019.4
15,2016-01-16,-2.3,0.2,-5.1,2.0,0.4,30.0,5.0,1.9,4.6,1008.1,90.0,1021.1
16,2016-01-17,-0.9,1.0,-2.9,14.5,0.1,57.0,27.0,1.9,5.4,1010.7,94.0,1023.7
17,2016-01-18,0.3,2.6,-1.4,27.5,0.0,52.0,13.0,2.7,5.8,991.2,93.0,1003.9
18,2016-01-19,0.0,1.7,-1.3,55.5,0.0,89.0,41.0,2.4,6.0,986.1,98.0,998.7
19,2016-01-20,-0.3,1.9,-2.2,,1.3,103.0,15.0,3.5,5.4,994.8,90.0,1007.6
20,2016-01-21,-0.7,0.4,-1.5,23.5,0.0,113.0,28.0,3.2,5.5,1004.7,95.0,1017.6
