Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,5.7,12.6,-0.2,0.0,5.6,1.5
1,2016-01-02,9.6,14.9,3.6,0.0,2.0,1.5
2,2016-01-03,11.8,16.4,8.3,0.0,2.7,1.9
3,2016-01-04,11.5,16.4,6.6,0.0,5.8,1.8
4,2016-01-05,9.1,12.2,7.1,0.5,0.0,1.4
5,2016-01-06,8.1,11.0,4.1,0.0,0.2,1.5
6,2016-01-07,8.1,12.3,4.8,0.0,6.0,1.5
7,2016-01-08,6.7,8.2,4.6,0.5,0.0,1.7
8,2016-01-09,5.3,10.8,0.2,0.0,3.2,1.5
9,2016-01-10,6.6,12.3,1.5,0.0,7.0,1.9
10,2016-01-11,7.5,12.1,2.5,0.0,4.2,1.5
11,2016-01-12,7.3,11.7,3.5,0.0,4.7,1.6
12,2016-01-13,5.2,7.6,0.5,3.0,3.0,2.1
13,2016-01-14,5.5,9.4,1.3,0.0,3.4,1.9
14,2016-01-15,4.6,10.2,0.6,0.0,4.3,1.5
15,2016-01-16,4.8,9.8,1.4,0.0,8.7,1.5
16,2016-01-17,6.6,8.5,2.7,9.5,0.0,3.7
17,2016-01-18,6.8,12.0,1.2,12.0,4.4,4.2
18,2016-01-19,1.6,4.2,0.2,0.5,4.6,4.2
19,2016-01-20,2.2,7.0,-1.7,0.0,7.6,2.5
20,2016-01-21,3.9,8.7,-2.0,0.0,3.2,1.3
21,2016-01-22,6.4,9.9,2.7,0.0,6.4,1.6
22,2016-01-23,5.0,10.5,1.2,0.0,3.1,1.8
23,2016-01-24,-2.1,1.4,-4.1,0.0,3.1,3.2
24,2016-01-25,1.9,5.8,-2.4,0.0,6.3,2.4
25,2016-01-26,4.4,7.2,1.3,1.5,0.0,1.2
26,2016-01-27,6.7,10.6,2.3,0.0,2.4,1.6
27,2016-01-28,7.5,8.8,3.0,6.5,0.0,2.8
28,2016-01-29,8.9,9.5,8.5,35.5,0.0,4.1
29,2016-01-30,9.1,11.5,7.4,1.5,1.6,2.3
30,2016-01-31,7.9,12.2,4.5,0.0,5.2,2.1
31,2016-02-01,6.9,10.8,4.5,0.0,1.2,1.6
32,2016-02-02,5.6,11.0,0.5,1.0,6.3,1.4
33,2016-02-03,5.6,9.1,1.9,0.0,1.0,1.2
34,2016-02-04,6.0,10.5,-0.4,0.0,6.3,1.9
35,2016-02-05,5.6,10.9,0.8,0.0,5.6,1.7
36,2016-02-06,4.9,9.7,0.6,0.0,5.5,1.7
37,2016-02-07,3.5,8.0,-1.3,0.0,8.2,1.7
38,2016-02-08,6.1,10.6,0.2,0.0,7.2,2.4
39,2016-02-09,8.0,11.7,-0.3,0.0,9.1,3.0
40,2016-02-10,5.5,11.5,0.2,0.0,9.6,1.7
41,2016-02-11,7.9,11.4,1.9,0.0,9.4,3.2
42,2016-02-12,9.9,11.6,7.8,0.0,0.3,4.1
43,2016-02-13,11.9,15.3,10.3,59.0,0.0,3.7
44,2016-02-14,12.2,17.1,7.3,2.5,2.6,3.8
45,2016-02-15,4.1,7.6,-0.6,0.0,5.7,2.3
46,2016-02-16,3.7,7.5,-0.2,3.0,6.1,2.2
47,2016-02-17,4.8,8.5,-0.9,0.0,5.3,1.7
48,2016-02-18,4.3,10.0,-2.4,0.0,9.6,1.7
49,2016-02-19,8.8,14.0,1.9,0.0,4.9,1.9
50,2016-02-20,7.9,10.1,6.8,32.5,0.0,2.4
51,2016-02-21,6.5,10.7,3.1,0.0,9.0,1.5
52,2016-02-22,5.5,8.7,1.6,0.0,1.4,1.6
53,2016-02-23,5.8,9.7,2.8,1.5,1.3,1.4
54,2016-02-24,4.9,7.3,2.3,8.0,0.1,1.9
55,2016-02-25,3.4,7.9,-0.1,1.5,3.2,1.6
56,2016-02-26,4.1,9.9,-2.6,0.0,8.5,1.9
57,2016-02-27,7.5,14.7,0.9,0.5,5.3,2.1
58,2016-02-28,10.2,15.0,6.0,0.5,9.0,2.6
59,2016-02-29,6.4,14.3,-1.2,1.5,1.7,2.8
60,2016-03-01,2.0,5.5,-1.2,1.0,2.0,1.3
61,2016-03-02,5.3,11.9,-1.6,0.0,9.9,1.8
62,2016-03-03,7.4,14.0,0.3,0.0,10.0,1.4
63,2016-03-04,10.6,14.2,4.9,0.0,2.3,3.3
64,2016-03-05,14.2,18.5,10.0,0.0,5.3,3.4
65,2016-03-06,16.0,18.6,14.1,0.0,0.0,2.4
66,2016-03-07,14.9,19.3,10.5,0.0,9.3,2.2
67,2016-03-08,13.3,18.1,9.5,0.0,3.8,2.0
68,2016-03-09,9.3,12.6,8.2,50.0,0.0,3.9
69,2016-03-10,8.2,10.2,6.8,0.0,0.5,1.7
70,2016-03-11,6.8,10.4,3.3,1.0,3.2,1.6
71,2016-03-12,5.6,10.6,1.8,0.0,6.7,1.5
72,2016-03-13,7.4,10.0,5.6,4.5,1.5,2.3
73,2016-03-14,7.7,10.8,3.9,6.0,3.1,2.8
74,2016-03-15,7.1,11.8,2.5,0.0,10.4,1.6
75,2016-03-16,9.5,15.7,5.4,0.0,8.1,1.7
76,2016-03-17,11.8,19.0,5.2,0.0,10.0,2.1
77,2016-03-18,11.2,14.4,9.4,24.0,0.1,2.9
78,2016-03-19,13.0,17.2,10.6,0.5,1.0,1.9
79,2016-03-20,10.9,14.3,8.1,0.0,10.5,3.1
80,2016-03-21,9.1,13.7,4.6,0.0,10.5,2.5
81,2016-03-22,9.3,16.5,2.4,0.0,10.5,1.7
82,2016-03-23,11.9,17.6,6.3,0.0,6.5,2.1
83,2016-03-24,9.9,14.1,6.8,0.0,7.3,3.2
84,2016-03-25,8.0,12.0,5.2,0.0,10.7,2.7
85,2016-03-26,8.1,13.8,4.3,0.0,10.7,1.9
86,2016-03-27,9.4,14.3,4.0,0.0,8.7,2.1
87,2016-03-28,10.3,16.2,4.6,0.0,7.9,2.1
88,2016-03-29,10.7,16.3,3.9,0.0,5.5,1.5
89,2016-03-30,12.9,18.1,8.2,0.0,3.4,1.5
90,2016-03-31,12.9,19.1,8.4,3.5,3.7,1.6
91,2016-04-01,13.7,15.5,12.4,16.0,0.0,3.2
92,2016-04-02,15.5,20.6,11.7,0.0,10.0,1.8
93,2016-04-03,15.3,18.3,13.0,20.0,0.2,2.9
94,2016-04-04,16.0,18.8,14.3,12.0,1.0,2.0
95,2016-04-05,13.6,17.2,9.1,0.0,4.6,1.6
96,2016-04-06,13.1,19.1,8.0,5.0,6.7,1.8
97,2016-04-07,15.6,20.1,10.7,90.0,0.0,3.3
98,2016-04-08,13.7,18.5,9.7,0.0,3.9,1.1
99,2016-04-09,14.9,21.9,9.8,0.0,6.8,1.3
100,2016-04-10,15.0,19.0,12.8,0.0,2.0,1.8
101,2016-04-11,13.2,16.8,9.3,0.0,8.1,2.1
102,2016-04-12,10.8,15.7,7.4,0.0,9.1,2.9
103,2016-04-13,13.8,17.1,9.6,30.0,2.3,2.9
104,2016-04-14,17.0,22.7,12.8,0.0,10.1,2.4
