,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,avg_wind_speed
0,2016-01-01,5.5,11.7,0.1,0.0,8.0,1.9
1,2016-01-02,9.3,13.2,4.4,0.0,0.1,1.6
2,2016-01-03,11.3,16.4,7.2,0.0,4.4,1.8
3,2016-01-04,10.3,16.1,6.1,0.0,6.8,1.8
4,2016-01-05,7.6,11.8,4.8,0.0,0.0,1.3
5,2016-01-06,7.2,11.4,3.8,0.5,0.1,1.1
6,2016-01-07,7.3,11.0,4.3,0.0,4.9,1.5
7,2016-01-08,6.2,7.6,3.9,0.0,0.0,2.6
8,2016-01-09,5.0,9.4,0.3,0.0,3.8,2.0
9,2016-01-10,5.7,11.4,1.1,0.0,6.7,1.9
10,2016-01-11,6.6,12.0,1.3,0.0,3.5,1.6
11,2016-01-12,6.4,10.2,2.2,0.0,5.6,2.0
12,2016-01-13,3.7,6.2,0.3,0.0,1.6,2.5
13,2016-01-14,4.2,8.4,-0.9,0.0,4.2,2.5
14,2016-01-15,4.3,10.3,0.2,0.0,7.1,1.9
15,2016-01-16,4.8,11.1,-0.5,0.0,9.2,2.3
16,2016-01-17,5.1,7.5,2.6,19.0,0.0,4.4
17,2016-01-18,5.8,9.4,-0.6,12.0,3.0,4.1
18,2016-01-19,0.3,2.5,-1.2,0.5,2.7,5.2
19,2016-01-20,1.1,4.9,-1.7,0.0,5.6,2.4
20,2016-01-21,3.0,6.9,-1.8,0.0,3.0,1.6
21,2016-01-22,5.3,10.6,0.1,0.0,5.8,1.4
22,2016-01-23,3.4,7.3,0.1,0.0,1.3,2.2
23,2016-01-24,-3.3,0.6,-4.8,0.5,1.3,4.3
24,2016-01-25,-0.3,3.8,-5.5,0.0,7.4,1.9
25,2016-01-26,3.6,5.8,0.5,0.0,0.0,1.6
26,2016-01-27,5.8,9.5,1.5,0.0,2.9,2.1
27,2016-01-28,6.8,9.0,2.4,4.5,0.0,2.6
28,2016-01-29,8.9,9.6,8.0,42.5,0.0,3.1
29,2016-01-30,9.0,12.6,4.8,0.5,2.3,2.1
30,2016-01-31,7.0,12.1,2.2,0.0,5.9,1.9
