Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,precipitation
0,2016-01-01,4.7,11.9,-0.2,0.0
1,2016-01-02,8.1,14.0,1.7,0.0
2,2016-01-03,10.4,16.2,6.4,0.0
3,2016-01-04,9.1,16.1,3.5,0.0
4,2016-01-05,7.3,11.3,4.1,0.5
5,2016-01-06,7.4,11.0,3.9,0.0
6,2016-01-07,6.5,11.6,2.8,0.0
7,2016-01-08,6.0,9.2,3.5,0.0
8,2016-01-09,4.5,9.6,-0.2,0.0
9,2016-01-10,5.2,11.7,-0.1,0.0
10,2016-01-11,6.8,12.2,1.3,0.0
11,2016-01-12,6.7,11.5,3.0,1.0
12,2016-01-13,3.0,6.7,-0.5,0.5
13,2016-01-14,3.7,9.1,-0.9,0.0
14,2016-01-15,4.1,10.7,-0.5,0.0
15,2016-01-16,4.1,9.7,-0.2,0.0
16,2016-01-17,5.3,8.2,1.2,17.5
17,2016-01-18,5.8,10.9,-0.4,8.0
18,2016-01-19,0.8,4.1,-0.9,0.0
19,2016-01-20,1.6,6.9,-1.4,0.0
20,2016-01-21,2.8,7.9,-2.7,0.0
21,2016-01-22,5.2,10.0,0.0,0.0
22,2016-01-23,3.9,9.5,0.4,0.0
23,2016-01-24,-2.7,0.5,-5.0,0.0
24,2016-01-25,0.3,5.3,-4.3,0.0
25,2016-01-26,2.8,4.8,-0.3,1.5
26,2016-01-27,5.6,10.1,1.3,0.0
27,2016-01-28,6.4,8.5,1.7,5.0
28,2016-01-29,8.7,10.1,7.9,32.5
29,2016-01-30,8.6,10.7,4.7,1.5
30,2016-01-31,6.9,11.9,2.4,0.0
31,2016-02-01,5.5,10.0,3.1,0.0
32,2016-02-02,4.6,9.9,-0.3,0.0
33,2016-02-03,4.4,8.5,0.3,0.0
34,2016-02-04,3.8,10.1,-2.0,0.0
35,2016-02-05,4.2,10.3,-0.4,0.0
36,2016-02-06,3.3,9.5,-1.3,0.0
37,2016-02-07,3.2,8.2,-1.3,0.0
38,2016-02-08,4.7,9.4,-0.9,0.0
39,2016-02-09,7.1,11.0,-0.4,0.0
40,2016-02-10,4.3,11.3,-1.6,0.0
41,2016-02-11,6.2,11.6,0.8,0.0
42,2016-02-12,9.8,12.2,4.5,1.5
43,2016-02-13,11.7,15.2,9.6,53.5
44,2016-02-14,11.3,15.3,7.0,5.5
45,2016-02-15,3.4,7.1,-1.0,0.0
46,2016-02-16,2.7,6.8,-1.6,3.5
47,2016-02-17,4.5,9.7,-1.1,0.0
48,2016-02-18,3.5,10.8,-2.4,0.0
49,2016-02-19,7.1,13.6,0.0,0.0
50,2016-02-20,7.3,8.7,4.8,30.0
51,2016-02-21,5.9,10.4,2.1,0.0
52,2016-02-22,5.0,8.4,-0.1,0.0
53,2016-02-23,5.4,9.1,2.8,1.5
54,2016-02-24,4.6,8.2,1.6,2.0
55,2016-02-25,3.9,8.8,0.0,0.0
56,2016-02-26,3.5,9.6,-2.6,0.0
57,2016-02-27,6.0,14.9,0.3,1.0
58,2016-02-28,9.4,14.6,2.8,0.0
59,2016-02-29,5.7,14.7,-1.9,1.0
60,2016-03-01,1.8,7.7,-1.8,0.0
61,2016-03-02,4.4,11.7,-2.5,0.0
62,2016-03-03,7.3,15.3,-0.2,0.0
63,2016-03-04,10.2,14.4,5.4,0.0
64,2016-03-05,13.7,18.5,7.2,0.0
65,2016-03-06,16.0,19.4,13.2,0.0
66,2016-03-07,14.8,18.8,11.3,0.0
67,2016-03-08,13.5,16.8,10.3,0.0
68,2016-03-09,9.5,13.1,6.2,38.5
69,2016-03-10,7.9,10.2,5.3,0.0
70,2016-03-11,6.7,10.4,2.3,0.0
71,2016-03-12,5.1,9.8,0.2,0.0
72,2016-03-13,6.8,10.7,3.3,5.0
73,2016-03-14,7.9,13.1,3.4,5.0
74,2016-03-15,6.3,12.2,0.5,0.0
75,2016-03-16,9.1,15.9,4.3,0.0
76,2016-03-17,11.1,19.0,3.2,0.0
77,2016-03-18,11.7,14.3,9.2,39.0
78,2016-03-19,12.6,16.2,8.1,4.0
79,2016-03-20,9.5,14.3,3.9,0.0
80,2016-03-21,8.0,13.9,2.1,0.0
81,2016-03-22,8.9,17.2,2.0,0.0
82,2016-03-23,11.1,17.2,4.6,0.0
83,2016-03-24,9.7,13.0,6.1,0.0
84,2016-03-25,7.5,12.5,1.3,0.0
85,2016-03-26,8.0,13.4,1.8,0.0
