Unnamed: 0,calendar_date,avg_temperature,avg_vapor_pressure,avg_local_pressure,avg_humidity
0,2016-01-01,-18.8,0.5,634.2,39
1,2016-01-02,-14.0,0.9,635.3,45
2,2016-01-03,-11.4,1.4,635.6,56
3,2016-01-04,-11.6,0.9,633.9,35
4,2016-01-05,-12.6,1.3,633.7,57
5,2016-01-06,-12.1,1.0,633.5,42
6,2016-01-07,-15.0,0.8,627.5,46
7,2016-01-08,-15.8,0.6,628.0,34
8,2016-01-09,-17.7,0.4,629.0,24
9,2016-01-10,-16.3,0.7,630.0,38
10,2016-01-11,-16.2,0.9,629.3,52
11,2016-01-12,-17.1,0.9,626.2,55
12,2016-01-13,-20.2,0.3,624.2,24
13,2016-01-14,-20.5,0.5,624.3,42
14,2016-01-15,-19.2,0.6,626.6,40
15,2016-01-16,-18.6,0.4,628.7,32
16,2016-01-17,-15.5,0.8,631.7,42
17,2016-01-18,-11.2,2.5,620.2,90
18,2016-01-19,-26.6,0.6,611.0,78
19,2016-01-20,-25.5,0.6,616.6,79
20,2016-01-21,-20.0,1.0,626.1,81
21,2016-01-22,-20.5,0.7,626.9,63
22,2016-01-23,-18.4,1.1,626.7,74
23,2016-01-24,-27.2,0.4,612.3,60
24,2016-01-25,-25.6,0.4,621.4,52
25,2016-01-26,-19.9,0.3,630.1,25
26,2016-01-27,-14.9,0.2,634.5,12
27,2016-01-28,-11.6,1.8,638.6,68
28,2016-01-29,-6.3,3.6,638.0,94
29,2016-01-30,-8.3,3.1,634.2,93
30,2016-01-31,-16.4,1.5,631.6,86
31,2016-02-01,-15.8,1.6,629.2,86
32,2016-02-02,-21.0,0.9,626.5,77
33,2016-02-03,-20.9,0.5,628.3,43
34,2016-02-04,-19.4,0.6,628.4,42
35,2016-02-05,-17.6,1.0,628.5,66
36,2016-02-06,-19.7,0.9,624.6,67
37,2016-02-07,-23.1,0.7,623.5,68
38,2016-02-08,-23.2,0.6,624.7,63
39,2016-02-09,-22.8,0.8,620.2,78
40,2016-02-10,-20.8,0.5,625.8,46
41,2016-02-11,-13.7,0.9,638.7,43
42,2016-02-12,-10.4,1.9,643.5,68
43,2016-02-13,-7.0,3.5,640.5,93
44,2016-02-14,-3.8,4.5,628.9,97
45,2016-02-15,-16.4,1.6,620.8,86
46,2016-02-16,-24.4,0.7,620.3,80
47,2016-02-17,-22.2,0.8,624.3,81
48,2016-02-18,-19.8,0.9,633.2,67
49,2016-02-19,-16.2,1.1,637.5,60
50,2016-02-20,-9.2,2.5,635.9,74
51,2016-02-21,-15.4,1.6,630.9,86
52,2016-02-22,-15.3,1.2,637.2,67
53,2016-02-23,-12.8,2.1,633.8,88
54,2016-02-24,-16.5,1.3,630.4,76
55,2016-02-25,-21.0,0.6,628.9,50
56,2016-02-26,-20.9,0.7,629.8,62
57,2016-02-27,-17.9,1.0,632.3,65
58,2016-02-28,-17.3,1.3,634.9,84
59,2016-02-29,-16.3,1.5,625.8,85
60,2016-03-01,-19.2,0.7,622.8,56
61,2016-03-02,-19.8,0.8,628.4,59
62,2016-03-03,-15.3,1.0,635.0,52
63,2016-03-04,-13.6,0.8,641.4,36
64,2016-03-05,-9.9,2.5,645.3,83
65,2016-03-06,-8.4,2.4,643.3,72
66,2016-03-07,-7.2,3.4,640.8,93
67,2016-03-08,-7.9,2.3,638.5,70
68,2016-03-09,-7.9,3.2,634.2,93
69,2016-03-10,-12.6,2.0,631.4,87
70,2016-03-11,-15.4,1.7,628.3,87
71,2016-03-12,-21.1,0.9,629.2,82
72,2016-03-13,-17.4,1.4,633.8,85
73,2016-03-14,-10.9,2.4,629.4,90
74,2016-03-15,-18.6,1.2,628.2,81
75,2016-03-16,-13.8,1.6,636.9,74
76,2016-03-17,-11.8,1.4,640.6,60
77,2016-03-18,-8.6,1.5,639.7,45
78,2016-03-19,-6.8,3.5,633.6,93
79,2016-03-20,-13.0,1.9,631.2,82
80,2016-03-21,-16.3,1.1,630.7,62
81,2016-03-22,-15.7,1.3,631.1,73
82,2016-03-23,-13.5,1.4,631.2,63
83,2016-03-24,-16.6,1.5,627.3,85
84,2016-03-25,-18.4,0.7,627.9,52
85,2016-03-26,-16.9,0.5,631.0,32
86,2016-03-27,-15.5,1.3,632.6,68
87,2016-03-28,-15.3,1.5,633.4,80
88,2016-03-29,-13.0,1.2,638.7,52
89,2016-03-30,-12.8,1.6,636.5,71
90,2016-03-31,-10.5,1.0,637.8,34
91,2016-04-01,-7.2,2.4,639.6,65
92,2016-04-02,-6.2,2.0,643.1,54
93,2016-04-03,-4.3,2.3,643.2,52
94,2016-04-04,-4.2,4.3,635.1,96
95,2016-04-05,-10.5,2.1,634.7,77
96,2016-04-06,-9.4,1.0,639.5,33
97,2016-04-07,-1.6,5.2,635.4,92
98,2016-04-08,-5.8,1.4,636.4,36
99,2016-04-09,-8.8,0.6,637.9,20
100,2016-04-10,-8.5,1.0,636.0,31
101,2016-04-11,-13.1,1.4,630.6,60
102,2016-04-12,-8.3,1.5,638.4,41
103,2016-04-13,-5.3,3.1,638.6,74
104,2016-04-14,-3.6,4.6,635.4,96
105,2016-04-15,-10.2,1.0,636.0,36
106,2016-04-16,-6.2,2.3,643.1,58
107,2016-04-17,-6.3,3.2,632.8,79
108,2016-04-18,-5.0,2.6,635.7,59
109,2016-04-19,-9.6,1.0,637.9,34
110,2016-04-20,-8.4,1.3,642.4,38
111,2016-04-21,-4.4,3.4,638.2,73
112,2016-04-22,-2.2,3.3,637.1,62
113,2016-04-23,-3.1,2.0,639.7,41
114,2016-04-24,-4.4,3.7,638.9,82
115,2016-04-25,-3.6,1.3,643.6,27
116,2016-04-26,-3.8,2.7,644.1,59
117,2016-04-27,-5.0,3.3,640.1,79
118,2016-04-28,-1.0,5.6,631.3,99
119,2016-04-29,-9.7,1.9,627.8,61
120,2016-04-30,-9.7,1.9,634.5,62
121,2016-05-01,-6.4,3.1,639.6,82
122,2016-05-02,-2.6,2.2,646.9,45
123,2016-05-03,-4.7,2.6,642.8,60
124,2016-05-04,-5.1,3.4,633.0,78
125,2016-05-05,-5.2,1.7,637.4,47
126,2016-05-06,-2.3,4.1,642.5,80
127,2016-05-07,-0.6,4.3,639.3,71
128,2016-05-08,-1.1,1.0,644.1,18
129,2016-05-09,-0.6,4.2,643.9,70
130,2016-05-10,1.7,6.9,639.8,100
131,2016-05-11,-0.7,5.9,632.8,99
132,2016-05-12,2.4,1.3,645.0,21
133,2016-05-13,3.3,1.2,649.3,15
134,2016-05-14,-0.6,1.2,648.6,22
135,2016-05-15,2.9,0.6,647.7,8
136,2016-05-16,2.8,3.6,644.2,52
137,2016-05-17,1.3,5.0,642.2,72
138,2016-05-18,-0.6,0.3,646.1,5
139,2016-05-19,-0.4,0.5,647.3,8
140,2016-05-20,-0.9,1.3,646.1,22
141,2016-05-21,-2.8,2.6,644.2,53
142,2016-05-22,-3.7,2.3,644.7,51
143,2016-05-23,1.8,1.5,646.9,23
144,2016-05-24,1.5,1.2,646.2,21
145,2016-05-25,1.0,5.3,646.7,79
146,2016-05-26,3.3,6.8,646.4,88
147,2016-05-27,2.9,6.7,643.2,87
148,2016-05-28,0.5,1.6,641.5,27
149,2016-05-29,1.0,2.7,641.3,42
150,2016-05-30,2.0,6.6,639.0,93
151,2016-05-31,-0.7,2.8,638.7,49
152,2016-06-01,-3.4,2.0,634.3,43
153,2016-06-02,-6.7,1.7,634.0,47
154,2016-06-03,-4.6,1.3,640.0,30
155,2016-06-04,-2.6,2.8,642.6,55
156,2016-06-05,0.7,4.2,642.1,70
157,2016-06-06,4.4,2.6,645.5,33
158,2016-06-07,0.1,6.1,645.0,99
159,2016-06-08,1.5,5.6,645.2,83
160,2016-06-09,1.1,6.1,644.5,92
161,2016-06-10,2.6,3.4,646.5,48
162,2016-06-11,3.4,3.2,648.1,45
163,2016-06-12,2.2,6.5,645.7,91
164,2016-06-13,4.4,8.4,637.7,100
165,2016-06-14,1.8,5.6,639.9,80
166,2016-06-15,1.1,4.8,643.2,72
167,2016-06-16,3.6,6.9,641.7,86
168,2016-06-17,3.4,4.5,642.4,59
169,2016-06-18,4.9,1.8,648.4,20
170,2016-06-19,3.1,4.7,647.2,63
171,2016-06-20,1.5,3.7,643.5,58
172,2016-06-21,1.5,6.2,643.3,91
173,2016-06-22,3.2,7.6,644.5,99
174,2016-06-23,5.0,6.4,641.8,74
175,2016-06-24,4.4,4.6,642.3,56
176,2016-06-25,2.6,7.5,638.1,100
177,2016-06-26,-0.9,4.8,640.9,83
178,2016-06-27,1.8,1.7,646.5,25
179,2016-06-28,4.8,8.6,645.1,100
180,2016-06-29,4.6,8.4,647.8,100
181,2016-06-30,4.0,7.2,647.9,88
182,2016-07-01,4.7,4.2,649.6,49
183,2016-07-02,3.8,7.1,648.5,89
184,2016-07-03,5.5,9.0,647.2,100
185,2016-07-04,5.3,8.8,650.1,99
186,2016-07-05,4.5,8.3,652.7,99
187,2016-07-06,5.8,7.3,652.9,81
188,2016-07-07,5.9,8.1,652.2,87
189,2016-07-08,5.3,6.0,650.4,70
190,2016-07-09,4.1,8.1,644.7,99
191,2016-07-10,5.0,3.9,644.8,44
192,2016-07-11,5.2,4.0,645.3,45
193,2016-07-12,6.2,7.5,645.8,78
194,2016-07-13,6.6,9.7,643.8,100
195,2016-07-14,4.0,7.6,639.8,93
196,2016-07-15,3.7,8.0,639.3,100
197,2016-07-16,7.5,5.9,645.7,60
198,2016-07-17,7.6,10.4,648.3,100
199,2016-07-18,5.7,5.7,647.6,62
200,2016-07-19,5.0,4.3,647.6,49
201,2016-07-20,4.5,4.1,648.0,51
202,2016-07-21,5.4,5.9,647.7,68
203,2016-07-22,3.7,7.8,647.0,97
204,2016-07-23,5.9,3.1,648.1,33
205,2016-07-24,4.9,4.1,648.9,49
206,2016-07-25,5.0,5.0,648.7,59
207,2016-07-26,4.1,8.1,647.5,99
208,2016-07-27,6.1,8.3,647.9,88
209,2016-07-28,7.8,7.3,649.9,69
210,2016-07-29,8.8,5.6,650.7,48
211,2016-07-30,7.2,3.8,650.7,38
212,2016-07-31,5.6,7.4,649.5,82
213,2016-08-01,6.0,9.2,648.2,98
214,2016-08-02,5.3,8.5,647.1,95
215,2016-08-03,5.8,8.8,647.8,96
216,2016-08-04,7.0,8.7,649.4,87
217,2016-08-05,7.6,8.9,650.5,85
218,2016-08-06,6.1,6.8,649.8,72
219,2016-08-07,6.5,5.5,649.1,57
220,2016-08-08,5.8,7.7,645.0,83
221,2016-08-09,6.4,7.4,646.0,78
222,2016-08-10,6.9,5.1,648.3,53
223,2016-08-11,5.9,7.4,648.2,79
224,2016-08-12,8.0,3.4,647.7,32
225,2016-08-13,7.8,5.7,647.0,58
226,2016-08-14,5.7,7.2,644.8,79
227,2016-08-15,6.6,9.2,644.4,94
228,2016-08-16,6.8,8.8,643.9,89
229,2016-08-17,7.7,9.7,644.2,93
230,2016-08-18,8.8,10.2,647.8,90
231,2016-08-19,7.4,7.9,647.8,77
232,2016-08-20,6.7,9.7,646.0,98
233,2016-08-21,8.4,9.0,647.5,83
234,2016-08-22,5.6,8.9,641.9,98
235,2016-08-23,5.5,8.9,646.5,98
236,2016-08-24,5.9,8.9,647.8,95
237,2016-08-25,7.0,8.4,647.9,83
238,2016-08-26,8.4,6.3,646.2,58
239,2016-08-27,6.5,9.1,644.9,94
240,2016-08-28,6.0,9.4,642.6,99
241,2016-08-29,5.5,8.8,637.0,97
242,2016-08-30,6.0,7.4,632.6,72
243,2016-08-31,0.4,2.7,638.7,47
244,2016-09-01,6.9,3.1,646.6,32
245,2016-09-02,9.8,2.8,649.8,23
246,2016-09-03,6.5,7.6,651.2,80
247,2016-09-04,5.6,8.2,651.9,90
248,2016-09-05,4.8,8.5,650.8,98
249,2016-09-06,5.8,9.2,648.9,100
250,2016-09-07,6.3,9.5,646.2,100
251,2016-09-08,6.2,8.3,643.6,87
252,2016-09-09,5.4,2.0,644.4,22
253,2016-09-10,5.8,1.2,648.0,13
254,2016-09-11,4.8,7.0,650.1,80
255,2016-09-12,5.2,8.9,651.5,100
256,2016-09-13,6.3,9.5,650.9,100
257,2016-09-14,5.4,7.2,650.8,80
258,2016-09-15,2.8,6.1,649.3,81
259,2016-09-16,2.1,6.8,649.6,96
260,2016-09-17,3.2,7.4,649.2,96
261,2016-09-18,4.0,8.2,645.1,100
262,2016-09-19,4.6,8.5,645.5,100
263,2016-09-20,5.9,9.2,644.2,100
264,2016-09-21,4.0,8.1,649.5,100
265,2016-09-22,4.6,8.5,650.1,100
266,2016-09-23,2.8,7.5,648.4,100
267,2016-09-24,1.5,6.8,650.0,100
268,2016-09-25,3.0,7.4,652.0,97
269,2016-09-26,4.4,5.3,653.5,64
270,2016-09-27,5.3,8.2,653.4,92
271,2016-09-28,5.4,8.9,650.2,99
