Unnamed: 0,calendar_date,avg_temperature,high_temperature,low_temperature,hours_sunlight
0,2016-01-01,-1.6,6.0,-7.8,7.8
1,2016-01-02,-1.5,8.6,-8.5,5.8
2,2016-01-03,2.1,12.9,-5.2,7.1
3,2016-01-04,2.4,12.7,-4.2,7.8
4,2016-01-05,2.5,9.7,-4.8,6.5
5,2016-01-06,2.3,6.4,-2.1,1.1
6,2016-01-07,1.6,8.9,-2.9,5.1
7,2016-01-08,0.0,7.2,-6.6,6.4
8,2016-01-09,-0.9,6.5,-8.3,7.5
9,2016-01-10,-0.3,7.7,-7.4,7.7
10,2016-01-11,-1.0,4.0,-7.6,4.2
11,2016-01-12,-2.0,-0.4,-9.2,0.0
12,2016-01-13,-4.8,3.5,-11.5,6.9
13,2016-01-14,-2.9,5.1,-10.9,7.9
14,2016-01-15,-2.2,3.9,-10.1,7.7
15,2016-01-16,-0.8,5.8,-6.5,7.5
16,2016-01-17,-1.8,4.2,-8.5,2.5
17,2016-01-18,-0.1,4.2,-3.1,0.3
18,2016-01-19,-4.6,0.1,-13.8,8.1
19,2016-01-20,-5.3,0.9,-14.8,8.0
20,2016-01-21,-4.3,2.3,-13.6,7.0
21,2016-01-22,-2.2,2.7,-8.4,7.2
22,2016-01-23,-1.8,1.9,-6.8,2.9
23,2016-01-24,-6.8,-2.3,-11.8,6.8
24,2016-01-25,-7.2,-0.9,-14.8,8.2
25,2016-01-26,-7.5,1.5,-16.1,8.0
26,2016-01-27,-4.6,6.1,-14.5,8.2
27,2016-01-28,-1.8,7.3,-9.8,7.8
28,2016-01-29,-0.1,2.0,-4.1,0.0
29,2016-01-30,-0.9,0.1,-1.9,0.0
30,2016-01-31,-0.4,3.1,-4.9,4.5
31,2016-02-01,-1.6,0.0,-4.5,0.0
32,2016-02-02,-1.4,3.1,-4.2,5.5
33,2016-02-03,-3.1,1.3,-8.1,0.2
34,2016-02-04,-3.4,2.7,-7.1,4.3
35,2016-02-05,-1.9,5.9,-10.3,8.2
36,2016-02-06,-1.2,3.6,-7.8,4.2
37,2016-02-07,-3.1,0.6,-9.3,4.7
38,2016-02-08,-4.8,2.4,-13.6,6.1
39,2016-02-09,-2.7,4.5,-9.8,6.7
40,2016-02-10,-2.8,2.4,-9.9,8.7
41,2016-02-11,-3.0,5.8,-12.6,8.7
42,2016-02-12,-0.2,4.1,-7.9,0.0
43,2016-02-13,7.8,14.2,0.8,5.6
44,2016-02-14,13.2,19.3,7.2,5.0
45,2016-02-15,1.8,12.6,-8.5,1.0
46,2016-02-16,-4.5,2.9,-11.5,6.0
47,2016-02-17,-3.0,5.6,-10.7,7.5
48,2016-02-18,-2.2,6.3,-9.3,6.3
49,2016-02-19,2.8,12.1,-5.5,8.2
50,2016-02-20,4.2,11.8,-2.1,0.0
51,2016-02-21,5.7,11.8,-2.3,8.5
52,2016-02-22,0.4,6.3,-4.5,4.4
53,2016-02-23,1.7,7.5,-2.1,6.2
54,2016-02-24,-1.1,1.7,-3.8,0.0
55,2016-02-25,-3.3,0.6,-7.2,1.6
56,2016-02-26,-4.0,3.5,-11.8,7.2
57,2016-02-27,-1.8,5.2,-10.5,8.8
58,2016-02-28,1.7,8.1,-6.2,8.2
59,2016-02-29,4.3,13.6,-2.5,2.6
60,2016-03-01,-1.8,4.6,-5.6,8.9
61,2016-03-02,-1.7,6.5,-7.7,8.4
62,2016-03-03,1.9,12.1,-7.9,9.3
63,2016-03-04,2.3,11.3,-5.0,7.6
64,2016-03-05,5.0,12.0,-2.1,6.4
65,2016-03-06,8.3,16.3,-0.9,3.9
66,2016-03-07,9.2,11.0,7.6,0.0
67,2016-03-08,10.2,18.2,4.8,8.5
68,2016-03-09,4.6,8.0,0.4,0.0
69,2016-03-10,0.8,3.0,-0.4,0.0
70,2016-03-11,-0.8,0.9,-1.9,0.0
71,2016-03-12,-0.9,1.4,-2.4,0.0
72,2016-03-13,0.6,5.5,-2.2,1.6
73,2016-03-14,0.0,1.2,-1.0,0.0
74,2016-03-15,0.8,6.0,-4.6,10.0
75,2016-03-16,2.0,7.8,-5.0,2.6
76,2016-03-17,5.2,15.6,-2.8,10.1
77,2016-03-18,6.7,14.3,-2.9,5.8
78,2016-03-19,11.0,18.8,7.4,2.7
79,2016-03-20,6.5,11.7,1.7,1.2
80,2016-03-21,2.2,6.7,0.2,1.1
81,2016-03-22,3.2,10.9,-2.3,9.8
82,2016-03-23,4.8,11.9,-3.6,6.8
83,2016-03-24,1.1,5.0,-1.3,0.4
84,2016-03-25,0.1,8.0,-6.0,7.4
85,2016-03-26,0.6,5.7,-2.6,1.7
86,2016-03-27,3.8,10.6,-1.0,5.6
87,2016-03-28,2.8,9.6,-1.9,1.4
88,2016-03-29,3.7,9.8,-0.8,3.1
89,2016-03-30,6.2,14.1,-0.5,7.2
90,2016-03-31,5.8,14.2,-1.0,7.1
91,2016-04-01,6.3,13.7,-0.9,1.4
92,2016-04-02,5.0,8.8,1.8,0.0
93,2016-04-03,9.2,13.4,6.3,0.2
94,2016-04-04,12.1,17.1,8.4,1.8
95,2016-04-05,7.1,11.1,5.2,1.4
96,2016-04-06,7.5,15.3,0.4,6.6
97,2016-04-07,11.6,22.1,4.0,0.1
98,2016-04-08,11.4,17.4,4.0,3.5
99,2016-04-09,8.5,16.6,0.3,9.1
100,2016-04-10,8.7,18.6,0.3,3.4
101,2016-04-11,6.4,15.0,1.1,8.1
102,2016-04-12,4.0,11.6,-4.6,9.2
103,2016-04-13,8.8,14.4,2.9,2.1
104,2016-04-14,13.3,20.0,9.1,3.4
105,2016-04-15,10.8,18.8,2.9,11.0
106,2016-04-16,9.3,16.8,1.1,9.0
107,2016-04-17,13.8,21.5,7.5,5.3
108,2016-04-18,13.0,23.8,5.5,4.3
109,2016-04-19,10.7,17.5,4.8,9.8
110,2016-04-20,8.0,13.9,2.7,8.3
111,2016-04-21,9.8,15.3,5.1,0.0
