,Fukuoka-ken Fukuoka-shi Daimyō,Fukuoka-ken Fukuoka-shi Hakata Ekimae,Fukuoka-ken Fukuoka-shi Imaizumi,Fukuoka-ken Fukuoka-shi Momochi,Fukuoka-ken Fukuoka-shi Shiobaru,Fukuoka-ken Fukuoka-shi Takatori,Fukuoka-ken Fukuoka-shi Tenjin,Fukuoka-ken Fukuoka-shi Torikai,Fukuoka-ken Itoshima-shi Maebarunishi,Fukuoka-ken Kitakyūshū-shi Konyamachi,Fukuoka-ken Kitakyūshū-shi None,Fukuoka-ken Kitakyūshū-shi Ōtemachi,Fukuoka-ken Kurume-shi Jōnanmachi,Fukuoka-ken Yame-shi Motomachi,Hiroshima-ken Fukuyama-shi Higashisakuramachi,Hiroshima-ken Hiroshima-shi Kokutaijimachi,Hiroshima-ken Hiroshima-shi Nagarekawachō,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,Hokkaidō Asahikawa-shi 6 Jōdōri,Hokkaidō Katō-gun Motomachi,Hokkaidō Sapporo-shi Atsubetsuchūō 1 Jō,Hokkaidō Sapporo-shi Kita 24 Jōnishi,Hokkaidō Sapporo-shi Kotoni 2 Jō,Hokkaidō Sapporo-shi Minami 3 Jōnishi,Hyōgo-ken Amagasaki-shi Higashinanamatsuchō,Hyōgo-ken Himeji-shi Yasuda,Hyōgo-ken Kakogawa-shi Kakogawachō Kitazaike,Hyōgo-ken Kōbe-shi Kumoidōri,Hyōgo-ken Kōbe-shi Motomachidōri,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,Hyōgo-ken Nishinomiya-shi Rokutanjichō,Hyōgo-ken Takarazuka-shi Tōyōchō,Miyagi-ken Sendai-shi Kamisugi,Niigata-ken Kashiwazaki-shi Chūōchō,Niigata-ken Nagaoka-shi Ōtedōri,Niigata-ken Niigata-shi Gakkōchōdōri 1 Banchō,Niigata-ken Niigata-shi Teraohigashi,Shizuoka-ken Hamamatsu-shi Motoshirochō,Shizuoka-ken Numazu-shi Miyukichō,Shizuoka-ken Shizuoka-shi Ōtemachi,Tōkyō-to Adachi-ku Chūōhonchō,Tōkyō-to Bunkyō-ku Kasuga,Tōkyō-to Bunkyō-ku Sendagi,Tōkyō-to Chiyoda-ku Kanda Jinbōchō,Tōkyō-to Chiyoda-ku Kudanminami,Tōkyō-to Chūō-ku Ginza,Tōkyō-to Chūō-ku Tsukiji,Tōkyō-to Edogawa-ku Chūō,Tōkyō-to Fuchū-shi Miyanishichō,Tōkyō-to Itabashi-ku Itabashi,Tōkyō-to Katsushika-ku Tateishi,Tōkyō-to Kita-ku Ōjihonchō,Tōkyō-to Koganei-shi Honchō,Tōkyō-to Kōtō-ku Kameido,Tōkyō-to Kōtō-ku Tomioka,Tōkyō-to Kōtō-ku Tōyō,Tōkyō-to Machida-shi Morino,Tōkyō-to Meguro-ku Jiyūgaoka,Tōkyō-to Meguro-ku Kamimeguro,Tōkyō-to Meguro-ku Takaban,Tōkyō-to Minato-ku Akasaka,Tōkyō-to Minato-ku Roppongi,Tōkyō-to Minato-ku Shibakōen,Tōkyō-to Musashino-shi Kichijōji Honchō,Tōkyō-to Musashino-shi Midorichō,Tōkyō-to Nakano-ku Nakano,Tōkyō-to Nerima-ku Toyotamakita,Tōkyō-to Setagaya-ku Kitazawa,Tōkyō-to Setagaya-ku Okusawa,Tōkyō-to Setagaya-ku Sangenjaya,Tōkyō-to Setagaya-ku Setagaya,Tōkyō-to Shibuya-ku Dōgenzaka,Tōkyō-to Shibuya-ku Higashi,Tōkyō-to Shibuya-ku Jingūmae,Tōkyō-to Shibuya-ku Shibuya,Tōkyō-to Shinagawa-ku Higashigotanda,Tōkyō-to Shinagawa-ku Hiromachi,Tōkyō-to Shinjuku-ku Kabukichō,Tōkyō-to Shinjuku-ku Nishishinjuku,Tōkyō-to Suginami-ku Asagayaminami,Tōkyō-to Tachikawa-shi Izumichō,Tōkyō-to Taitō-ku Asakusa,Tōkyō-to Taitō-ku Higashiueno,Tōkyō-to Taitō-ku Kuramae,Tōkyō-to Toshima-ku Higashiikebukuro,Tōkyō-to Toshima-ku Mejiro,Tōkyō-to Toshima-ku Minamiikebukuro,Tōkyō-to Toshima-ku Nishiikebukuro,Tōkyō-to Toshima-ku Sugamo,Tōkyō-to Ōta-ku Kamata,Tōkyō-to Ōta-ku Kamiikedai,Ōsaka-fu Higashiōsaka-shi Aramotokita,Ōsaka-fu Neyagawa-shi Honmachi,Ōsaka-fu Sakai-shi Minamikawaramachi,Ōsaka-fu Suita-shi Izumichō,Ōsaka-fu Ōsaka-shi Fuminosato,Ōsaka-fu Ōsaka-shi Kyōmachibori,Ōsaka-fu Ōsaka-shi Kyūtarōmachi,Ōsaka-fu Ōsaka-shi Nakanochō,Ōsaka-fu Ōsaka-shi Nanbasennichimae,Ōsaka-fu Ōsaka-shi Shinmachi,Ōsaka-fu Ōsaka-shi Ōgimachi
2016-01-01,358275.0,0.0,197262.0,358275.0,0.0,329613.0,332985.0,358275.0,327084.0,0.0,349002.0,0.0,0.0,331299.0,358275.0,358275.0,316125.0,353217.0,358275.0,0.0,0.0,204849.0,343101.0,358275.0,0.0,334671.0,0.0,358275.0,354903.0,0.0,0.0,0.0,358275.0,297579.0,332142.0,356589.0,204006.0,357432.0,306009.0,339729.0,276504.0,356589.0,301794.0,303480.0,358275.0,356589.0,355746.0,203163.0,194733.0,352374.0,349845.0,321183.0,348159.0,354903.0,264702.0,354903.0,0.0,0.0,0.0,0.0,337200.0,333828.0,357432.0,204849.0,311067.0,355746.0,356589.0,0.0,0.0,0.0,0.0,339729.0,182088.0,356589.0,358275.0,310224.0,0.0,358275.0,357432.0,358275.0,0.0,204006.0,358275.0,331299.0,354060.0,328770.0,357432.0,349002.0,200634.0,0.0,0.0,348159.0,354060.0,326241.0,0.0,319497.0,304323.0,358275.0,345630.0,204849.0,357432.0,358275.0
2016-01-02,609450.0,0.0,335556.0,609450.0,0.0,560694.0,566430.0,609450.0,556392.0,0.0,593676.0,0.0,0.0,563562.0,609450.0,609450.0,537750.0,600846.0,609450.0,0.0,0.0,348462.0,583638.0,609450.0,0.0,569298.0,0.0,609450.0,603714.0,0.0,0.0,0.0,609450.0,506202.0,564996.0,606582.0,347028.0,608016.0,520542.0,577902.0,470352.0,606582.0,513372.0,516240.0,609450.0,606582.0,605148.0,345594.0,331254.0,599412.0,595110.0,546354.0,592242.0,603714.0,450276.0,603714.0,0.0,0.0,0.0,0.0,573600.0,567864.0,608016.0,348462.0,529146.0,605148.0,606582.0,0.0,0.0,0.0,0.0,577902.0,309744.0,606582.0,609450.0,527712.0,0.0,609450.0,608016.0,609450.0,0.0,347028.0,609450.0,563562.0,602280.0,559260.0,608016.0,593676.0,341292.0,0.0,0.0,592242.0,602280.0,554958.0,0.0,543486.0,517674.0,609450.0,587940.0,348462.0,608016.0,609450.0
2016-01-03,838100.0,0.0,461448.0,838100.0,0.0,771052.0,778940.0,838100.0,765136.0,0.0,816408.0,0.0,0.0,774996.0,838100.0,838100.0,739500.0,826268.0,838100.0,0.0,0.0,479196.0,802604.0,838100.0,0.0,782884.0,0.0,838100.0,830212.0,0.0,0.0,0.0,838100.0,696116.0,776968.0,834156.0,477224.0,836128.0,715836.0,794716.0,646816.0,834156.0,705976.0,709920.0,838100.0,834156.0,832184.0,475252.0,455532.0,824296.0,818380.0,751332.0,814436.0,830212.0,619208.0,830212.0,0.0,0.0,0.0,0.0,788800.0,780912.0,836128.0,479196.0,727668.0,832184.0,834156.0,0.0,0.0,0.0,0.0,794716.0,425952.0,834156.0,838100.0,725696.0,0.0,838100.0,836128.0,838100.0,0.0,477224.0,838100.0,774996.0,828240.0,769080.0,836128.0,816408.0,469336.0,0.0,0.0,814436.0,828240.0,763164.0,0.0,747388.0,711892.0,838100.0,808520.0,479196.0,836128.0,838100.0
2016-01-04,1169175.0,0.0,643734.0,1169175.0,0.0,1075641.0,1086645.0,1169175.0,1067388.0,0.0,1138914.0,0.0,0.0,1081143.0,1169175.0,1169175.0,1031625.0,1152669.0,1169175.0,0.0,0.0,668493.0,1119657.0,1169175.0,0.0,1092147.0,0.0,1169175.0,1158171.0,0.0,0.0,0.0,1169175.0,971103.0,1083894.0,1163673.0,665742.0,1166424.0,998613.0,1108653.0,902328.0,1163673.0,984858.0,990360.0,1169175.0,1163673.0,1160922.0,662991.0,635481.0,1149918.0,1141665.0,1048131.0,1136163.0,1158171.0,863814.0,1158171.0,0.0,0.0,0.0,0.0,1100400.0,1089396.0,1166424.0,668493.0,1015119.0,1160922.0,1163673.0,0.0,0.0,0.0,0.0,1108653.0,594216.0,1163673.0,1169175.0,1012368.0,0.0,1169175.0,1166424.0,1169175.0,0.0,665742.0,1169175.0,1081143.0,1155420.0,1072890.0,1166424.0,1138914.0,654738.0,0.0,0.0,1136163.0,1155420.0,1064637.0,0.0,1042629.0,993111.0,1169175.0,1127910.0,668493.0,1166424.0,1169175.0
2016-01-05,1387200.0,0.0,763776.0,1387200.0,0.0,1276224.0,1289280.0,1387200.0,1266432.0,0.0,1351296.0,0.0,0.0,1282752.0,1387200.0,1387200.0,1224000.0,1367616.0,1387200.0,0.0,0.0,793152.0,1328448.0,1387200.0,0.0,1295808.0,0.0,1387200.0,1374144.0,0.0,0.0,0.0,1387200.0,1152192.0,1286016.0,1380672.0,789888.0,1383936.0,1184832.0,1315392.0,1070592.0,1380672.0,1168512.0,1175040.0,1387200.0,1380672.0,1377408.0,786624.0,753984.0,1364352.0,1354560.0,1243584.0,1348032.0,1374144.0,1024896.0,1374144.0,0.0,0.0,0.0,0.0,1305600.0,1292544.0,1383936.0,793152.0,1204416.0,1377408.0,1380672.0,0.0,0.0,0.0,0.0,1315392.0,705024.0,1380672.0,1387200.0,1201152.0,0.0,1387200.0,1383936.0,1387200.0,0.0,789888.0,1387200.0,1282752.0,1370880.0,1272960.0,1383936.0,1351296.0,776832.0,0.0,0.0,1348032.0,1370880.0,1263168.0,0.0,1237056.0,1178304.0,1387200.0,1338240.0,793152.0,1383936.0,1387200.0
2016-01-06,1494725.0,0.0,822978.0,1494725.0,0.0,1375147.0,1389215.0,1494725.0,1364596.0,0.0,1456038.0,0.0,0.0,1382181.0,1494725.0,1494725.0,1318875.0,1473623.0,1494725.0,0.0,0.0,854631.0,1431419.0,1494725.0,0.0,1396249.0,0.0,1494725.0,1480657.0,0.0,0.0,0.0,1494725.0,1241501.0,1385698.0,1487691.0,851114.0,1491208.0,1276671.0,1417351.0,1153576.0,1487691.0,1259086.0,1266120.0,1494725.0,1487691.0,1484174.0,847597.0,812427.0,1470106.0,1459555.0,1339977.0,1452521.0,1480657.0,1104338.0,1480657.0,0.0,0.0,0.0,0.0,1406800.0,1392732.0,1491208.0,854631.0,1297773.0,1484174.0,1487691.0,0.0,0.0,0.0,0.0,1417351.0,759672.0,1487691.0,1494725.0,1294256.0,0.0,1494725.0,1491208.0,1494725.0,0.0,851114.0,1494725.0,1382181.0,1477140.0,1371630.0,1491208.0,1456038.0,837046.0,0.0,0.0,1452521.0,1477140.0,1361079.0,0.0,1332943.0,1269637.0,1494725.0,1441970.0,854631.0,1491208.0,1494725.0
2016-01-07,1610750.0,0.0,886860.0,1610750.0,0.0,1481890.0,1497050.0,1610750.0,1470520.0,0.0,1569060.0,0.0,0.0,1489470.0,1610750.0,1610750.0,1421250.0,1588010.0,1610750.0,0.0,0.0,920970.0,1542530.0,1610750.0,0.0,1504630.0,0.0,1610750.0,1595590.0,0.0,0.0,0.0,1610750.0,1337870.0,1493260.0,1603170.0,917180.0,1606960.0,1375770.0,1527370.0,1243120.0,1603170.0,1356820.0,1364400.0,1610750.0,1603170.0,1599380.0,913390.0,875490.0,1584220.0,1572850.0,1443990.0,1565270.0,1595590.0,1190060.0,1595590.0,0.0,0.0,0.0,0.0,1516000.0,1500840.0,1606960.0,920970.0,1398510.0,1599380.0,1603170.0,0.0,0.0,0.0,0.0,1527370.0,818640.0,1603170.0,1610750.0,1394720.0,0.0,1610750.0,1606960.0,1610750.0,0.0,917180.0,1610750.0,1489470.0,1591800.0,1478100.0,1606960.0,1569060.0,902020.0,0.0,0.0,1565270.0,1591800.0,1466730.0,0.0,1436410.0,1368190.0,1610750.0,1553900.0,920970.0,1606960.0,1610750.0
2016-01-08,2171325.0,0.0,1195506.0,2171325.0,0.0,1997619.0,2018055.0,2171325.0,1982292.0,0.0,2115126.0,0.0,0.0,2007837.0,2171325.0,2171325.0,1915875.0,2140671.0,2171325.0,0.0,0.0,1241487.0,2079363.0,2171325.0,0.0,2028273.0,0.0,2171325.0,2150889.0,0.0,0.0,0.0,2171325.0,1803477.0,2012946.0,2161107.0,1236378.0,2166216.0,1854567.0,2058927.0,1675752.0,2161107.0,1829022.0,1839240.0,2171325.0,2161107.0,2155998.0,1231269.0,1180179.0,2135562.0,2120235.0,1946529.0,2110017.0,2150889.0,1604226.0,2150889.0,0.0,0.0,0.0,0.0,2043600.0,2023164.0,2166216.0,1241487.0,1885221.0,2155998.0,2161107.0,0.0,0.0,0.0,0.0,2058927.0,1103544.0,2161107.0,2171325.0,1880112.0,0.0,2171325.0,2166216.0,2171325.0,0.0,1236378.0,2171325.0,2007837.0,2145780.0,1992510.0,2166216.0,2115126.0,1215942.0,0.0,0.0,2110017.0,2145780.0,1977183.0,0.0,1936311.0,1844349.0,2171325.0,2094690.0,1241487.0,2166216.0,2171325.0
2016-01-09,2603975.0,0.0,1433718.0,2603975.0,0.0,2395657.0,2420165.0,2603975.0,2377276.0,0.0,2536578.0,0.0,0.0,2407911.0,2603975.0,2603975.0,2297625.0,2567213.0,2603975.0,0.0,0.0,1488861.0,2493689.0,2603975.0,0.0,2432419.0,0.0,2603975.0,2579467.0,0.0,0.0,0.0,2603975.0,2162831.0,2414038.0,2591721.0,1482734.0,2597848.0,2224101.0,2469181.0,2009656.0,2591721.0,2193466.0,2205720.0,2603975.0,2591721.0,2585594.0,1476607.0,1415337.0,2561086.0,2542705.0,2334387.0,2530451.0,2579467.0,1923878.0,2579467.0,0.0,0.0,0.0,0.0,2450800.0,2426292.0,2597848.0,1488861.0,2260863.0,2585594.0,2591721.0,0.0,0.0,0.0,0.0,2469181.0,1323432.0,2591721.0,2603975.0,2254736.0,0.0,2603975.0,2597848.0,2603975.0,0.0,1482734.0,2603975.0,2407911.0,2573340.0,2389530.0,2597848.0,2536578.0,1458226.0,0.0,0.0,2530451.0,2573340.0,2371149.0,0.0,2322133.0,2211847.0,2603975.0,2512070.0,1488861.0,2597848.0,2603975.0
2016-01-10,2125000.0,0.0,1170000.0,2125000.0,0.0,1955000.0,1975000.0,2125000.0,1940000.0,0.0,2070000.0,0.0,0.0,1965000.0,2125000.0,2125000.0,1875000.0,2095000.0,2125000.0,0.0,0.0,1215000.0,2035000.0,2125000.0,0.0,1985000.0,0.0,2125000.0,2105000.0,0.0,0.0,0.0,2125000.0,1765000.0,1970000.0,2115000.0,1210000.0,2120000.0,1815000.0,2015000.0,1640000.0,2115000.0,1790000.0,1800000.0,2125000.0,2115000.0,2110000.0,1205000.0,1155000.0,2090000.0,2075000.0,1905000.0,2065000.0,2105000.0,1570000.0,2105000.0,0.0,0.0,0.0,0.0,2000000.0,1980000.0,2120000.0,1215000.0,1845000.0,2110000.0,2115000.0,0.0,0.0,0.0,0.0,2015000.0,1080000.0,2115000.0,2125000.0,1840000.0,0.0,2125000.0,2120000.0,2125000.0,0.0,1210000.0,2125000.0,1965000.0,2100000.0,1950000.0,2120000.0,2070000.0,1190000.0,0.0,0.0,2065000.0,2100000.0,1935000.0,0.0,1895000.0,1805000.0,2125000.0,2050000.0,1215000.0,2120000.0,2125000.0
